,C'=' 0.049,C'=' 0.586,C'=' 1.123,C'=' 1.660,C'=' 2.196,C'=' 2.733,C'=' 3.270,C'=' 3.807,C'=' 4.344,C'=' 4.881
artificial.167,0.0,0.003,0.004,0.003,0.003,0.003,0.003,0.003,0.003,0.003
artificial.168,0.0,0.0,0.0,0.001,0.001,0.001,0.001,0.001,0.003,0.005
artificial.169,0.0,0.002,0.001,0.002,0.002,0.002,0.002,0.002,0.003,0.003
artificial.170,0.0,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001
artificial.171,0.0,0.001,0.002,0.001,0.001,0.001,0.001,0.001,0.001,0.001
artificial.172,0.0,0.038,0.051,0.056,0.057,0.058,0.06,0.06,0.06,0.065
artificial.173,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
artificial.174,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.0,0.001,0.001
artificial.175,0.0,0.009,0.011,0.013,0.014,0.015,0.016,0.016,0.017,0.017
artificial.176,0.0,0.047,0.057,0.06,0.061,0.061,0.06,0.066,0.066,0.067
artificial.177,0.0,0.001,0.001,0.001,0.001,0.002,0.002,0.002,0.001,0.002
artificial.178,0.0,0.048,0.056,0.055,0.056,0.059,0.061,0.063,0.064,0.066
artificial.179,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
artificial.180,0.0,0.003,0.006,0.006,0.007,0.007,0.007,0.008,0.008,0.008
artificial.181,0.0,0.045,0.057,0.06,0.063,0.063,0.063,0.066,0.068,0.068
artificial.182,0.0,0.001,0.004,0.005,0.004,0.005,0.006,0.005,0.006,0.006
