,ROC AUC,Average Precision,N features,CVS
STABL,"0.600 [0.323, 0.845]","0.699 [0.443, 0.906]","12.000 [5.000, 17.250]","0.333 [0.188, 0.438]"
SS 03,"0.650 [0.394, 0.893] (p=0.312)","0.721 [0.459, 0.938] (p=0.408)","10.000 [9.000, 11.000] (p=6.055e-01)","0.538 [0.462, 0.615] (p=1.325e-28)"
SS 05,"0.730 [0.465, 0.934] (p=0.118)","0.778 [0.540, 0.947] (p=0.174)","5.000 [5.000, 6.000] (p=1.830e-03)","0.667 [0.500, 0.800] (p=3.251e-41)"
SS 08,"0.270 [0.132, 0.423] (p=0.033)","0.476 [0.250, 0.685] (p=0.038)","0.000 [0.000, 0.250] (p=1.632e-07)","0.000 [0.000, 0.000] (p=4.627e-59)"
Lasso,"0.490 [0.202, 0.790] (p=0.189)","0.677 [0.404, 0.885] (p=0.394)","7.000 [4.000, 10.500] (p=7.764e-02)","0.364 [0.263, 0.500] (p=1.982e-02)"
Lasso 1SE,"0.540 [0.252, 0.818] (p=0.289)","0.709 [0.454, 0.911] (p=0.484)","6.500 [2.750, 11.250] (p=3.811e-02)","0.268 [0.091, 0.388] (p=6.525e-04)"
ElasticNet,"0.590 [0.302, 0.880] (p=0.465)","0.749 [0.509, 0.929] (p=0.363)","12.000 [10.000, 15.250] (p=8.707e-01)","0.417 [0.333, 0.533] (p=5.236e-08)"
