,ROC AUC,Average Precision,N features,CVS,U-test pvalue
STABL,"0.415 [0.235, 0.600]","0.503 [0.278, 0.723]","0.000 [0.000, 0.000]","0.000 [0.000, 0.000]",3.870e-01
SS 03,"0.300 [0.073, 0.576] (p=0.222)","0.414 [0.239, 0.712] (p=0.062)","5.000 [5.000, 5.000] (p=8.518e-60)","1.000 [1.000, 1.000] (p=0.000e+00)",1.405e-01
SS 05,"0.300 [0.073, 0.552] (p=0.185)","0.414 [0.240, 0.702] (p=0.057)","5.000 [5.000, 5.000] (p=8.518e-60)","1.000 [1.000, 1.000] (p=0.000e+00)",1.405e-01
SS 08,"0.410 [0.172, 0.702] (p=0.477)","0.472 [0.283, 0.785] (p=0.355)","4.000 [3.750, 4.000] (p=1.931e-30)","0.800 [0.750, 1.000] (p=0.000e+00)",5.205e-01
Lasso,"0.360 [0.212, 0.500] (p=0.232)","0.453 [0.269, 0.700] (p=0.139)","0.000 [0.000, 0.000] (p=3.644e-02)","0.000 [0.000, 0.000] (p=3.273e-68)",1.007e-01
Lasso 1SE,"0.360 [0.200, 0.500] (p=0.228)","0.453 [0.250, 0.685] (p=0.131)","0.000 [0.000, 0.000] (p=3.644e-02)","0.000 [0.000, 0.000] (p=3.273e-68)",1.007e-01
ElasticNet,"0.280 [0.050, 0.540] (p=0.21)","0.438 [0.242, 0.757] (p=0.137)","0.000 [0.000, 0.000] (p=6.690e-02)","0.000 [0.000, 0.000] (p=4.784e-43)",1.041e-01
