,ROC AUC,Average Precision,N features,CVS
STABL,"0.550 [0.500, 0.667]","0.550 [0.300, 0.764]","0.000 [0.000, 0.000]","0.000 [0.000, 0.000]"
SS 03,"0.260 [0.077, 0.520] (p=0.025)","0.407 [0.224, 0.712] (p=0.058)","2.000 [2.000, 3.000] (p=7.907e-07)","0.333 [0.167, 0.500] (p=1.975e-54)"
SS 05,"0.500 [0.500, 0.500] (p=0.517)","0.500 [0.300, 0.700] (p=0.528)","0.000 [0.000, 0.000] (p=3.421e-01)","0.000 [0.000, 0.000] (p=1.000e+00)"
SS 08,"0.500 [0.500, 0.500] (p=0.486)","0.500 [0.300, 0.700] (p=0.49)","0.000 [0.000, 0.000] (p=3.421e-01)","0.000 [0.000, 0.000] (p=1.000e+00)"
Lasso,"0.200 [0.075, 0.347] (p=0.007)","0.387 [0.219, 0.616] (p=0.017)","0.000 [0.000, 2.750] (p=2.235e-02)","0.000 [0.000, 0.000] (p=4.535e-06)"
Lasso 1SE,"0.270 [0.121, 0.409] (p=0.013)","0.408 [0.218, 0.643] (p=0.029)","0.000 [0.000, 2.000] (p=8.160e-02)","0.000 [0.000, 0.000] (p=1.382e-03)"
ElasticNet,"0.220 [0.030, 0.460] (p=0.056)","0.396 [0.217, 0.678] (p=0.115)","0.000 [0.000, 2.000] (p=4.110e-02)","0.000 [0.000, 0.000] (p=8.009e-05)"
