,ROC AUC,Average Precision,N features,CVS
STABL,"0.370 [0.180, 0.571]","0.489 [0.242, 0.718]","0.000 [0.000, 0.500]","0.000 [0.000, 0.000]"
SS 03,"0.350 [0.121, 0.647] (p=0.442)","0.450 [0.250, 0.759] (p=0.356)","6.000 [6.000, 6.000] (p=3.409e-76)","1.000 [1.000, 1.000] (p=0.000e+00)"
SS 05,"0.400 [0.141, 0.667] (p=0.445)","0.515 [0.263, 0.790] (p=0.337)","4.000 [3.000, 4.000] (p=7.991e-56)","0.750 [0.750, 1.000] (p=0.000e+00)"
SS 08,"0.270 [0.071, 0.521] (p=0.29)","0.419 [0.232, 0.729] (p=0.232)","1.000 [1.000, 2.000] (p=5.718e-22)","0.500 [0.500, 1.000] (p=0.000e+00)"
Lasso,"0.245 [0.050, 0.506] (p=0.17)","0.415 [0.236, 0.686] (p=0.168)","2.000 [2.000, 2.000] (p=2.718e-17)","0.429 [0.000, 1.000] (p=0.000e+00)"
Lasso 1SE,"0.215 [0.042, 0.448] (p=0.12)","0.404 [0.229, 0.666] (p=0.166)","2.000 [2.000, 2.000] (p=2.718e-17)","0.429 [0.000, 1.000] (p=0.000e+00)"
ElasticNet,"0.250 [0.047, 0.520] (p=0.246)","0.391 [0.222, 0.683] (p=0.182)","2.000 [0.000, 2.000] (p=1.059e-10)","0.000 [0.000, 0.667] (p=0.000e+00)"
