,Spearman corr,pvalue
NFkB,-0.5929485499034618,0.0058615466045402985
MAPKAPK2,-0.4893501829289196,0.028536452807975475
S6,0.4855815829335072,0.02997228625973506
Frequency,0.3988705859810952,0.08149251949014447
CREB,-0.2774751902477184,0.2362383786543498
IkB,-0.2774751902477184,0.2362383786543498
ERK,-0.22941573387056172,0.3305649312781844
STAT6,-0.22941573387056172,0.3305649312781844
p38,-0.13011542019823566,0.5845439947553839
STAT5,-0.08671099695241198,0.7162313833164182
STAT3,-0.08671099695241198,0.7162313833164182
STAT1,,
