,ROC AUC,Average Precision,N features,CVS
STABL,"0.505 [0.286, 0.725]","0.567 [0.319, 0.797]","0.000 [0.000, 1.250]","0.000 [0.000, 0.000]"
SS 03,"0.280 [0.073, 0.531] (p=0.029)","0.428 [0.241, 0.740] (p=0.044)","4.000 [4.000, 4.000] (p=4.955e-60)","1.000 [1.000, 1.000] (p=0.000e+00)"
SS 05,"0.280 [0.067, 0.535] (p=0.04)","0.428 [0.227, 0.742] (p=0.041)","4.000 [4.000, 4.000] (p=4.955e-60)","1.000 [1.000, 1.000] (p=0.000e+00)"
SS 08,"0.280 [0.077, 0.552] (p=0.039)","0.428 [0.237, 0.721] (p=0.039)","4.000 [4.000, 4.000] (p=4.955e-60)","1.000 [1.000, 1.000] (p=0.000e+00)"
Lasso,"0.405 [0.274, 0.500] (p=0.22)","0.476 [0.269, 0.700] (p=0.097)","0.000 [0.000, 0.000] (p=9.972e-08)","0.000 [0.000, 0.000] (p=4.980e-293)"
Lasso 1SE,"0.405 [0.273, 0.500] (p=0.235)","0.476 [0.250, 0.700] (p=0.123)","0.000 [0.000, 0.000] (p=9.972e-08)","0.000 [0.000, 0.000] (p=4.980e-293)"
ElasticNet,"0.310 [0.091, 0.586] (p=0.166)","0.417 [0.249, 0.730] (p=0.143)","0.000 [0.000, 0.000] (p=9.972e-08)","0.000 [0.000, 0.000] (p=4.980e-293)"
