,ROC AUC,Average Precision,N features,CVS
STABL,"0.590 [0.312, 0.854]","0.610 [0.362, 0.911]","1.000 [0.000, 5.000]","0.000 [0.000, 0.400]"
SS 03,"0.440 [0.190, 0.737] (p=0.09)","0.491 [0.280, 0.837] (p=0.113)","5.000 [5.000, 5.000] (p=1.762e-39)","1.000 [1.000, 1.000] (p=0.000e+00)"
SS 05,"0.450 [0.198, 0.729] (p=0.117)","0.494 [0.294, 0.831] (p=0.113)","5.000 [4.750, 5.000] (p=7.538e-32)","1.000 [0.800, 1.000] (p=0.000e+00)"
SS 08,"0.400 [0.154, 0.660] (p=0.122)","0.495 [0.286, 0.826] (p=0.159)","2.000 [2.000, 3.000] (p=2.796e-09)","1.000 [0.667, 1.000] (p=0.000e+00)"
Lasso,"0.390 [0.156, 0.659] (p=0.066)","0.453 [0.261, 0.796] (p=0.044)","4.000 [3.750, 5.000] (p=4.487e-11)","0.800 [0.250, 1.000] (p=0.000e+00)"
Lasso 1SE,"0.390 [0.160, 0.636] (p=0.051)","0.453 [0.264, 0.789] (p=0.058)","4.000 [3.750, 5.000] (p=8.105e-11)","0.800 [0.250, 1.000] (p=0.000e+00)"
ElasticNet,"0.430 [0.170, 0.703] (p=0.12)","0.468 [0.287, 0.771] (p=0.074)","5.000 [4.000, 5.000] (p=6.691e-20)","0.800 [0.600, 1.000] (p=0.000e+00)"
