,ROC AUC,Average Precision,N features,CVS
STABL,"0.520 [0.328, 0.722]","0.493 [0.289, 0.786]","0.000 [0.000, 1.250]","0.000 [0.000, 0.000]"
SS 03,"0.410 [0.172, 0.708] (p=0.229)","0.453 [0.269, 0.760] (p=0.282)","6.000 [6.000, 6.000] (p=8.277e-60)","1.000 [0.833, 1.000] (p=0.000e+00)"
SS 05,"0.410 [0.156, 0.688] (p=0.214)","0.453 [0.260, 0.773] (p=0.283)","6.000 [6.000, 6.000] (p=8.277e-60)","1.000 [0.833, 1.000] (p=0.000e+00)"
SS 08,"0.310 [0.100, 0.570] (p=0.134)","0.434 [0.250, 0.737] (p=0.271)","4.000 [3.000, 4.000] (p=2.340e-20)","0.750 [0.600, 1.000] (p=0.000e+00)"
Lasso,"0.450 [0.333, 0.500] (p=0.348)","0.500 [0.300, 0.700] (p=0.48)","0.000 [0.000, 0.000] (p=3.194e-09)","0.000 [0.000, 0.000] (p=1.925e-247)"
Lasso 1SE,"0.450 [0.333, 0.500] (p=0.331)","0.500 [0.299, 0.700] (p=0.503)","0.000 [0.000, 0.000] (p=3.194e-09)","0.000 [0.000, 0.000] (p=1.925e-247)"
ElasticNet,"0.360 [0.115, 0.637] (p=0.161)","0.471 [0.256, 0.778] (p=0.441)","0.000 [0.000, 0.000] (p=3.194e-09)","0.000 [0.000, 0.000] (p=1.925e-247)"
