,Fold selected features,Fold nb of features
Fold 10,"['unstim_CD8Tcm_166Er_NFkB', 'unstim_DC_166Er_NFkB', 'unstim_Th1naive_164Dy_IkB', 'unstim_Th1naive_167Er_ERK', 'unstim_Tregnaive_155Gd_S6', 'unstim_CD4Tcm_Frequency', 'unstim_CD4Tnaive_Frequency', 'unstim_CD4Trm_Frequency', 'unstim_CD8Tcm_Frequency', 'unstim_pDC_Frequency', 'IL246_Granulocytes_154Sm_STAT3', 'TNF_cMC_167Er_ERK', 'TNF_DC_155Gd_S6', 'TNF_gdT_149Sm_CREB', 'TNF_MDSC_167Er_ERK', 'LPS_Baso_155Gd_S6', 'LPS_Baso_159Tb_MAPKAPK2', 'LPS_DC_155Gd_S6', 'VDR', 'STAT6', 'NUCB1', 'IL31', 'SAMHD1', 'TAPBP', 'ARL11', 'TWF1', 'LDLR', 'TNFAIP3', 'OTC', 'RNASET2', 'WWOX', 'ALDOB', 'MTHFD2', 'COL3A1', 'HRAS', 'RPSA', 'OGG1', 'IL12A|EBI3', 'CNTN3', 'TSC2', 'BTN3A2', 'HSD11B1', 'LACC1', 'EZH2', 'STAC', 'OASL', 'IL17RA', 'CTLA4', 'IL1B', 'CCL3', 'RET', 'FCGR1A', 'HCK', 'NTRK1', 'CXCL6', 'IFNA2', 'MAPK8', 'CXCL10', 'CSF2', 'TNFAIP6', 'PDE4D', 'ST3GAL1', 'IL18', 'IFNL3', 'ASAH1', 'PIP', 'APOC2', 'ITGB6', 'CD3G', 'B3GNT2', 'ALK', 'APOH', 'TNFSF10', 'CLEC4A', 'HERPUD2', 'XRCC4', 'IRF6']",77
Fold 11,"['unstim_cMC_154Sm_STAT3', 'unstim_Th1naive_167Er_ERK', 'unstim_Tregnaive_167Er_ERK', 'unstim_CD4Tnaive_Frequency', 'unstim_CD4Trm_Frequency', 'unstim_Tregnaive_Frequency', 'IL246_CD4T_153Eu_STAT1', 'IL246_CD4Tcm_153Eu_STAT1', 'IL246_Granulocytes_154Sm_STAT3', 'IL246_Th1_149Sm_CREB', 'IL246_Th1mem_164Dy_IkB', 'TNF_ncMC_167Er_ERK', 'TNF_pDC_149Sm_CREB', 'TNF_Th1_149Sm_CREB', 'TNF_Tregnaive_155Gd_S6', 'TNF_Tregnaive_167Er_ERK', 'CRYAA', 'STAT6', 'CSF2RA', 'IL31', 'TENM3', 'ALDH3A1', 'TAPBP', 'ARL11', 'ELMO1', 'TWF1', 'LDLR', 'TNFAIP3', 'HSPH1', 'WWOX', 'ALDH2', 'RPSA', 'OGG1', 'MCAM', 'IL12A|EBI3', 'CNTN3', 'CYBC1', 'CTNNA3', 'IGHG1', 'IL17RA', 'IL1B', 'CCL3', 'IGHM', 'C2', 'CXCL6', 'KDR', 'MAPK8', 'AMN', 'CSF2', 'TNFAIP6', 'IL17RC', 'ST3GAL1', 'IL18', 'IFNL3', 'NGF', 'APOC2', 'CD2', 'LGALS1', 'ALK', 'ETNK1', 'CLEC4A', 'HERPUD2', 'CDKN2B', 'XRCC4']",64
Fold 12,"['unstim_Th1mem_150Nd_STAT5', 'unstim_Th1naive_164Dy_IkB', 'unstim_CD4Tcm_Frequency', 'unstim_CD4Trm_Frequency', 'unstim_Th2_Frequency', 'unstim_Tregnaive_Frequency', 'IL246_DC_150Nd_STAT5', 'IL246_Treg_154Sm_STAT3', 'TNF_cMC_167Er_ERK', 'TNF_gdT_149Sm_CREB', 'TNF_ncMC_167Er_ERK', 'SAMHD1', 'ARL11', 'UNC93B1', 'GTF2I', 'WWOX', 'PSMB4', 'OGG1', 'ITGAV|ITGB3', 'OASL', 'PROS1', 'IL17RA', 'IL1B', 'CCL3', 'IGHM', 'FCGR1A', 'CSF2', 'PPIB', 'IFNL3', 'ALK', 'TNFSF10', 'IRF6']",32
Fold 13,"['unstim_Th1naive_149Sm_CREB', 'unstim_Th1naive_164Dy_IkB', 'unstim_CD4Trm_Frequency', 'unstim_Tregnaive_Frequency', 'TNF_Granulocytes_155Gd_S6', 'TNF_ncMC_167Er_ERK', 'LPS_Granulocytes_159Tb_MAPKAPK2', 'LDLR', 'HSPH1', 'WWOX', 'OGG1', 'ITGAV|ITGB3', 'CNTN3', 'OASL', 'IL1B', 'CCL3', 'IL18', 'CD3G', 'B3GNT2', 'ALK', 'IRF6']",21
Fold 14,"['unstim_Granulocytes_166Er_NFkB', 'unstim_Th17_150Nd_STAT5', 'unstim_Th1mem_150Nd_STAT5', 'unstim_Th1naive_153Eu_STAT1', 'unstim_Baso_Frequency', 'unstim_CD4Tcm_Frequency', 'unstim_CD4Tnaive_Frequency', 'unstim_CD4Trm_Frequency', 'unstim_CD8Tcm_Frequency', 'unstim_Th2_Frequency', 'unstim_Tregmem_Frequency', 'unstim_Tregnaive_Frequency', 'IL246_cMC_167Er_ERK', 'IL246_MDSC_167Er_ERK', 'IL246_Treg_154Sm_STAT3', 'TNF_cMC_167Er_ERK', 'TNF_DC_155Gd_S6', 'TNF_intMC_167Er_ERK', 'TNF_ncMC_167Er_ERK', 'TNF_Th1_149Sm_CREB', 'TNF_Th1mem_159Tb_MAPKAPK2', 'IL31', 'TLR4', 'HSPB1', 'SAMHD1', 'BLK', 'MGA', 'PIEZO1', 'ARL11', 'RFXAP', 'TWF1', 'LDLR', 'TNFAIP3', 'RNASET2', 'TLR3', 'HSPH1', 'WWOX', 'MTHFD2', 'HRAS', 'TLR5', 'BLNK', 'RPSA', 'OGG1', 'ITGAV|ITGB3', 'BTN3A2', 'AOC3', 'KDM1A', 'STAC', 'OASL', 'CD36', 'IL1R1', 'IL1B', 'CCL3', 'ACP5', 'FCGR1A', 'CXCL10', 'SELP', 'CFH', 'TF', 'PPIB', 'TNFRSF12A', 'IFNL3', 'ASAH1', 'APOC2', 'B3GNT2', 'LGALS1', 'ALK', 'CLEC4A', 'KITLG', 'TPSAB1', 'IRF6']",71
Fold 15,"['unstim_Th1naive_150Nd_STAT5', 'unstim_Th1naive_164Dy_IkB', 'unstim_Th1naive_167Er_ERK', 'unstim_CD4Tcm_Frequency', 'unstim_CD4Trm_Frequency', 'unstim_ncMC_Frequency', 'unstim_Tregnaive_Frequency', 'IL246_pDC_150Nd_STAT5', 'TNF_ncMC_167Er_ERK', 'HSPB1', 'ALDH1A1', 'ATF6', 'ARL11', 'LDLR', 'RNASET2', 'HSPH1', 'WWOX', 'ALDOB', 'MTHFD2', 'PSMB4', 'PSMB9', 'NFKBIA', 'RPSA', 'OGG1', 'ITGAV|ITGB3', 'CNTN3', 'BTN3A2', 'FKBP5', 'OASL', 'IL1B', 'F7', 'IFNA2', 'CSF2', 'PPIB', 'IL18', 'IFNL3', 'CD2', 'ALK', 'TNFSF10', 'CLEC4A', 'FAXDC2']",41
Fold 16,"['IL1B', 'CCL3', 'ASAH1']",3
Fold 17,"['unstim_CD4Trm_150Nd_STAT5', 'unstim_DC_166Er_NFkB', 'unstim_Th1naive_149Sm_CREB', 'unstim_Th1naive_153Eu_STAT1', 'unstim_CD4Tcm_Frequency', 'unstim_CD4Tnaive_Frequency', 'unstim_CD4Trm_Frequency', 'unstim_CD8Tcm_Frequency', 'unstim_Th2_Frequency', 'unstim_Tregnaive_Frequency', 'TNF_cMC_167Er_ERK', 'TNF_gdT_149Sm_CREB', 'TNF_gdT_159Tb_MAPKAPK2', 'TNF_intMC_159Tb_MAPKAPK2', 'TNF_intMC_167Er_ERK', 'TNF_Th1_149Sm_CREB', 'TNF_Tregnaive_155Gd_S6', 'NCF2', 'CBS', 'MYC', 'STAT6', 'IL31', 'CXADR', 'SAMHD1', 'ARL11', 'RRAGC', 'RFXAP', 'TWF1', 'UNC93B1', 'TNFAIP3', 'CTCF', 'RNASET2', 'MX1', 'WWOX', 'DDIT4', 'MTHFD2', 'PSMB4', 'HRAS', 'PSMB9', 'ITGAV|ITGB3', 'BTN3A2', 'HNMT', 'CTNNA3', 'PROS1', 'CFP', 'CD36', 'IL1R1', 'IL1B', 'CCL3', 'IGHM', 'RET', 'ACP5', 'FCGR1A', 'SERPINA1', 'MAPK8', 'CXCL10', 'TF', 'CSF2', 'CD55', 'PDE4D', 'IFNL3', 'ASAH1', 'EHMT2', 'PIP', 'CELF2', 'ITGB6', 'B3GNT2', 'ALK', 'ETNK1', 'FTCD', 'KITLG', 'IRF6']",72
Fold 18,"['unstim_CD4Tnaive_Frequency', 'unstim_CD4Trm_Frequency', 'unstim_Th2_Frequency', 'unstim_Tregnaive_Frequency', 'IL246_DC_150Nd_STAT5', 'IL246_Treg_154Sm_STAT3', 'TNF_gdT_149Sm_CREB', 'LPS_Granulocytes_159Tb_MAPKAPK2', 'LDLR', 'TNFAIP3', 'HSPH1', 'WWOX', 'PSMB4', 'ALDH2', 'HRAS', 'OGG1', 'ITGAV|ITGB3', 'MCAM', 'IL12A|EBI3', 'CNTN3', 'CTNNA3', 'OASL', 'PROS1', 'IL17RA', 'IL1B', 'CCL3', 'C2', 'IFNL3', 'CD3G', 'TNFSF10', 'IRF6']",31
Fold 19,"['unstim_CD4Tnaive_Frequency', 'unstim_CD4Trm_Frequency', 'unstim_Tregnaive_Frequency', 'IL246_Granulocytes_154Sm_STAT3', 'TNF_Th1_167Er_ERK', 'LPS_Granulocytes_159Tb_MAPKAPK2', 'LPS_Treg_166Er_NFkB', 'CLEC12A', 'ARL11', 'LDLR', 'GTF2I', 'HSPH1', 'WWOX', 'ALDOB', 'OGG1', 'ITGAV|ITGB3', 'BTG1', 'IL1B', 'CCL3', 'FCGR1A', 'ADIPOQ', 'PDE4D', 'IL18', 'ASAH1', 'APOC2', 'CD3G', 'HERPUD2']",27
Fold 20,"['unstim_Baso_164Dy_IkB', 'unstim_CD4Trm_150Nd_STAT5', 'unstim_CD8Trm_166Er_NFkB', 'unstim_Th1mem_164Dy_IkB', 'unstim_CD4Tnaive_Frequency', 'unstim_CD4Trm_Frequency', 'unstim_Th2_Frequency', 'unstim_Tregnaive_Frequency', 'IL246_DC_150Nd_STAT5', 'IL246_Th1mem_164Dy_IkB', 'TNF_Granulocytes_149Sm_CREB', 'TNF_ncMC_159Tb_MAPKAPK2', 'TNF_Th1_149Sm_CREB', 'LPS_DC_155Gd_S6', 'LPS_pDC_167Er_ERK', 'STAT6', 'IL31', 'TLR4', 'BLK', 'MUSK', 'TAPBP', 'ARL11', 'RRAGC', 'RFXAP', 'LDLR', 'UNC93B1', 'GTF2I', 'KIF3A', 'OTC', 'RNASET2', 'MX1', 'HSPH1', 'WWOX', 'MTHFD2', 'TLR5', 'OGG1', 'ITGAV|ITGB3', 'BTN3A2', 'AOC3', 'SH2B3', 'KDM1A', 'CTNNA3', 'OASL', 'IL17RA', 'IL1B', 'CCL3', 'HAPLN1', 'CXCL6', 'MMEL1', 'TLR2', 'MMP2', 'PTK2', 'PDE4D', 'IFNL3', 'ASAH1', 'PIP', 'APOC2', 'GALNT3', 'CD3G', 'B3GNT2', 'ALK', 'CLEC4A', 'TPSAB1', 'CDKN2B']",64
Fold 21,"['unstim_CD4Tcm_Frequency', 'unstim_CD4Trm_Frequency', 'unstim_Tregnaive_Frequency', 'TNF_ncMC_167Er_ERK', 'IL31', 'SAMHD1', 'LDLR', 'PTH1R', 'TNFAIP3', 'HSPH1', 'WWOX', 'OGG1', 'IL12A|EBI3', 'CNTN3', 'PSENEN', 'IL19', 'IL1B', 'CCL3', 'C2', 'CSF2', 'PPIB', 'HPSE', 'IL18', 'IFNL3', 'ASAH1', 'CD3G', 'HERPUD2', 'CDKN2B', 'IRF6']",29
Fold 22,"['unstim_CD4Tcm_Frequency', 'unstim_CD4Tnaive_Frequency', 'unstim_CD4Trm_Frequency', 'unstim_Tregnaive_Frequency', 'MGA', 'WWOX', 'MTHFD2', 'PSMB4', 'OGG1', 'ITGAV|ITGB3', 'IL1B', 'CCL3', 'IL18', 'B3GNT2', 'ALK', 'IRF6']",16
Fold 23,"['unstim_Baso_166Er_NFkB', 'unstim_cMC_154Sm_STAT3', 'unstim_DC_166Er_NFkB', 'unstim_Granulocytes_154Sm_STAT3', 'unstim_NKT_168Er_pSTAT6', 'unstim_Th1naive_149Sm_CREB', 'unstim_Th1naive_150Nd_STAT5', 'unstim_Th1naive_164Dy_IkB', 'unstim_Th1naive_167Er_ERK', 'unstim_CD4Tcm_Frequency', 'unstim_CD4Trm_Frequency', 'unstim_CD8Tcm_Frequency', 'unstim_NKT_Frequency', 'unstim_Th2_Frequency', 'unstim_Tregnaive_Frequency', 'IL246_DC_150Nd_STAT5', 'IL246_Granulocytes_154Sm_STAT3', 'TNF_MDSC_167Er_ERK', 'TNF_ncMC_155Gd_S6', 'TNF_ncMC_167Er_ERK', 'TNF_Th1_149Sm_CREB', 'TNF_Th1mem_167Er_ERK', 'LPS_Baso_151Eu_p38', 'LPS_Baso_159Tb_MAPKAPK2', 'LPS_Granulocytes_159Tb_MAPKAPK2', 'VDR', 'STAT6', 'IL31', 'ATF6', 'RAG1', 'MYSM1', 'TAPBP', 'ARL11', 'RFXAP', 'TWF1', 'LDLR', 'TNFAIP3', 'RNASET2', 'WWOX', 'DDIT4', 'MTHFD2', 'PSMB4', 'COL3A1', 'HRAS', 'PSMB9', 'RPSA', 'OGG1', 'ITGAV|ITGB3', 'MCAM', 'CNTN3', 'KDM1A', 'CYBC1', 'IGFBP3', 'C1QA|C1QB|C1QC', 'IL1R1', 'IL17RA', 'IL1B', 'CCL3', 'IGHM', 'IL2RA', 'FCGR1A', 'IFNA2', 'ADIPOQ', 'MAPK8', 'C6', 'TF', 'CSF2', 'PPIB', 'CD55', 'PDE4D', 'ST3GAL1', 'IFNL3', 'NGF', 'EHMT2', 'LIF', 'CD3G', 'ALK', 'ETNK1', 'TNFSF10', 'CLEC4A', 'FTCD', 'KITLG', 'IRF6']",83
Fold 24,"['unstim_CD8Tcm_166Er_NFkB', 'unstim_Th1mem_150Nd_STAT5', 'unstim_Th1naive_164Dy_IkB', 'unstim_CD4Tcm_Frequency', 'unstim_CD4Trm_Frequency', 'unstim_pDC_Frequency', 'IL246_CD4Tcm_153Eu_STAT1', 'IL246_DC_155Gd_S6', 'TNF_cMC_167Er_ERK', 'TNF_ncMC_167Er_ERK', 'LPS_Granulocytes_159Tb_MAPKAPK2', 'SAMHD1', 'ARL11', 'LDLR', 'RNASET2', 'TLR3', 'HSPH1', 'WWOX', 'MTHFD2', 'NFKBIA', 'BLNK', 'OGG1', 'SGK1', 'BTN3A2', 'OASL', 'IL1B', 'CCL3', 'F7', 'RET', 'CSF2', 'PPIB', 'TNFRSF12A', 'IL1RN', 'IL18', 'CD2', 'ALK', 'TNFSF10', 'CLEC4A', 'IRF6']",39
