,ROC AUC,Average Precision,N features,CVS,U-test pvalue
STABL,"0.390 [0.150, 0.667]","0.458 [0.262, 0.772]","3.000 [1.000, 3.000]","0.500 [0.250, 0.750]",4.274e-01
SS 03,"0.380 [0.140, 0.637] (p=0.516)","0.453 [0.272, 0.758] (p=0.487)","4.000 [3.000, 4.000] (p=2.840e-31)","1.000 [0.750, 1.000] (p=0.000e+00)",3.847e-01
SS 05,"0.380 [0.154, 0.667] (p=0.496)","0.453 [0.263, 0.763] (p=0.479)","4.000 [3.000, 4.000] (p=2.840e-31)","1.000 [0.750, 1.000] (p=0.000e+00)",3.847e-01
SS 08,"0.430 [0.162, 0.697] (p=0.107)","0.480 [0.286, 0.800] (p=0.065)","3.000 [2.000, 3.000] (p=1.820e-02)","0.667 [0.250, 1.000] (p=0.000e+00)",6.232e-01
Lasso,"0.440 [0.197, 0.700] (p=0.334)","0.558 [0.309, 0.806] (p=0.145)","1.000 [0.000, 1.000] (p=4.076e-35)","0.000 [0.000, 1.000] (p=0.000e+00)",6.710e-01
Lasso 1SE,"0.440 [0.188, 0.679] (p=0.356)","0.558 [0.321, 0.799] (p=0.15)","1.000 [0.000, 1.000] (p=6.484e-38)","0.000 [0.000, 1.000] (p=0.000e+00)",6.710e-01
ElasticNet,"0.410 [0.165, 0.697] (p=0.467)","0.541 [0.293, 0.805] (p=0.229)","1.000 [0.000, 1.000] (p=1.560e-35)","0.000 [0.000, 1.000] (p=0.000e+00)",5.205e-01
