,ROC AUC,Average Precision,N features,CVS
STABL,"0.390 [0.141, 0.667]","0.458 [0.264, 0.760]","3.000 [1.000, 3.000]","0.500 [0.250, 0.750]"
SS 03,"0.380 [0.141, 0.649] (p=0.504)","0.453 [0.264, 0.754] (p=0.495)","4.000 [3.000, 4.000] (p=2.840e-31)","1.000 [0.750, 1.000] (p=0.000e+00)"
SS 05,"0.380 [0.141, 0.641] (p=0.509)","0.453 [0.254, 0.779] (p=0.509)","4.000 [3.000, 4.000] (p=2.840e-31)","1.000 [0.750, 1.000] (p=0.000e+00)"
SS 08,"0.430 [0.165, 0.729] (p=0.105)","0.480 [0.283, 0.808] (p=0.05)","3.000 [2.000, 3.000] (p=1.820e-02)","0.667 [0.250, 1.000] (p=0.000e+00)"
Lasso,"0.440 [0.208, 0.708] (p=0.296)","0.558 [0.289, 0.825] (p=0.156)","1.000 [0.000, 1.000] (p=4.076e-35)","0.000 [0.000, 1.000] (p=0.000e+00)"
Lasso 1SE,"0.440 [0.190, 0.712] (p=0.358)","0.558 [0.325, 0.812] (p=0.132)","1.000 [0.000, 1.000] (p=6.484e-38)","0.000 [0.000, 1.000] (p=0.000e+00)"
ElasticNet,"0.440 [0.187, 0.707] (p=0.314)","0.558 [0.306, 0.819] (p=0.159)","1.000 [0.000, 1.000] (p=1.560e-35)","0.000 [0.000, 1.000] (p=0.000e+00)"
