,ROC AUC,Average Precision,N features,CVS,U-test pvalue
STABL,"0.320 [0.177, 0.458]","0.453 [0.250, 0.685]","0.000 [0.000, 0.000]","0.000 [0.000, 0.000]",5.845e-02
SS 03,"0.310 [0.083, 0.561] (p=0.454)","0.436 [0.259, 0.735] (p=0.398)","4.000 [4.000, 4.000] (p=2.706e-62)","1.000 [1.000, 1.000] (p=0.000e+00)",1.620e-01
SS 05,"0.310 [0.088, 0.571] (p=0.477)","0.436 [0.252, 0.739] (p=0.393)","4.000 [4.000, 4.000] (p=2.706e-62)","1.000 [1.000, 1.000] (p=0.000e+00)",1.620e-01
SS 08,"0.430 [0.167, 0.688] (p=0.246)","0.500 [0.282, 0.815] (p=0.294)","4.000 [3.000, 4.000] (p=6.595e-44)","0.750 [0.667, 1.000] (p=0.000e+00)",6.232e-01
Lasso,"0.315 [0.132, 0.505] (p=0.485)","0.500 [0.278, 0.721] (p=0.231)","0.000 [0.000, 2.000] (p=2.391e-01)","0.000 [0.000, 0.000] (p=8.068e-97)",9.344e-02
Lasso 1SE,"0.315 [0.132, 0.505] (p=0.497)","0.500 [0.284, 0.738] (p=0.249)","0.000 [0.000, 2.000] (p=2.391e-01)","0.000 [0.000, 0.000] (p=8.068e-97)",9.344e-02
ElasticNet,"0.380 [0.133, 0.677] (p=0.366)","0.443 [0.257, 0.729] (p=0.419)","0.000 [0.000, 2.000] (p=4.602e-03)","0.000 [0.000, 0.000] (p=0.000e+00)",3.847e-01
