,Associated weight
CD8Trm_predictions,9.809552357759717
CCR2nncMC_predictions,9.146582274560519
CD56brightCD16nNKcells_predictions,9.078463267891216
CD61pCD41pPLT_predictions,8.522772452688782
CD62LnAgedNeutrophils_predictions,8.458460956937522
mDC_predictions,8.264696019920093
CD4Tcm_predictions,7.907886697987372
CD41hiCD61hiPLT_predictions,6.7131651241719
CD8Tem_predictions,5.786592141462999
gdTcells_predictions,4.610678419920978
CD4Trm_predictions,4.033026359941107
Tregnaive_predictions,2.840646549138386
intMC_predictions,2.7389572900026216
Bcells_predictions,2.6118464706737923
Th1naive_predictions,1.8195661365846383
CCR2pcMC_predictions,1.47075480534403
NKT_predictions,1.380862696284888
CD56dimCD16pNKcells_predictions,1.2235376741562143
pDC_predictions,1.2098163714258559
CD4Tnaive_predictions,0.99921013288512
CD8Tnaive_predictions,0.9236690987951879
Th1mem_predictions,0.7484669098278529
CD62LpImmatureNeutrophils_predictions,0.6718913993010056
MDSC_predictions,0.39888247458028103
CD8Tcm_predictions,0.35536156468491287
CD4Tem_predictions,0.16296795573424783
Tregmem_predictions,0.1302982401116104
