"","cytof","linear_fit","quadratic_fit","pval","a","b","class","pattern"
"1","Bcells_CREB_IFNa",1159.84285018418,-1158.92499736332,0.534371960206097,-5.01359664754792e-07,-4.20855445188376e-05,"linear","linear"
"2","Bcells_CREB_IL246",1204.60511003442,-1204.31429083575,0.782694621674789,-5.42184455280144e-07,-5.70828772590119e-05,"linear","linear"
"3","Bcells_CREB_unstim",1310.91886825916,-1312.10126760829,0.07598752035587,-5.17799963770114e-07,-6.265072524327e-05,"quadratic","acceleration/decrease"
"4","Bcells_ERK_IL246",947.685336183554,-950.229609943128,0.0697252621466046,-2.07190476771736e-06,-0.000230764494555981,"quadratic","acceleration/decrease"
"5","Bcells_ERK_unstim",Inf,-Inf,NA,0,0,"linear","linear"
"6","Bcells_IkB_IFNa",744.270727536941,-744.402148504334,0.0947243327023698,2.80662877952648e-06,0.000362672290356443,"quadratic","acceleration/increase"
"7","Bcells_IkB_IL246",742.637825150288,-741.052408179177,0.962294281913618,-1.24813314620644e-06,-0.000122037544287605,"linear","linear"
"8","Bcells_IkB_unstim",505.027727919976,-510.230990376801,0.00478964551973368,-1.13580194628927e-05,-0.00134890550036232,"quadratic","acceleration/decrease"
"9","Bcells_MAPKAPK2_IFNa",643.495336418192,-641.755566331783,0.162006782628206,-1.376476815023e-06,-3.75124464606467e-05,"linear","linear"
"10","Bcells_MAPKAPK2_IL246",653.612415640449,-653.582417706008,0.452948811853081,-3.65125041565968e-06,-0.00041570212836232,"linear","linear"
"11","Bcells_MAPKAPK2_LPS",603.930278020383,-603.773250249884,0.00116011847918325,-4.1685180605449e-06,-0.000147377897481238,"linear","linear"
"12","Bcells_MAPKAPK2_unstim",339.43824362889,-339.082942875995,0.333379754832537,-9.51262139812033e-06,-0.00113828359959504,"linear","linear"
"13","Bcells_NFkB_IFNa",615.320771626097,-613.348921516502,0.0627718750156148,4.97488979231439e-07,0.000195768991163686,"linear","linear"
"14","Bcells_NFkB_IL246",573.314711026537,-571.318045389718,0.514168186045414,-1.9696067498868e-07,3.90014899038196e-05,"linear","linear"
"15","Bcells_NFkB_unstim",354.943136483901,-358.500639992678,0.0183801379024501,-1.64979641933313e-05,-0.00194365219341308,"quadratic","acceleration/decrease"
"16","Bcells_p38_unstim",Inf,-Inf,NA,0,0,"linear","linear"
"17","Bcells_S6_IFNa",630.603812669162,-628.604058291517,0.10198048449409,4.41646491859207e-08,0.000126313267695611,"linear","linear"
"18","Bcells_S6_IL246",572.581812015568,-570.747666116277,0.561285467869633,1.39212917548487e-06,0.00019115035047709,"linear","linear"
"19","Bcells_S6_LPS",489.997811990509,-488.206604950564,0.109660459160307,2.05681800468662e-06,0.00039560715323341,"linear","linear"
"20","Bcells_S6_unstim",43.9654124610822,-42.1715246568387,0.329987828979592,-9.03836254073817e-06,-0.000389508522038687,"linear","linear"
"21","Bcells_STAT1_IFNa",109.79293531587,-108.570125087493,6.37241558244458e-13,-1.40796940248069e-05,0.00191078882325688,"linear","linear"
"22","Bcells_STAT1_unstim",597.663530498839,-595.740195160252,0.186156163975918,8.70701077023815e-07,-2.30010041223788e-05,"linear","linear"
"23","Bcells_STAT3_IFNa",35.2851870032324,31.1422136768638,0.000866435690513918,-6.3631496130381e-05,-0.0043726305389031,"quadratic","deceleration/increase"
"24","Bcells_STAT3_IL246",80.2700957633671,-79.5671093364475,0.0247348087689242,-2.005232798542e-05,-0.000947015327595303,"linear","linear"
"25","Bcells_STAT3_unstim",147.15974409806,-145.236408759473,0.186156163975917,3.90876994260088e-06,-0.000103256600842281,"linear","linear"
"26","Bcells_STAT5_IFNa",44.2400112880594,-45.0353419146444,0.000652230151611701,-3.31120422585212e-05,-0.00145127119769608,"quadratic","deceleration/increase"
"27","Bcells_STAT5_IL246",129.371255826018,-127.980887316444,0.00107978666533432,-1.16853585413809e-05,0.000148181623634093,"linear","linear"
"28","Bcells_STAT5_unstim",244.713520897342,-242.788858224693,0.196275009796407,2.79914249700776e-06,-6.8966147518038e-05,"linear","linear"
"29","Bcells_STAT6_IFNa",50.1634206918524,41.9240275961379,0.00495756171817116,-8.57472645789125e-05,-0.00800228026695703,"quadratic","deceleration/increase"
"30","Bcells_STAT6_IL246",195.428519071544,191.728989086885,0.0172023831827452,-0.000104604994911775,-0.00856263062498689,"quadratic","deceleration/increase"
"31","Bcells_STAT6_unstim",253.390746883482,-251.467411544895,0.186156163975917,2.74318427336938e-06,-7.24657341597466e-05,"linear","linear"
"32","CD4negCD8negTcells_CREB_IFNa",826.798738917092,-824.949643553234,0.11780959394087,-5.69064957922682e-07,3.86041237203499e-06,"linear","linear"
"33","CD4negCD8negTcells_CREB_IL246",547.397488406182,-549.438069410599,0.111462185690475,-7.42503171607757e-06,-0.000804607834635718,"quadratic","acceleration/decrease"
"34","CD4negCD8negTcells_CREB_unstim",496.354015266496,-499.497108184812,0.0163845950690624,-9.91260115055876e-06,-0.00119698449716884,"quadratic","acceleration/decrease"
"35","CD4negCD8negTcells_ERK_IFNa",679.105744560276,-677.436300794265,0.424353126868124,1.37756066962859e-06,0.000187847984777754,"linear","linear"
"36","CD4negCD8negTcells_ERK_IL246",495.311764096117,-501.878689602756,0.0068068680659188,-1.27654867077687e-05,-0.00142012799296412,"quadratic","acceleration/decrease"
"37","CD4negCD8negTcells_ERK_unstim",324.851119924787,-323.342552200547,0.0584385739960422,-5.46939891000665e-06,-0.000936862964231566,"linear","linear"
"38","CD4negCD8negTcells_IkB_IFNa",729.981105747484,-729.44414321549,0.0342790444012142,2.44144673583644e-06,0.000357091258286662,"linear","linear"
"39","CD4negCD8negTcells_IkB_IL246",713.027352102316,-711.046190602729,0.0945697412423828,2.9385308319637e-07,0.000124006522295186,"linear","linear"
"40","CD4negCD8negTcells_IkB_unstim",492.734664696629,-491.690616641742,0.0134595802132226,-4.35565535395726e-06,-0.000727730342227046,"linear","linear"
