"","cytof","linear_fit","quadratic_fit","pval","a","b","class","pattern"
"41","CD4negCD8negTcells_MAPKAPK2_IFNa",753.072892129058,-751.075238823688,6.29932440150418e-05,9.07560231485081e-08,0.000211937812761622,"linear","linear"
"42","CD4negCD8negTcells_MAPKAPK2_IL246",660.423577148222,-662.882471271556,0.0748689410277738,-5.34769471524685e-06,-0.000472405650256103,"quadratic","deceleration/increase"
"43","CD4negCD8negTcells_MAPKAPK2_unstim",444.051333674831,-447.752251031762,0.0171461404189039,-1.24125888908535e-05,-0.0014594879701774,"quadratic","acceleration/decrease"
"44","CD4negCD8negTcells_NFkB_IFNa",511.18076467611,-509.751230283271,0.894965293005748,3.16610660592454e-06,0.000330283884205462,"linear","linear"
"45","CD4negCD8negTcells_NFkB_IL246",480.90457453215,-479.030191223556,0.940125135275485,-1.64469593177077e-06,-0.000173175158067092,"linear","linear"
"46","CD4negCD8negTcells_NFkB_unstim",139.55198189145,-137.628960565678,0.013821586462222,4.01736090742436e-06,-0.000548000359868025,"linear","linear"
"47","CD4negCD8negTcells_p38_IFNa",540.049548221664,-540.360391270373,0.135238687390217,-5.77093881819326e-06,-0.000708303007311882,"quadratic","acceleration/decrease"
"48","CD4negCD8negTcells_p38_unstim",1405.86014267792,-1403.93680733933,0.186156163975917,5.88687279798164e-08,-1.55511448265489e-06,"linear","linear"
"49","CD4negCD8negTcells_S6_IFNa",713.133022885117,-711.569375351615,0.803821747370577,1.41276751592124e-06,0.000154870450318958,"linear","linear"
"50","CD4negCD8negTcells_S6_IL246",689.290145015424,-687.379187759404,0.885161174758279,-6.91382956096307e-07,-6.01243339382826e-05,"linear","linear"
"51","CD4negCD8negTcells_S6_unstim",179.22404492526,-177.267536695818,0.519100338047645,2.64577082512036e-06,0.000479381849005344,"linear","linear"
"52","CD4negCD8negTcells_STAT1_IFNa",17.5510806796234,-16.7024600916124,2.41814549451173e-10,-2.32917496143977e-05,0.00156496379332304,"linear","linear"
"53","CD4negCD8negTcells_STAT1_IL246",414.664917699114,-412.741582360527,0.186156163975918,-1.60245819132235e-06,4.23315744486396e-05,"linear","linear"
"54","CD4negCD8negTcells_STAT1_unstim",414.664917699114,-412.741582360527,0.186156163975918,1.60245819132235e-06,-4.23315744486396e-05,"linear","linear"
"55","CD4negCD8negTcells_STAT3_IFNa",109.435979763817,107.452179487156,0.00614086696835568,-6.58460814381712e-05,-0.00434633000494569,"quadratic","deceleration/increase"
"56","CD4negCD8negTcells_STAT3_IL246",4.03986190879468,5.95343404750119,0.0651431124662207,-6.86983275727358e-06,0.000456661435821472,"linear","linear"
"57","CD4negCD8negTcells_STAT3_unstim",98.3635235179792,-96.4346519040136,0.191766252453915,4.43004102011529e-06,-0.00013100476642634,"linear","linear"
"58","CD4negCD8negTcells_STAT5_IFNa",124.133437036971,126.084784834693,0.122119283761823,-7.69220997555409e-06,0.000658642527837986,"linear","linear"
"59","CD4negCD8negTcells_STAT5_IL246",124.204744499302,123.261021486055,0.0818991563967941,-5.95606652768446e-05,-0.00459422123820557,"quadratic","deceleration/increase"
"60","CD4negCD8negTcells_STAT5_unstim",71.8239764475785,-74.8926309698199,0.0144215536551769,4.05177708829066e-05,0.00313762416894049,"quadratic","deceleration/decrease"
"61","CD4negCD8negTcells_STAT6_IFNa",199.961877844225,-198.077013047746,0.29079784730097,-4.01679626812188e-06,-7.05141135143215e-05,"linear","linear"
"62","CD4negCD8negTcells_STAT6_IL246",50.3601654179261,47.7444405663587,0.0404729713494788,-5.81466762012716e-05,-0.00480537701842373,"quadratic","deceleration/increase"
"63","CD4negCD8negTcells_STAT6_unstim",132.606885374227,-130.98464197326,0.0199198817067055,-9.10328348191704e-06,-0.00182463797433629,"linear","linear"
"64","CD4Tcm_CREB_IFNa",1066.75800656308,-1068.68405471348,0.10324104244417,-1.29623992109072e-06,-0.000114763239686725,"quadratic","deceleration/increase"
"65","CD4Tcm_CREB_IL246",955.650741928051,-958.923184014496,0.0467235995820351,-2.17064178152468e-06,-0.000241125296492425,"quadratic","acceleration/decrease"
"66","CD4Tcm_CREB_unstim",1067.984352585,-1069.30987899045,0.0416774688986661,-1.1893108620405e-06,-0.000149189985769979,"quadratic","acceleration/decrease"
"67","CD4Tcm_ERK_IFNa",841.369007103651,-840.694941601066,0.00470733227004541,1.60372221920601e-06,0.000265222848528981,"linear","linear"
"68","CD4Tcm_ERK_IL246",741.764710081619,-741.686568121341,0.457998754461325,-2.68837709615922e-06,-0.000230003423568098,"linear","linear"
"69","CD4Tcm_ERK_unstim",519.172018831831,-517.913074952259,0.0454692098199822,-3.51272730951314e-06,-0.000566937547380363,"linear","linear"
"70","CD4Tcm_IkB_IFNa",664.611135893549,-662.730003867475,0.141005014105712,8.67274887021285e-07,0.000184370164597574,"linear","linear"
"71","CD4Tcm_IkB_IL246",661.145583525699,-660.288650737805,0.852263398374835,-2.71604089763213e-06,-0.000258335671024058,"linear","linear"
"72","CD4Tcm_IkB_unstim",413.963084188792,-416.945141596501,0.0056650874029787,-1.28430686880636e-05,-0.00164170669275993,"quadratic","acceleration/decrease"
"73","CD4Tcm_MAPKAPK2_IFNa",901.586159369299,-900.448964904836,0.000603738510723069,1.05921990258396e-06,0.00021085386468838,"linear","linear"
"74","CD4Tcm_MAPKAPK2_IL246",901.163934727769,-900.695259968088,0.293851957374224,-1.41153410947534e-06,-0.000109073974484285,"linear","linear"
"75","CD4Tcm_MAPKAPK2_unstim",630.707861765487,-636.834411090151,0.00090359291403314,-7.9229669121201e-06,-0.000974749121173862,"quadratic","acceleration/decrease"
"76","CD4Tcm_NFkB_IFNa",614.256946145217,-613.37643914611,0.692335605620717,3.14272521344046e-06,0.000282347345653497,"linear","linear"
"77","CD4Tcm_NFkB_IL246",573.103281518765,-571.103301657344,0.893529813748739,1.53177847117015e-08,-1.05035878292241e-05,"linear","linear"
"78","CD4Tcm_NFkB_unstim",328.548899879718,-329.644882862372,0.0281636984721874,-1.35012033947765e-05,-0.00176134961273765,"quadratic","acceleration/decrease"
"79","CD4Tcm_p38_IFNa",709.001755814666,-712.549688417742,0.0645939363675669,-5.06419719425227e-06,-0.0005167287063892,"quadratic","acceleration/decrease"
"80","CD4Tcm_p38_unstim",1548.55541772318,-1546.6320823846,0.186156163975917,3.65857601849232e-08,-9.66473159433984e-07,"linear","linear"
"81","CD4Tcm_S6_IFNa",732.521347902279,-732.091931613199,0.185608814366222,2.50781204278616e-06,0.000320201076092496,"linear","linear"
"82","CD4Tcm_S6_IL246",730.856907242489,-728.929570644923,0.431190142937496,5.43769782069679e-07,9.60845534613457e-05,"linear","linear"
"83","CD4Tcm_S6_unstim",175.39438210621,-173.397838445009,0.680715833898489,7.55491904391031e-07,0.000214622762370307,"linear","linear"
"84","CD4Tcm_STAT1_IFNa",34.2183098169891,29.5978350746124,1.20114278502339e-11,-6.57718029729366e-05,-0.00168811920107681,"quadratic","deceleration/increase"
"85","CD4Tcm_STAT1_unstim",328.12740276368,-326.204067425093,0.186156163975917,2.13827023960123e-06,-5.64859328805934e-05,"linear","linear"
"86","CD4Tcm_STAT3_IFNa",175.967852817445,169.093945834724,0.00046532491015021,-0.000121685561070878,-0.00928140707676662,"quadratic","deceleration/increase"
"87","CD4Tcm_STAT3_IL246",202.857656646756,201.153596088993,0.0978505165315992,-8.67288408565989e-05,-0.00743853516938478,"quadratic","deceleration/increase"
"88","CD4Tcm_STAT3_unstim",2.41733503475213,-2.3640239864218,0.207141354953891,3.1810817668782e-05,0.00240997710320805,"linear","linear"
"89","CD4Tcm_STAT5_IFNa",140.748351434015,134.674312092098,0.00214350008235941,-0.00010335110055902,-0.00825533962041301,"quadratic","deceleration/increase"
"90","CD4Tcm_STAT5_IL246",138.886277228646,134.673045958467,0.0182509868215125,-9.03793083749991e-05,-0.00766901676895222,"quadratic","deceleration/increase"
"91","CD4Tcm_STAT5_unstim",8.40203332131307,-9.87919423068502,0.180992313883069,4.15691124613684e-05,0.00408290510250616,"quadratic","deceleration/decrease"
"92","CD4Tcm_STAT6_IFNa",147.695484675332,-160.015226543758,0.000496315897047881,-5.20843796359555e-05,-0.00478815665462506,"quadratic","deceleration/increase"
"93","CD4Tcm_STAT6_IL246",89.254013783776,82.7999262130165,0.00681363732478337,-8.90194270782829e-05,-0.00780755277846825,"quadratic","deceleration/increase"
"94","CD4Tcm_STAT6_unstim",296.88133850525,-294.89871473649,0.0293074881454866,-1.12984533645764e-06,-0.000608565848944546,"linear","linear"
"95","CD4Teff_CREB_IFNa",1314.73917973922,-1314.50748969005,0.804828045368093,-3.81991889679545e-07,-3.62137666407892e-05,"linear","linear"
"96","CD4Teff_CREB_IL246",1384.50456082648,-1386.75894769902,0.0973705831785646,-4.67632021019242e-07,-5.08440712855622e-05,"quadratic","acceleration/decrease"
"97","CD4Teff_CREB_unstim",Inf,-Inf,NA,0,0,"linear","linear"
"98","CD4Teff_ERK_IFNa",597.383814401035,-595.905826206669,0.434313354166811,2.27244990339084e-06,0.000291468951131945,"linear","linear"
"99","CD4Teff_ERK_IL246",567.870928760805,-566.241834309557,0.469709881695741,2.11407026922253e-06,0.000144609047393565,"linear","linear"
"100","CD4Teff_ERK_unstim",397.76482017405,-396.890121508659,0.170631498368877,-6.483811624988e-06,-0.000868168719281634,"linear","linear"
"101","CD4Teff_IkB_IFNa",555.190428599916,-553.603716709877,0.521233265048359,2.32777204868281e-06,0.000293353038391009,"linear","linear"
"102","CD4Teff_IkB_IL246",560.69665733727,-558.700380668766,0.812674735831671,2.17072669495332e-07,-5.58454524241357e-07,"linear","linear"
"103","CD4Teff_IkB_unstim",352.088054683913,-353.964700460917,0.0231103687707693,-1.39496068197652e-05,-0.00175682020656648,"quadratic","acceleration/decrease"
"104","CD4Teff_MAPKAPK2_IFNa",633.257374384952,-631.267214047204,0.605845686498601,2.77065573941768e-07,6.55996858363937e-05,"linear","linear"
"105","CD4Teff_MAPKAPK2_IL246",619.339643149317,-618.209457321285,0.788888624595594,-2.72478051169292e-06,-0.000251057541669652,"linear","linear"
"106","CD4Teff_MAPKAPK2_unstim",503.890519664726,-503.978435023688,0.176778016889821,-6.1904783807878e-06,-0.000752703687740672,"quadratic","acceleration/decrease"
"107","CD4Teff_NFkB_IFNa",417.263395548977,-415.264907621515,0.720331405376227,-2.23135218468356e-07,-7.63619769483968e-05,"linear","linear"
"108","CD4Teff_NFkB_IL246",429.039758491769,-429.009929444469,0.6219830510278,7.7190229442494e-06,0.000698003792097671,"linear","linear"
"109","CD4Teff_NFkB_unstim",140.232730937908,-139.225998016916,0.337226606554996,-1.43760751314831e-05,-0.00179916643483483,"linear","linear"
"110","CD4Teff_p38_IFNa",895.216553480043,-894.473104923083,0.599968486811041,-1.30483647845301e-06,-0.000113988859462291,"linear","linear"
"111","CD4Teff_p38_unstim",Inf,-Inf,NA,0,0,"linear","linear"
"112","CD4Teff_S6_IFNa",631.624786435192,-632.290503956562,0.163108598459822,4.56502769498128e-06,0.000529922663138381,"quadratic","acceleration/increase"
"113","CD4Teff_S6_IL246",630.421129017355,-628.441815077992,0.624093997005573,-4.05535990418026e-07,-7.68404373246533e-05,"linear","linear"
"114","CD4Teff_S6_unstim",208.347247974294,-206.441506357364,0.50558393549741,3.53436806079727e-06,0.000554421755750537,"linear","linear"
"115","CD4Teff_STAT1_IFNa",44.0688151962933,41.9659885825588,9.17493511037684e-11,-5.37289443897215e-05,-0.000431538822350378,"quadratic","deceleration/increase"
"116","CD4Teff_STAT1_IL246",111.669890699117,-111.662026044419,0.000105504430038844,-2.23559883235342e-05,-0.000564147200975555,"linear","linear"
"117","CD4Teff_STAT1_unstim",361.660252051598,-359.736916713011,0.186156163975917,1.91213618515641e-06,-5.05122290966557e-05,"linear","linear"
"118","CD4Teff_STAT3_IFNa",190.407380479415,184.126993569394,0.00100896960611727,-0.00012346270713321,-0.00954852821202451,"quadratic","deceleration/increase"
"119","CD4Teff_STAT3_IL246",245.549608679526,245.026927173497,0.222223573836301,-8.26819665892507e-05,-0.00723386188310599,"quadratic","deceleration/increase"
"120","CD4Teff_STAT3_unstim",16.4096911821444,15.8344491041899,0.15744610997637,3.89167597513311e-05,0.00318303171051385,"quadratic","deceleration/decrease"
"121","CD4Teff_STAT5_IFNa",67.8445044182768,61.6018021399582,0.00179430436275859,-8.18736925874121e-05,-0.00652093620782831,"quadratic","deceleration/increase"
"122","CD4Teff_STAT5_IL246",71.7434626492661,70.1718205537951,0.0153300592621108,-5.50233075499462e-05,-0.00376980453647077,"quadratic","deceleration/increase"
"123","CD4Teff_STAT5_unstim",56.4509639819988,-55.3254591200241,0.404808762954338,1.78385037397204e-05,0.00219828152741863,"linear","linear"
"124","CD4Teff_STAT6_IFNa",114.204359121824,-122.303421062093,0.00637605287905835,-4.92467278196154e-05,-0.00471836972248809,"quadratic","deceleration/increase"
"125","CD4Teff_STAT6_IL246",109.405756801875,104.665724823049,0.0172546534444015,-8.524820454161e-05,-0.00741955415839407,"quadratic","deceleration/increase"
"126","CD4Teff_STAT6_unstim",199.168817356654,-197.326486376827,0.163380324358431,-4.71266113735503e-06,-0.000907081127345508,"linear","linear"
"127","CD4Tem_CREB_IFNa",1054.07830696355,-1055.58752316295,0.101032682443749,-1.27928956220898e-06,-0.00010812698435761,"quadratic","deceleration/increase"
"128","CD4Tem_CREB_IL246",880.006348539855,-885.184172860327,0.0156416249170434,-3.24874417986018e-06,-0.000360658294680534,"quadratic","acceleration/decrease"
"129","CD4Tem_CREB_unstim",945.692854243018,-945.545086608494,0.00708628738637558,-1.33755402941341e-06,-0.00020414354298503,"linear","linear"
"130","CD4Tem_ERK_IFNa",845.880100523436,-843.899316198286,0.287790655991191,1.90594596191669e-07,5.75677896884817e-05,"linear","linear"
"131","CD4Tem_ERK_IL246",743.808156581217,-747.714751980966,0.0506245263652066,-4.65016377515029e-06,-0.000485193727061204,"quadratic","acceleration/decrease"
"132","CD4Tem_ERK_unstim",503.558860917196,-501.984061823151,0.141754608195389,-2.8044442761322e-06,-0.000446772117705574,"linear","linear"
"133","CD4Tem_IkB_IFNa",693.871279207698,-692.082632104991,0.0729885881840837,1.04882520892022e-06,0.000212921953496442,"linear","linear"
"134","CD4Tem_IkB_IL246",704.389528151241,-703.973951897993,0.597169288167956,-2.76640073054801e-06,-0.000245158771082303,"linear","linear"
"135","CD4Tem_IkB_unstim",434.107951995352,-436.670900592267,0.00694613020059928,-1.15007536024562e-05,-0.00148450536817937,"quadratic","acceleration/decrease"
"136","CD4Tem_MAPKAPK2_IFNa",930.42264438647,-929.050091086363,0.00691610135809884,-8.20811099251734e-07,-7.14380176083884e-06,"linear","linear"
"137","CD4Tem_MAPKAPK2_IL246",935.836518848596,-937.063842282363,0.20307929082394,-1.82037489285876e-06,-0.000177216205759478,"quadratic","deceleration/increase"
"138","CD4Tem_MAPKAPK2_unstim",697.962213176081,-702.830058413599,0.000458043783381555,-5.83294457774467e-06,-0.00075883546415799,"quadratic","acceleration/decrease"
"139","CD4Tem_NFkB_IFNa",624.26451921122,-622.546706258143,0.0588464042238911,1.52820775866888e-06,8.30648073245924e-06,"linear","linear"
"140","CD4Tem_NFkB_IL246",564.391900512003,-562.591886383728,0.387616486544571,-1.5708962281857e-06,-0.000236683634074714,"linear","linear"
"141","CD4Tem_NFkB_unstim",262.500317753581,-262.425921158875,0.11295057856639,-1.3295862697619e-05,-0.0017286881333782,"linear","linear"
"142","CD4Tem_p38_IFNa",591.086498013315,-594.737975781237,0.0523775829765013,-7.57096727332963e-06,-0.000805828114543582,"quadratic","acceleration/decrease"
"143","CD4Tem_p38_unstim",1107.15390832844,-1105.23057298985,0.186156163975918,1.59333177113707e-07,-4.20904850164073e-06,"linear","linear"
"144","CD4Tem_S6_IFNa",746.467409076098,-744.63563627724,0.136586078071266,7.85303686906957e-07,0.00015366505025454,"linear","linear"
"145","CD4Tem_S6_IL246",744.482017517664,-742.526222938255,0.172647855516064,-4.05313620338843e-07,2.90418452929507e-05,"linear","linear"
"146","CD4Tem_S6_unstim",165.29662759289,-163.312570359859,0.684865676974602,1.67807925987906e-06,0.000309402474414851,"linear","linear"
"147","CD4Tem_STAT1_IFNa",48.4808236564523,42.2379778864768,1.81503629655056e-10,-7.67566931641672e-05,-0.0030315360579652,"quadratic","deceleration/increase"
"148","CD4Tem_STAT1_unstim",310.141700984417,-308.21836564583,0.186156163975918,2.27038527598742e-06,-5.99759693313737e-05,"linear","linear"
"149","CD4Tem_STAT3_IFNa",168.245096467504,160.43434830534,0.000178099316866444,-0.000124503560710565,-0.00942752514015383,"quadratic","deceleration/increase"
"150","CD4Tem_STAT3_IL246",200.05873911652,196.873073259801,0.0749664645498,-0.000101416307457503,-0.00973851004802552,"quadratic","deceleration/increase"
"151","CD4Tem_STAT3_unstim",29.2031232401807,-28.9443204149066,0.0524814283806289,2.75246979867924e-05,0.00166936988675186,"linear","linear"
"152","CD4Tem_STAT5_IFNa",142.531962047841,135.195217766372,0.00234291622658956,-0.000111569198152811,-0.00943240879597522,"quadratic","deceleration/increase"
"153","CD4Tem_STAT5_IL246",144.119561329458,139.832958745805,0.0181687743287399,-9.2499944640437e-05,-0.00787956366285841,"quadratic","deceleration/increase"
"154","CD4Tem_STAT5_unstim",3.40955744129993,2.05051166813518,0.166273004393974,4.25060273721506e-05,0.00390321358893935,"quadratic","deceleration/decrease"
"155","CD4Tem_STAT6_IFNa",158.664701479757,-171.044542413038,0.000870146555205022,-5.03146628218063e-05,-0.00500325476950649,"quadratic","deceleration/increase"
"156","CD4Tem_STAT6_IL246",90.400603854776,82.8358478087742,0.00742773763917729,-9.48751226461057e-05,-0.0089195479216067,"quadratic","deceleration/increase"
"157","CD4Tem_STAT6_unstim",278.818983791589,-276.882703919388,0.0530945739189385,-2.29770313076839e-06,-0.000695735094312034,"linear","linear"
"158","CD4Tnaive_CREB_IFNa",1317.10908087638,-1316.09172092718,0.709261288539065,-2.82884539026844e-07,-2.53994369927711e-05,"linear","linear"
"159","CD4Tnaive_CREB_IL246",1230.81331238215,-1234.15550693932,0.0677071537847094,-8.73078490247396e-07,-9.09471662332583e-05,"quadratic","acceleration/decrease"
"160","CD4Tnaive_CREB_unstim",1479.13203225453,-1479.32895696141,0.339781852300576,-2.45974420452558e-07,-2.48643019399195e-05,"quadratic","acceleration/decrease"
"161","CD4Tnaive_ERK_IFNa",774.050092475212,-772.388787379541,0.136166514110591,1.01610942606357e-06,0.000170133139368928,"linear","linear"
"162","CD4Tnaive_ERK_IL246",718.99988087627,-720.212834839761,0.11720666861193,-3.74201385284317e-06,-0.000313918910954801,"quadratic","deceleration/increase"
"163","CD4Tnaive_ERK_unstim",480.871183950951,-480.276963846397,0.0762781159834761,-5.49089476163468e-06,-0.00076536065291807,"linear","linear"
"164","CD4Tnaive_IkB_IFNa",617.241181999048,-615.682712753391,0.0948196632979222,1.95634918646627e-06,0.000325299316526292,"linear","linear"
"165","CD4Tnaive_IkB_IL246",617.509218789839,-616.341377309909,0.524739987345014,-2.68162692638204e-06,-0.000218045982936857,"linear","linear"
"166","CD4Tnaive_IkB_unstim",350.729645335593,-353.194828843555,0.0137506259131621,-1.50243619752553e-05,-0.00188800041130976,"quadratic","acceleration/decrease"
"167","CD4Tnaive_MAPKAPK2_IFNa",795.927530618628,-794.434692959797,4.72818443733982e-05,-1.15562500065817e-06,6.37813854935324e-05,"linear","linear"
"168","CD4Tnaive_MAPKAPK2_IL246",791.078675145374,-793.478296958155,0.0793710410299784,-3.43685147629609e-06,-0.000304795132689226,"quadratic","deceleration/increase"
"169","CD4Tnaive_MAPKAPK2_unstim",504.582689528746,-504.57656861222,0.219195286290055,-6.03647030176571e-06,-0.000741039409000768,"linear","linear"
"170","CD4Tnaive_NFkB_IFNa",618.718407507372,-617.835943815805,0.995503964070867,3.09363681451631e-06,0.000308904410577451,"linear","linear"
"171","CD4Tnaive_NFkB_IL246",588.935812896945,-586.937859343297,0.728484124553505,-1.4647392731267e-07,1.50009747614429e-05,"linear","linear"
"172","CD4Tnaive_NFkB_unstim",323.278495817336,-323.685809337961,0.167527615247222,-1.21301499044183e-05,-0.00143812888320649,"quadratic","acceleration/decrease"
"173","CD4Tnaive_p38_unstim",Inf,-Inf,NA,0,0,"linear","linear"
"174","CD4Tnaive_S6_IFNa",813.855011822002,-811.860331272361,0.0185445049628353,-1.11580233351403e-07,8.46335592303861e-05,"linear","linear"
"175","CD4Tnaive_S6_IL246",771.558583584851,-769.590471994608,0.174324768248453,3.14544022608376e-07,9.45767957819561e-05,"linear","linear"
"176","CD4Tnaive_S6_unstim",206.328578314635,-204.370365443123,0.721377987286377,2.36937251435444e-06,0.000345135422421564,"linear","linear"
"177","CD4Tnaive_STAT1_IFNa",38.6679938622384,37.7840361464728,6.06366913073549e-11,-4.43324265249796e-05,0.000550000067884076,"quadratic","deceleration/increase"
"178","CD4Tnaive_STAT1_IL246",81.2776737616051,-79.9351378434745,9.34420272408522e-06,-1.42440127937472e-05,0.000702398350062553,"linear","linear"
"179","CD4Tnaive_STAT1_unstim",374.603141054314,-372.679805715727,0.186156163975917,1.83139519002665e-06,-4.83793226252726e-05,"linear","linear"
"180","CD4Tnaive_STAT3_IFNa",192.257641681303,186.478481842692,0.00181674603320247,-0.000120507733622101,-0.00941273077516384,"quadratic","deceleration/increase"
"181","CD4Tnaive_STAT3_IL246",229.509075049042,228.694982327207,0.154029149812921,-8.27403648571581e-05,-0.00695162974932351,"quadratic","deceleration/increase"
"182","CD4Tnaive_STAT3_unstim",33.8967333749559,33.3903443655072,0.261958311035071,4.07020857927398e-05,0.00373680701306274,"quadratic","deceleration/decrease"
"183","CD4Tnaive_STAT5_IFNa",49.0661750050123,45.753552630431,0.0101433113945362,-6.20418186538998e-05,-0.00474822958031044,"quadratic","deceleration/increase"
