,Spearman corr,pvalue,Lasso mean coef,Lasso ModelIndex,Lasso rank,Lasso 1SE mean coef,Lasso 1SE ModelIndex,Lasso 1SE rank,ElasticNet mean coef,ElasticNet ModelIndex,ElasticNet rank,rank sum
intMCs_154Sm_STAT3_unstim,-0.0046230934664433,0.955224115634006,0.0,0.0,276,0.0,0.0,748,-0.004687613163716982,9.325876006492026e-05,178,369.5
CD4Teff_159Tb_MAPKAPK2_IFNa,-0.0005796647961771,0.9943829189013706,0.0,0.0,271,0.0,0.0,743,0.0,0.0,197,370.5
MDSCs_167Er_ERK_LPS,-0.0003981224424538,0.9961420881161024,0.0,0.0,272,0.0,0.0,744,0.0,0.0,195,370.75
CD8Teff_168Er_STAT6_IFNa,-0.0092230714655545,0.9108103086536008,0.0,0.0,282,0.0,0.0,754,0.008465990146843733,0.0003434826825071074,166,371.0
CD8Teff_156Gd_IkB_IFNa,-0.0116038684760884,0.8879223626552805,0.0,0.0,225,0.0,0.0,698,0.0,0.0,338,371.5
pDCs_159Tb_MAPKAPK2_IFNa,-0.0009139784526498,0.9911434526552214,0.0,0.0,270,0.0,0.0,742,0.0,0.0,205,371.75
ncMCs_150Nd_STAT5_unstim,0.0110954588316511,0.8928028847654207,0.0,0.0,226,0.0,0.0,699,0.0,0.0,339,372.5
cMCs_166Er_NFkB_unstim,-0.0041243694687833,0.9600501504574754,0.0,0.0,275,0.0,0.0,747,0.0,0.0,193,372.5
mDCs_166Er_NFkB_GMCSF,0.1689971053304258,0.0386999744942483,0.0,0.0,439,0.0,0.0,149,0.0,0.0,464,372.75
MDSCs_156Gd_IkB_unstim,0.0117098489276446,0.8869055175155248,0.0,0.0,223,0.0,0.0,627,0.0,0.0,420,373.25
mDCs_154Sm_STAT3_unstim,-0.0213783270719004,0.7951188631332644,0.0,0.0,360,0.0,0.0,654,0.0708102637599018,0.007050432331593326,120,373.5
ncMCs_159Tb_MAPKAPK2_IL246,0.0109497783204836,0.894202106593049,0.0,0.0,227,0.0,0.0,700,0.0,0.0,340,373.5
Granulocytes_167Er_ERK_LPS,0.0152792816570611,0.8527760194829067,0.0,0.0,229,0.0,0.0,702,0.0,0.0,335,373.75
CD4negCD8negTcells_156Gd_IkB_IL246,0.1351994377612781,0.0990290389904412,0.0,0.0,440,0.0,0.0,150,0.0,0.0,465,373.75
MDSCs_167Er_ERK_IL246,0.0108922698812096,0.8947545495351619,0.0,0.0,228,0.0,0.0,701,0.0,0.0,341,374.5
