omic,Fold 0,Fold 1,Fold 2,Fold 3,Fold 4,Fold 5,Fold 6,Fold 7,Fold 8,Fold 9,Fold 10,Fold 11,Fold 12,Fold 13,Fold 14,Fold 15,Fold 16,Fold 17,Fold 18,Fold 19,Fold 20,Fold 21,Fold 22,Fold 23,Fold 24,Fold 25,Fold 26,Fold 27,Fold 28,Fold 29,Fold 30,Fold 31,Fold 32,Fold 33,Fold 34,Fold 35,Fold 36,Fold 37,Fold 38,Fold 39,Fold 40,Fold 41,Fold 42,Fold 43,Fold 44,Fold 45,Fold 46,Fold 47,Fold 48,Fold 49,Fold 50,Fold 51,Fold 52,Fold 53,Fold 54,Fold 55,Fold 56,Fold 57,Fold 58,Fold 59,Fold 60
CYTOF,0.032605302638720114,0.5628509645317001,0.040664544670000136,0.041657368686309634,0.05587897568603486,0.7541170004842939,0.5587544732881784,0.16551636997015384,0.6072226453554185,0.023167996619165413,0.6104127538086692,0.7958940007917665,0.08781944279993587,0.4414717043845447,0.6564753044461153,0.05757334914699564,0.775996177608304,0.8964800978766476,0.09308042120343474,0.04234200977265054,0.5824449265883955,0.8044101643004802,0.6928147978502613,0.8351665566889341,0.45184469602891364,0.7923416882858013,0.5393763276043563,0.47676719456750616,0.04680688072284272,0.07777845944730047,0.21258860431272006,0.7229509792422394,0.6631008364363126,0.05266652963357422,0.46801873637680697,0.11807040627033512,0.34677821676567594,0.5223629874399437,0.03011172131113543,0.8034103498595149,0.05261243378558238,0.7217445432302846,0.10398039898133925,0.12371150235411037,0.16691949410423348,0.4364313238891881,0.5350184222831814,0.08741768874093236,0.42471859427015096,0.0640096116898505,0.11570637227316781,0.05980800384263589,0.03650316791644013,0.6080526560028213,0.6124141008079229,0.7974588651992016,0.4736138342023587,0.3825845432018354,0.5640138888984951,0.2847672894827647,0.3909311026177784
GA,0.5311904575787659,0.29488510387069,0.038045348618428856,0.5836429228057864,0.45185100398658923,0.09702255559942023,0.18120766497570273,0.24712177908301425,0.1732884967954543,0.04619546090868173,0.16880274001743134,0.10701317379427945,0.3094600587121444,0.2303685629363694,0.13201277378150977,0.14851801018051355,0.08753594681957344,0.0450856831389252,0.23094225821504707,0.3899053777057353,0.12726228913799084,0.048056548893570326,0.1519480974071208,0.06728872430672446,0.18736622910572656,0.09078445559170939,0.17006976066886598,0.1862920138118586,0.39497871598653433,0.36122478661977986,0.05030919568929865,0.11290690730785993,0.09478933366084494,0.2353251768758854,0.1158674935110488,0.408482282178901,0.2495059146051748,0.07422573104192888,0.184842051424531,0.056847452600493474,0.2820897206639354,0.08548713182261714,0.22131136161464732,0.2956855533149188,0.18031484678238824,0.12626428447913282,0.09087626652993794,0.34698798499362254,0.34781176150982174,0.23347176884799423,0.2506931935010744,0.2767729019007133,0.32626404405854403,0.14674020041100092,0.16268270324157144,0.06188652984093745,0.2306543367000275,0.2741033014855034,0.18420729834485522,0.24962847076620295,0.2571634168282832
Proteomics,0.43620423978251394,0.1422639315976099,0.921290106711571,0.37469970850790385,0.4922700203273758,0.1488604439162858,0.260037861736119,0.5873618509468319,0.21948885784912736,0.9306365424721529,0.22078450617389936,0.09709282541395395,0.6027204984879196,0.3281597326790859,0.211511921772375,0.7939086406724908,0.1364678755721226,0.0584342189844272,0.6759773205815182,0.5677526125216141,0.2902927842736136,0.14753328680594946,0.15523710474261773,0.09754471900434136,0.36078907486535977,0.11687385612248918,0.2905539117267778,0.3369407916206352,0.558214403290623,0.5609967539329197,0.7371021999979813,0.16414211344990073,0.2421098299028425,0.7120082934905404,0.4161137701121442,0.47344731155076397,0.4037158686291494,0.4034112815181275,0.7850462272643335,0.13974219753999165,0.6652978455504823,0.1927683249470984,0.6747082394040135,0.5806029443309709,0.6527656591133782,0.43730439163167906,0.3741053111868807,0.5655943262654451,0.22746964422002736,0.7025186194621552,0.6336004342257578,0.6634190942566509,0.6372327880250158,0.24520714358617784,0.22490319595050565,0.14065460495986087,0.2957318290976138,0.34331215531266135,0.25177881275664976,0.4656042397510323,0.35190548055393833
