,ROC AUC,Average Precision,N features,CVS,U-test pvalue
STABL,"0.760 [0.535, 0.952]","0.788 [0.543, 0.958]","2.000 [0.000, 3.000]","0.000 [0.000, 0.500]",4.329e-02
SS 03,"0.540 [0.252, 0.818] (p=0.105)","0.516 [0.317, 0.853] (p=0.056)","6.000 [5.000, 6.000] (p=4.769e-61)","1.000 [0.800, 1.000] (p=0.000e+00)",7.913e-01
SS 05,"0.720 [0.444, 0.956] (p=0.323)","0.797 [0.545, 0.965] (p=0.446)","4.000 [4.000, 4.000] (p=6.475e-57)","1.000 [0.750, 1.000] (p=0.000e+00)",1.041e-01
SS 08,"0.750 [0.489, 0.958] (p=0.48)","0.819 [0.559, 0.969] (p=0.376)","2.000 [2.000, 2.000] (p=6.856e-02)","1.000 [0.500, 1.000] (p=0.000e+00)",6.402e-02
Lasso,"0.670 [0.396, 0.912] (p=0.262)","0.781 [0.540, 0.942] (p=0.477)","5.000 [4.000, 5.250] (p=4.113e-40)","0.667 [0.400, 0.833] (p=0.000e+00)",2.123e-01
Lasso 1SE,"0.680 [0.385, 0.910] (p=0.293)","0.785 [0.527, 0.948] (p=0.508)","5.000 [4.000, 5.250] (p=4.113e-40)","0.667 [0.400, 0.833] (p=0.000e+00)",1.859e-01
ElasticNet,"0.730 [0.472, 0.929] (p=0.377)","0.806 [0.566, 0.957] (p=0.432)","5.000 [5.000, 6.000] (p=1.289e-46)","0.833 [0.600, 0.833] (p=0.000e+00)",8.897e-02
