,ROC AUC,Average Precision,N features,CVS,U-test pvalue
STABL,"0.500 [0.500, 0.500]","0.500 [0.300, 0.700]","0.000 [0.000, 0.000]","0.000 [0.000, 0.000]",1.000e+00
SS 03,"0.240 [0.047, 0.485] (p=0.098)","0.400 [0.227, 0.720] (p=0.161)","10.000 [10.000, 10.000] (p=5.050e-85)","1.000 [1.000, 1.000] (p=0.000e+00)",5.381e-02
SS 05,"0.290 [0.061, 0.560] (p=0.102)","0.404 [0.241, 0.666] (p=0.11)","8.000 [7.000, 8.000] (p=1.167e-78)","0.875 [0.857, 1.000] (p=0.000e+00)",1.212e-01
SS 08,"0.500 [0.500, 0.500] (p=1.0)","0.500 [0.300, 0.700] (p=1.0)","0.000 [0.000, 0.000] (p=1.000e+00)","0.000 [0.000, 0.000] (p=1.000e+00)",1.000e+00
Lasso,"0.360 [0.214, 0.500] (p=0.131)","0.453 [0.248, 0.671] (p=0.241)","0.000 [0.000, 0.000] (p=1.333e-08)","0.000 [0.000, 0.000] (p=1.209e-97)",1.007e-01
Lasso 1SE,"0.360 [0.202, 0.500] (p=0.125)","0.453 [0.250, 0.681] (p=0.239)","0.000 [0.000, 0.000] (p=1.333e-08)","0.000 [0.000, 0.000] (p=1.209e-97)",1.007e-01
ElasticNet,"0.430 [0.167, 0.707] (p=0.312)","0.497 [0.273, 0.797] (p=0.461)","0.000 [0.000, 0.000] (p=4.651e-06)","0.000 [0.000, 0.000] (p=2.017e-43)",6.232e-01
