,Frequency,CREB,STAT5,p38,STAT1,STAT3,S6,IkB,NFkB,ERK,STAT6,MAPKAPK2
1326,1.353434159,0.853953026,0.196625667,0.0923424,0.0,1.406690906,0.310869785,0.542472177,0.36232121,0.103682203,0.060543373,0.229942264
1330,0.766008655,0.698419769,0.144134029,0.046237996,0.0,0.980933887,0.207586004,0.424574223,0.214920691,0.053909198,0.039596524,0.179882673
1331,11.68180891,0.573847463,0.205231541,0.097649401,0.0,1.31180564,0.244404768,0.518769127,0.333641544,0.060983022,0.085161145,0.141452273
1337,5.135336158,1.081698603,0.150244668,1.018260509,0.0,0.348134921,0.214769915,0.269345043,0.258060049,0.802040884,0.076115416,0.874973768
1357,0.410925197,0.558822999,0.11597478,0.00489751,0.0,0.536585972,0.228265439,0.349916686,0.185958233,0.053572813,0.03501408,0.141312499
1377,13.11243631,0.849600666,0.197031719,0.121530545,0.0,1.896256444,0.317203317,0.555032483,0.418527121,0.234573868,0.073118569,0.186330059
1381,11.84058829,0.653063548,0.140296989,0.052121661,0.0,0.87953928,0.221469127,0.490468567,0.223997696,0.030541663,0.017781622,0.165254219
1400,0.882290562,0.439723469,0.122454501,0.042870135,0.0,0.674685553,0.223731663,0.421204302,0.220597439,0.0,0.041632254,0.145498
1414,3.431622205,0.982224051,0.176942037,0.20483689,0.0,1.229795458,0.581272581,0.857409496,0.516929892,0.070497986,0.086480905,0.22624004
1418,1.634721565,0.770283639,0.132699707,0.108422648,0.0,0.437332147,0.382590227,0.736200533,0.368959658,0.053560198,0.009585308,0.216116704
1427,2.59058808,0.412956888,0.098377284,0.041077192,0.0,0.770629187,0.340879021,0.363602652,0.154156152,0.015727509,0.000650759,0.109685935
1428,2.554413708,0.487265256,0.127183094,0.068387696,0.0,0.688633715,0.255909303,0.385205558,0.184271063,0.033225604,0.03480131,0.105119964
1431,0.539392348,0.583820958,0.136598637,0.078823445,0.0,0.732630574,0.380562237,0.375148767,0.260015322,0.081796277,0.037350076,0.141903214
1464,1.712918062,1.242746549,0.115507099,0.820735908,0.0,0.337892059,0.374012918,0.242615,0.265049929,0.109770979,0.022036403,0.936868573
1469,18.48188651,1.280865255,0.129413594,1.467844537,0.0,0.528275439,0.338592629,0.464530589,0.265002237,0.486311956,0.061525336,0.920056023
1472,1.418191514,0.561573608,0.17158608,0.093715277,0.0,1.103833352,0.660233574,0.434980168,0.241338302,0.007370536,0.019579897,0.127899264
1473,4.969064192,0.358659908,0.12583367,0.018270671,0.0,0.727487359,0.45518055,0.501145178,0.193115441,0.0,0.010714724,0.108799745
1475,0.298106292,0.385015369,0.09694929,0.032032316,0.0,0.687344016,0.495693949,0.341604653,0.098362152,0.006522734,0.0,0.089275118
1480,11.38423814,0.427716412,0.122570502,0.048573036,0.0,0.831058032,0.562199683,0.406455655,0.194225408,0.014321177,0.025507554,0.106778877
1488,1.024599896,0.549991953,0.142287397,0.057673918,0.0,1.190711162,0.716222536,0.30118439,0.198258507,0.006451023,0.0,0.108197045
