,CREB,STAT5,p38,STAT1,STAT3,S6,IkB,NFkB,ERK,STAT6,MAPKAPK2
1326,0.586121718,0.068362893,0.0,0.0,0.593921967,0.504580692,0.390819815,0.220272114,0.000686028,0.0,0.086169301
1330,0.311700694,0.037862487,0.0,0.0,0.256906271,0.839940682,0.291877182,0.123859709,0.0,0.0,0.068706868
1331,0.362619017,0.061144984,0.0,0.0,0.334748668,0.407746109,0.356981545,0.211186735,0.000288448,0.005463858,0.039508838
1337,0.563780344,0.108936241,0.162506788,0.0,0.349049048,0.462989853,0.273266959,0.175414205,0.113168958,0.0,0.176772755
1357,0.293030006,0.035154626,0.0,0.0,0.138281349,0.538404368,0.251112096,0.189045926,0.0,0.0,0.062477829
1377,0.144939279,0.073229964,0.0,0.0,0.685144962,0.054990914,0.330346588,0.334140655,0.043836887,0.022994709,0.018926751
1381,0.10456833,0.0,0.0,0.0,0.0,0.0,0.165979737,0.166435406,0.0,0.0,0.0
1400,0.0,0.0,0.0,0.0,0.0,0.0,0.192167999,0.21199132,0.0,0.0,0.0
1414,0.109906885,0.033161668,0.0,0.0,0.099258776,0.010593672,0.348069812,0.442520034,0.040527786,0.049746263,0.0
1418,0.04838808,0.051034405,0.07612858,0.0,0.0,0.01653719,0.183501443,0.212460333,0.0,0.0,0.041677072
1427,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1428,0.0,0.0,0.0,0.0,0.0,0.0,0.040111585,0.0,0.0,0.0,0.0
1431,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1464,0.098640305,0.0,0.038523595,0.0,0.052680185,0.464622252,0.058566694,0.071522931,0.0,0.0,0.043248361
1469,0.0,0.0,0.0,0.0,0.0,0.041093379,0.0,0.0,0.0,0.0,0.0
1472,0.126641436,0.0,0.0,0.0,8.34e-05,0.20617245,0.243769286,0.307027472,0.0,0.011321008,0.0
1473,0.0,0.0,0.0,0.0,0.009141634,0.166126976,0.16594395,0.044264657,0.0,0.0,0.0
1475,0.0,0.0,0.0,0.0,0.0,0.087800275,0.110111017,0.039284346,0.0,0.0,0.0
1480,0.029984048,0.0,0.0,0.0,0.0,0.175320743,0.146759286,0.124046994,0.0,0.0,0.0
1488,0.096223558,0.0,0.0,0.0,0.0,0.258527823,0.184018801,0.207930916,0.0,0.0,0.0
