,ROC AUC,Average Precision,N features,CVS
STABL,"0.540 [0.265, 0.823]","0.593 [0.334, 0.897]","6.500 [4.000, 10.000]","0.364 [0.250, 0.462]"
SS 03,"0.650 [0.390, 0.880] (p=0.12)","0.712 [0.424, 0.926] (p=0.118)","10.000 [9.000, 11.000] (p=8.428e-03)","0.538 [0.456, 0.596] (p=3.872e-21)"
SS 05,"0.770 [0.525, 0.950] (p=0.013)","0.798 [0.569, 0.962] (p=0.009)","5.000 [5.000, 6.000] (p=4.291e-02)","0.667 [0.518, 0.833] (p=1.301e-36)"
SS 08,"0.270 [0.119, 0.423] (p=0.048)","0.476 [0.269, 0.685] (p=0.183)","0.000 [0.000, 0.250] (p=1.613e-07)","0.000 [0.000, 0.000] (p=4.583e-59)"
Lasso,"0.490 [0.200, 0.790] (p=0.376)","0.677 [0.386, 0.890] (p=0.326)","7.000 [4.000, 10.500] (p=7.019e-01)","0.350 [0.250, 0.500] (p=6.885e-01)"
Lasso 1SE,"0.540 [0.253, 0.818] (p=0.496)","0.709 [0.433, 0.907] (p=0.25)","6.500 [2.750, 11.250] (p=8.387e-01)","0.250 [0.091, 0.385] (p=6.756e-07)"
ElasticNet,"0.590 [0.308, 0.857] (p=0.354)","0.749 [0.497, 0.928] (p=0.179)","12.000 [10.000, 15.250] (p=2.166e-03)","0.417 [0.333, 0.533] (p=2.302e-04)"
