,ROC AUC,Average Precision,N features,CVS
STABL,"0.670 [0.385, 0.917]","0.664 [0.392, 0.944]","4.000 [3.000, 4.000]","0.750 [0.600, 0.800]"
SS 03,"0.660 [0.394, 0.901] (p=0.41)","0.703 [0.440, 0.952] (p=0.414)","5.000 [5.000, 5.000] (p=1.685e-72)","1.000 [1.000, 1.000] (p=0.000e+00)"
SS 05,"0.660 [0.374, 0.905] (p=0.426)","0.703 [0.422, 0.945] (p=0.411)","5.000 [5.000, 5.000] (p=2.510e-67)","1.000 [1.000, 1.000] (p=0.000e+00)"
SS 08,"0.750 [0.480, 0.970] (p=0.277)","0.756 [0.498, 0.976] (p=0.437)","1.000 [1.000, 1.250] (p=3.342e-70)","1.000 [0.500, 1.000] (p=1.832e-307)"
Lasso,"0.770 [0.530, 0.939] (p=0.085)","0.829 [0.580, 0.968] (p=0.061)","5.000 [4.750, 5.000] (p=8.255e-25)","1.000 [0.400, 1.000] (p=1.086e-272)"
Lasso 1SE,"0.780 [0.521, 0.956] (p=0.074)","0.835 [0.619, 0.973] (p=0.042)","5.000 [4.750, 5.000] (p=1.622e-24)","1.000 [0.500, 1.000] (p=2.001e-283)"
ElasticNet,"0.770 [0.538, 0.949] (p=0.155)","0.829 [0.632, 0.966] (p=0.204)","5.000 [4.750, 5.000] (p=6.043e-23)","1.000 [0.400, 1.000] (p=1.396e-168)"
