,alpha'=' 2.007,alpha'=' 2.189,alpha'=' 2.388,alpha'=' 2.605,alpha'=' 2.842,alpha'=' 3.101,alpha'=' 3.383,alpha'=' 3.691,alpha'=' 4.027,alpha'=' 4.393,alpha'=' 4.793,alpha'=' 5.229,alpha'=' 5.705,alpha'=' 6.223,alpha'=' 6.790,alpha'=' 7.407,alpha'=' 8.081,alpha'=' 8.816,alpha'=' 9.618,alpha'=' 10.494,alpha'=' 11.448,alpha'=' 12.490,alpha'=' 13.626,alpha'=' 14.866,alpha'=' 16.218,alpha'=' 17.693,alpha'=' 19.303,alpha'=' 21.059,alpha'=' 22.975,alpha'=' 25.065
artificial.1,0.003,0.002,0.002,0.002,0.001,0.001,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
artificial.2,0.205,0.19,0.179,0.167,0.146,0.13,0.107,0.086,0.069,0.054,0.039,0.019,0.013,0.009,0.004,0.002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
artificial.3,0.027,0.026,0.023,0.017,0.013,0.005,0.004,0.003,0.002,0.002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
artificial.4,0.477,0.463,0.456,0.446,0.438,0.422,0.402,0.373,0.344,0.317,0.277,0.243,0.211,0.166,0.103,0.039,0.003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
artificial.5,0.148,0.148,0.141,0.13,0.129,0.123,0.114,0.109,0.101,0.088,0.08,0.064,0.055,0.035,0.026,0.015,0.004,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
artificial.6,0.07,0.061,0.052,0.05,0.041,0.038,0.032,0.026,0.019,0.013,0.01,0.009,0.006,0.004,0.003,0.001,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
artificial.7,0.037,0.031,0.024,0.023,0.018,0.015,0.008,0.007,0.005,0.002,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
artificial.8,0.054,0.049,0.039,0.029,0.023,0.014,0.008,0.005,0.003,0.003,0.001,0.001,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
artificial.9,0.016,0.013,0.012,0.008,0.004,0.002,0.002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
artificial.10,0.133,0.129,0.126,0.123,0.117,0.108,0.099,0.088,0.077,0.067,0.057,0.036,0.017,0.005,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
artificial.11,0.077,0.073,0.067,0.057,0.052,0.049,0.042,0.034,0.029,0.023,0.017,0.013,0.01,0.006,0.003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
artificial.12,0.05,0.049,0.048,0.047,0.044,0.041,0.038,0.036,0.03,0.026,0.02,0.016,0.014,0.007,0.002,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
artificial.13,0.002,0.002,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
artificial.14,0.029,0.025,0.024,0.022,0.019,0.019,0.013,0.008,0.004,0.002,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
artificial.15,0.017,0.015,0.011,0.009,0.007,0.004,0.003,0.001,0.001,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
artificial.16,0.015,0.011,0.011,0.01,0.009,0.007,0.005,0.004,0.003,0.003,0.002,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
artificial.17,0.02,0.018,0.017,0.013,0.013,0.012,0.011,0.009,0.007,0.006,0.006,0.005,0.003,0.001,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
artificial.18,0.031,0.029,0.024,0.022,0.014,0.008,0.008,0.007,0.007,0.006,0.004,0.002,0.001,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
artificial.19,0.032,0.025,0.024,0.022,0.022,0.02,0.016,0.014,0.014,0.013,0.012,0.01,0.008,0.004,0.001,0.001,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
artificial.20,0.069,0.063,0.06,0.059,0.055,0.05,0.045,0.036,0.032,0.024,0.017,0.013,0.007,0.006,0.006,0.003,0.002,0.002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
artificial.21,0.077,0.076,0.073,0.068,0.065,0.06,0.061,0.055,0.05,0.042,0.035,0.026,0.021,0.012,0.006,0.003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
artificial.22,0.102,0.089,0.078,0.066,0.06,0.054,0.045,0.033,0.021,0.012,0.004,0.004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
artificial.23,0.176,0.168,0.161,0.157,0.151,0.144,0.136,0.123,0.115,0.107,0.1,0.087,0.073,0.061,0.042,0.033,0.02,0.009,0.004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
artificial.24,0.007,0.005,0.005,0.005,0.003,0.001,0.001,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
artificial.25,0.15,0.147,0.145,0.134,0.124,0.113,0.097,0.086,0.06,0.042,0.032,0.013,0.007,0.003,0.002,0.001,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
artificial.26,0.06,0.053,0.052,0.049,0.045,0.039,0.035,0.033,0.031,0.03,0.025,0.023,0.018,0.013,0.01,0.004,0.002,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
artificial.27,0.15,0.143,0.139,0.126,0.119,0.105,0.094,0.081,0.06,0.044,0.033,0.022,0.009,0.004,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
artificial.28,0.026,0.025,0.024,0.019,0.018,0.016,0.014,0.012,0.007,0.007,0.003,0.002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
artificial.29,0.427,0.427,0.414,0.412,0.403,0.39,0.382,0.376,0.362,0.352,0.339,0.318,0.296,0.275,0.25,0.217,0.16,0.12,0.093,0.049,0.026,0.008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
artificial.30,0.099,0.091,0.087,0.081,0.074,0.064,0.054,0.046,0.041,0.037,0.032,0.027,0.02,0.014,0.01,0.009,0.005,0.003,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
artificial.31,0.033,0.03,0.027,0.021,0.018,0.012,0.008,0.005,0.002,0.001,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
artificial.32,0.34,0.335,0.333,0.328,0.32,0.318,0.312,0.313,0.302,0.286,0.28,0.261,0.243,0.222,0.193,0.161,0.126,0.076,0.033,0.01,0.002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
artificial.33,0.052,0.047,0.039,0.038,0.035,0.031,0.024,0.022,0.021,0.014,0.012,0.009,0.005,0.002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
artificial.34,0.089,0.079,0.069,0.064,0.056,0.049,0.035,0.029,0.019,0.014,0.01,0.006,0.005,0.003,0.001,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
artificial.35,0.032,0.032,0.03,0.027,0.025,0.019,0.014,0.01,0.006,0.006,0.004,0.003,0.002,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
artificial.36,0.028,0.026,0.021,0.02,0.019,0.013,0.007,0.006,0.006,0.003,0.002,0.002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
artificial.37,0.057,0.049,0.037,0.034,0.026,0.02,0.011,0.006,0.004,0.002,0.001,0.001,0.001,0.001,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
artificial.38,0.048,0.043,0.039,0.037,0.034,0.029,0.023,0.015,0.011,0.011,0.007,0.004,0.004,0.002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
artificial.39,0.129,0.129,0.122,0.119,0.115,0.106,0.095,0.088,0.078,0.07,0.056,0.045,0.034,0.024,0.01,0.005,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
artificial.40,0.03,0.025,0.022,0.021,0.018,0.016,0.015,0.011,0.006,0.004,0.003,0.003,0.002,0.001,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
artificial.41,0.089,0.082,0.073,0.064,0.055,0.045,0.038,0.028,0.022,0.015,0.008,0.005,0.004,0.002,0.002,0.002,0.002,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
artificial.42,0.044,0.037,0.03,0.021,0.016,0.013,0.008,0.007,0.006,0.005,0.002,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
artificial.43,0.251,0.242,0.232,0.215,0.198,0.185,0.168,0.149,0.135,0.122,0.107,0.094,0.075,0.051,0.038,0.026,0.016,0.006,0.003,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
artificial.44,0.23,0.216,0.208,0.191,0.178,0.161,0.147,0.128,0.098,0.076,0.056,0.041,0.031,0.021,0.012,0.007,0.003,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
artificial.45,0.501,0.5,0.5,0.498,0.5,0.499,0.501,0.498,0.497,0.492,0.485,0.476,0.463,0.45,0.425,0.382,0.317,0.257,0.195,0.133,0.074,0.031,0.006,0.001,0.0,0.0,0.0,0.0,0.0,0.0
artificial.46,0.075,0.066,0.057,0.048,0.042,0.038,0.029,0.021,0.016,0.012,0.009,0.005,0.003,0.002,0.002,0.002,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
artificial.47,0.064,0.059,0.052,0.045,0.043,0.033,0.025,0.017,0.01,0.007,0.005,0.002,0.001,0.001,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
artificial.48,0.047,0.042,0.036,0.031,0.023,0.02,0.009,0.004,0.004,0.003,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
artificial.49,0.04,0.038,0.033,0.031,0.029,0.029,0.026,0.02,0.018,0.016,0.014,0.009,0.006,0.005,0.005,0.001,0.001,0.001,0.001,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
artificial.50,0.026,0.022,0.018,0.012,0.008,0.006,0.005,0.004,0.003,0.003,0.003,0.001,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
artificial.51,0.047,0.045,0.041,0.038,0.032,0.027,0.024,0.02,0.017,0.015,0.014,0.012,0.01,0.007,0.004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
artificial.52,0.235,0.214,0.196,0.17,0.153,0.133,0.113,0.092,0.078,0.056,0.043,0.029,0.017,0.013,0.006,0.003,0.003,0.002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
artificial.53,0.174,0.171,0.162,0.152,0.143,0.136,0.127,0.116,0.104,0.089,0.072,0.058,0.045,0.035,0.026,0.017,0.013,0.008,0.003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
artificial.54,0.158,0.152,0.143,0.136,0.125,0.114,0.104,0.099,0.088,0.083,0.075,0.061,0.052,0.039,0.031,0.023,0.012,0.007,0.003,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
artificial.55,0.047,0.042,0.038,0.035,0.034,0.033,0.028,0.021,0.014,0.013,0.012,0.008,0.006,0.003,0.003,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
artificial.56,0.306,0.305,0.305,0.299,0.293,0.29,0.286,0.281,0.28,0.269,0.264,0.26,0.242,0.217,0.186,0.149,0.115,0.068,0.043,0.022,0.013,0.004,0.002,0.0,0.0,0.0,0.0,0.0,0.0,0.0
artificial.57,0.082,0.069,0.061,0.049,0.041,0.031,0.02,0.016,0.009,0.008,0.005,0.004,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
artificial.58,0.031,0.029,0.021,0.019,0.015,0.014,0.014,0.012,0.011,0.009,0.004,0.002,0.002,0.001,0.001,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
artificial.59,0.164,0.151,0.136,0.123,0.115,0.101,0.077,0.06,0.043,0.024,0.014,0.006,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
artificial.60,0.02,0.015,0.008,0.004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
artificial.61,0.103,0.098,0.089,0.082,0.063,0.052,0.037,0.028,0.024,0.016,0.012,0.007,0.005,0.002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
artificial.62,0.042,0.039,0.031,0.024,0.018,0.014,0.011,0.011,0.005,0.003,0.002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
artificial.63,0.028,0.026,0.024,0.02,0.018,0.015,0.009,0.008,0.008,0.008,0.006,0.003,0.003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
artificial.64,0.208,0.202,0.189,0.18,0.157,0.14,0.123,0.097,0.077,0.062,0.052,0.037,0.024,0.015,0.008,0.004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
artificial.65,0.02,0.018,0.016,0.012,0.011,0.01,0.005,0.004,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
artificial.66,0.074,0.068,0.064,0.054,0.053,0.045,0.039,0.034,0.025,0.017,0.008,0.003,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
artificial.67,0.037,0.038,0.035,0.029,0.027,0.022,0.018,0.015,0.011,0.009,0.002,0.002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
artificial.68,0.02,0.015,0.012,0.011,0.008,0.007,0.004,0.003,0.003,0.001,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
artificial.69,0.077,0.068,0.064,0.061,0.053,0.044,0.036,0.03,0.025,0.02,0.013,0.01,0.005,0.003,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
artificial.70,0.016,0.013,0.01,0.008,0.006,0.006,0.003,0.003,0.002,0.001,0.001,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
artificial.71,0.054,0.046,0.04,0.031,0.021,0.016,0.011,0.006,0.004,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
artificial.72,0.169,0.155,0.137,0.127,0.104,0.086,0.074,0.062,0.047,0.037,0.02,0.012,0.007,0.002,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
artificial.73,0.075,0.073,0.066,0.058,0.053,0.044,0.037,0.027,0.02,0.019,0.016,0.011,0.007,0.005,0.003,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
artificial.74,0.039,0.036,0.033,0.028,0.02,0.016,0.01,0.008,0.005,0.002,0.002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
artificial.75,0.056,0.054,0.047,0.041,0.039,0.028,0.026,0.016,0.009,0.003,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
artificial.76,0.077,0.07,0.067,0.063,0.058,0.049,0.041,0.032,0.026,0.019,0.014,0.01,0.002,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
artificial.77,0.099,0.089,0.069,0.047,0.035,0.027,0.021,0.018,0.012,0.008,0.004,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
artificial.78,0.504,0.505,0.505,0.505,0.505,0.505,0.505,0.505,0.505,0.505,0.505,0.504,0.504,0.496,0.469,0.352,0.098,0.003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
artificial.79,0.015,0.013,0.01,0.01,0.009,0.004,0.004,0.002,0.001,0.001,0.001,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
artificial.80,0.494,0.469,0.445,0.416,0.397,0.371,0.349,0.305,0.274,0.234,0.192,0.149,0.123,0.092,0.06,0.037,0.018,0.008,0.004,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
artificial.81,0.089,0.078,0.067,0.057,0.049,0.043,0.032,0.024,0.019,0.012,0.008,0.004,0.003,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
artificial.82,0.329,0.317,0.294,0.269,0.244,0.226,0.2,0.18,0.145,0.123,0.097,0.062,0.04,0.026,0.018,0.006,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
artificial.83,0.162,0.153,0.141,0.13,0.109,0.093,0.082,0.063,0.046,0.037,0.027,0.02,0.015,0.008,0.003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
artificial.84,0.057,0.053,0.05,0.049,0.039,0.037,0.031,0.027,0.022,0.02,0.017,0.016,0.012,0.009,0.006,0.002,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
artificial.85,0.076,0.076,0.077,0.077,0.072,0.067,0.068,0.061,0.049,0.046,0.042,0.033,0.024,0.015,0.011,0.004,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
artificial.86,0.022,0.016,0.016,0.015,0.01,0.007,0.003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
