,Spearman corr,pvalue
S6,0.41621278537157763,0.06794714904706994
STAT5,-0.2427907914667536,0.3023454554274212
IkB,-0.2427907914667536,0.3023454554274212
CREB,0.1907641932953064,0.42045602297364715
MAPKAPK2,-0.17342199390482396,0.4646587776970642
Frequency,-0.1560797945143416,0.5111092083782216
NFkB,-0.08671099695241198,0.7162313833164182
STAT3,-0.05210501057189062,0.8273011831085582
ERK,0.0346843987809648,0.8845776882078991
STAT6,0.0346843987809648,0.8845776882078991
p38,0.016643566632465155,0.9444769651455183
STAT1,,
