,ROC AUC,Average Precision,N features,CVS
STABL,"0.450 [0.333, 0.500]","0.476 [0.269, 0.700]","0.000 [0.000, 0.000]","0.000 [0.000, 0.000]"
SS 03,"0.270 [0.052, 0.521] (p=0.131)","0.423 [0.251, 0.714] (p=0.283)","2.000 [2.000, 3.000] (p=1.940e-68)","0.333 [0.200, 0.500] (p=0.000e+00)"
SS 05,"0.500 [0.500, 0.500] (p=0.495)","0.500 [0.300, 0.750] (p=0.519)","0.000 [0.000, 0.000] (p=1.389e-03)","0.000 [0.000, 0.000] (p=1.921e-11)"
SS 08,"0.500 [0.500, 0.500] (p=0.501)","0.500 [0.250, 0.700] (p=0.506)","0.000 [0.000, 0.000] (p=1.389e-03)","0.000 [0.000, 0.000] (p=1.921e-11)"
Lasso,"0.200 [0.071, 0.354] (p=0.017)","0.387 [0.209, 0.608] (p=0.065)","0.000 [0.000, 1.000] (p=4.137e-14)","0.000 [0.000, 0.000] (p=0.000e+00)"
Lasso 1SE,"0.270 [0.135, 0.423] (p=0.117)","0.408 [0.210, 0.636] (p=0.213)","0.000 [0.000, 0.000] (p=1.156e-08)","0.000 [0.000, 0.000] (p=5.093e-225)"
ElasticNet,"0.170 [0.020, 0.390] (p=0.023)","0.376 [0.208, 0.660] (p=0.11)","0.000 [0.000, 2.000] (p=4.396e-12)","0.000 [0.000, 0.000] (p=0.000e+00)"
