,Associated weight
intMC_predictions,9.336076623642894
gdTcells_predictions,9.186475136415782
CD8Tnaive_predictions,9.088281884846745
CD4Trm_predictions,9.06399631301371
CCR2pcMC_predictions,8.995669960325076
CD4Tem_predictions,7.404962217526746
Tregnaive_predictions,6.608834561529764
NKT_predictions,6.233767262995836
CD56dimCD16pNKcells_predictions,5.975657980492914
CD62LpImmatureNeutrophils_predictions,5.341080797620954
CD56brightCD16nNKcells_predictions,4.846071026091327
CD8Tem_predictions,4.504443616036448
CCR2nncMC_predictions,4.152255531790399
CD4Tnaive_predictions,3.683299343174408
CD8Trm_predictions,3.0691899513294727
Tregmem_predictions,2.617356236115689
Bcells_predictions,2.4867331175787024
CD61pCD41pPLT_predictions,2.4196532819509162
Th1mem_predictions,2.3778064985207803
pDC_predictions,2.2229297163868287
CD4Tcm_predictions,1.3350283303054256
CD62LnAgedNeutrophils_predictions,0.8288438287172439
CD41hiCD61hiPLT_predictions,0.8197872671713546
mDC_predictions,0.5276010247735019
Th1naive_predictions,0.51918996012839
MDSC_predictions,0.27427894099113725
CD8Tcm_predictions,0.2501858476460739
