,Fold selected features,Fold nb of features
Fold 79,"['Frequency', 'CREB', 'STAT3', 'S6', 'NFkB']",5
Fold 80,"['Frequency', 'STAT3', 'S6', 'NFkB']",4
Fold 81,"['Frequency', 'STAT3', 'S6', 'NFkB', 'ERK']",5
Fold 82,"['Frequency', 'STAT3', 'S6', 'NFkB', 'ERK']",5
Fold 83,"['Frequency', 'STAT3', 'S6', 'NFkB', 'ERK']",5
Fold 84,"['Frequency', 'STAT3', 'S6', 'NFkB', 'ERK']",5
Fold 85,"['Frequency', 'STAT3', 'S6', 'NFkB', 'ERK']",5
Fold 86,"['Frequency', 'STAT3', 'S6', 'NFkB', 'ERK']",5
Fold 87,"['Frequency', 'STAT3', 'S6', 'NFkB', 'ERK']",5
Fold 88,"['Frequency', 'STAT3', 'S6', 'NFkB', 'ERK']",5
Fold 89,"['Frequency', 'STAT3', 'S6', 'NFkB', 'ERK']",5
Fold 90,"['Frequency', 'STAT3', 'S6', 'NFkB', 'ERK']",5
Fold 91,"['Frequency', 'CREB', 'STAT3', 'S6', 'IkB', 'ERK']",6
Fold 92,"['Frequency', 'STAT3', 'S6', 'NFkB', 'ERK']",5
Fold 93,"['Frequency', 'CREB', 'S6', 'NFkB']",4
Fold 94,"['Frequency', 'STAT3', 'S6', 'NFkB', 'ERK']",5
Fold 95,"['Frequency', 'STAT3', 'S6', 'NFkB', 'ERK']",5
Fold 96,"['Frequency', 'CREB', 'STAT3', 'S6', 'NFkB']",5
Fold 97,"['Frequency', 'STAT3', 'S6', 'NFkB', 'ERK']",5
Fold 98,"['Frequency', 'STAT3', 'S6', 'NFkB', 'ERK']",5
Fold 99,"['Frequency', 'STAT3', 'S6', 'NFkB']",4
Fold 100,"['Frequency', 'STAT3', 'S6', 'NFkB']",4
Fold 101,"['Frequency', 'STAT3', 'S6', 'NFkB', 'ERK']",5
Fold 102,"['Frequency', 'STAT3', 'S6', 'NFkB', 'ERK']",5
Fold 103,"['Frequency', 'STAT3', 'S6', 'NFkB']",4
Fold 104,"['Frequency', 'STAT3', 'S6', 'NFkB', 'ERK']",5
Fold 105,"['Frequency', 'STAT3', 'S6', 'NFkB', 'ERK']",5
Fold 106,"['Frequency', 'STAT3', 'S6', 'NFkB', 'ERK']",5
Fold 107,"['Frequency', 'STAT3', 'S6', 'NFkB', 'ERK']",5
Fold 108,"['Frequency', 'STAT3', 'S6', 'NFkB', 'ERK']",5
Fold 109,"['Frequency', 'STAT3', 'S6', 'NFkB', 'ERK']",5
Fold 110,"['Frequency', 'STAT3', 'S6', 'NFkB', 'ERK']",5
Fold 111,"['Frequency', 'STAT3', 'S6', 'NFkB', 'ERK']",5
Fold 112,"['Frequency', 'STAT3', 'S6', 'NFkB', 'ERK']",5
Fold 113,"['Frequency', 'STAT3', 'S6', 'NFkB', 'ERK']",5
Fold 114,"['Frequency', 'STAT3', 'S6', 'NFkB', 'ERK']",5
Fold 115,"['Frequency', 'CREB', 'STAT3', 'S6', 'IkB', 'ERK']",6
Fold 116,"['Frequency', 'CREB', 'S6', 'NFkB']",4
Fold 117,"['Frequency', 'STAT3', 'S6', 'NFkB', 'ERK']",5
Fold 118,"['Frequency', 'STAT3', 'S6', 'NFkB', 'ERK']",5
Fold 119,"['Frequency', 'CREB', 'STAT3', 'S6', 'NFkB']",5
Fold 120,"['Frequency', 'STAT3', 'S6', 'NFkB', 'ERK']",5
Fold 121,"['Frequency', 'STAT3', 'S6', 'NFkB', 'ERK']",5
Fold 122,"['Frequency', 'STAT3', 'S6', 'NFkB', 'ERK']",5
Fold 123,"['Frequency', 'STAT3', 'S6', 'NFkB', 'ERK']",5
Fold 124,"['Frequency', 'STAT3', 'S6', 'NFkB', 'ERK']",5
Fold 125,"['Frequency', 'STAT3', 'S6', 'NFkB']",4
Fold 126,"['Frequency', 'STAT3', 'S6', 'NFkB']",4
Fold 127,"['Frequency', 'STAT3', 'S6', 'NFkB', 'ERK']",5
Fold 128,"['Frequency', 'STAT3', 'S6', 'NFkB', 'ERK']",5
Fold 129,"['Frequency', 'STAT3', 'S6', 'NFkB', 'ERK']",5
Fold 130,"['Frequency', 'CREB', 'STAT3', 'S6', 'NFkB']",5
Fold 131,"['Frequency', 'STAT3', 'S6', 'NFkB', 'ERK']",5
Fold 132,"['Frequency', 'STAT3', 'S6', 'NFkB', 'ERK']",5
Fold 133,"['Frequency', 'STAT3', 'S6', 'NFkB', 'ERK']",5
Fold 134,"['Frequency', 'STAT3', 'S6', 'NFkB', 'ERK']",5
Fold 135,"['Frequency', 'STAT3', 'S6', 'NFkB', 'ERK']",5
Fold 136,"['Frequency', 'STAT3', 'S6', 'NFkB', 'ERK']",5
Fold 137,"['Frequency', 'STAT3', 'S6', 'NFkB', 'ERK']",5
Fold 138,"['Frequency', 'CREB', 'STAT3', 'S6', 'IkB', 'ERK']",6
Fold 139,"['Frequency', 'CREB', 'S6', 'NFkB']",4
Fold 140,"['Frequency', 'STAT3', 'S6', 'NFkB', 'ERK']",5
Fold 141,"['Frequency', 'STAT3', 'S6', 'NFkB', 'ERK']",5
Fold 142,"['Frequency', 'STAT3', 'S6', 'NFkB', 'ERK']",5
Fold 143,"['Frequency', 'STAT3', 'S6', 'NFkB']",4
Fold 144,"['Frequency', 'STAT3', 'S6', 'NFkB']",4
Fold 145,"['Frequency', 'STAT3', 'S6', 'NFkB', 'ERK']",5
Fold 146,"['Frequency', 'STAT3', 'S6', 'NFkB', 'ERK']",5
Fold 147,"['Frequency', 'STAT3', 'S6', 'NFkB', 'ERK']",5
Fold 148,"['Frequency', 'STAT3', 'S6', 'NFkB', 'ERK']",5
Fold 149,"['Frequency', 'CREB', 'STAT3', 'S6', 'IkB', 'ERK']",6
Fold 150,"['Frequency', 'STAT3', 'S6', 'NFkB', 'ERK']",5
Fold 151,"['Frequency', 'STAT3', 'S6', 'NFkB', 'ERK']",5
Fold 152,"['Frequency', 'CREB', 'S6', 'NFkB']",4
Fold 153,"['Frequency', 'STAT3', 'S6', 'NFkB', 'ERK']",5
Fold 154,"['Frequency', 'STAT3', 'S6', 'NFkB', 'ERK']",5
Fold 155,"['Frequency', 'STAT3', 'S6', 'NFkB', 'ERK']",5
Fold 156,"['Frequency', 'STAT3', 'S6', 'NFkB', 'ERK']",5
Fold 157,"['Frequency', 'STAT3', 'S6', 'NFkB', 'ERK']",5
Fold 158,"['Frequency', 'CREB', 'STAT3', 'S6', 'NFkB']",5
Fold 159,"['Frequency', 'STAT3', 'S6', 'NFkB', 'ERK']",5
Fold 160,"['Frequency', 'STAT3', 'S6', 'NFkB', 'ERK']",5
Fold 161,"['Frequency', 'STAT3', 'S6', 'NFkB', 'ERK']",5
Fold 162,"['Frequency', 'STAT3', 'S6', 'NFkB', 'ERK']",5
Fold 163,"['Frequency', 'STAT3', 'S6', 'NFkB', 'ERK']",5
Fold 164,"['Frequency', 'STAT3', 'S6', 'NFkB', 'ERK']",5
Fold 165,"['Frequency', 'STAT3', 'S6', 'NFkB', 'ERK']",5
Fold 166,"['Frequency', 'STAT3', 'S6', 'NFkB', 'ERK']",5
Fold 167,"['Frequency', 'CREB', 'STAT3', 'S6', 'IkB', 'ERK']",6
Fold 168,"['Frequency', 'STAT3', 'S6', 'NFkB', 'ERK']",5
Fold 169,"['Frequency', 'STAT3', 'S6', 'NFkB']",4
Fold 170,"['Frequency', 'STAT3', 'S6', 'NFkB', 'ERK']",5
Fold 171,"['Frequency', 'STAT3', 'S6', 'NFkB', 'ERK']",5
Fold 172,"['Frequency', 'STAT3', 'S6', 'NFkB', 'ERK']",5
Fold 173,"['Frequency', 'STAT3', 'S6', 'NFkB', 'ERK']",5
Fold 174,"['Frequency', 'STAT3', 'S6', 'NFkB']",4
Fold 175,"['Frequency', 'STAT3', 'S6', 'NFkB', 'ERK']",5
Fold 176,"['Frequency', 'STAT3', 'S6', 'NFkB', 'ERK']",5
Fold 177,"['Frequency', 'CREB', 'STAT3', 'S6', 'NFkB']",5
Fold 178,"['Frequency', 'STAT3', 'S6', 'NFkB', 'ERK']",5
Fold 179,"['Frequency', 'CREB', 'S6', 'NFkB']",4
Fold 180,"['Frequency', 'STAT3', 'S6', 'NFkB', 'ERK']",5
Fold 181,"['Frequency', 'STAT3', 'S6', 'NFkB', 'ERK']",5
Fold 182,"['Frequency', 'STAT3', 'S6', 'NFkB', 'ERK']",5
Fold 183,"['Frequency', 'STAT3', 'S6', 'NFkB', 'ERK']",5
Fold 184,"['Frequency', 'STAT3', 'S6', 'NFkB', 'ERK']",5
Fold 185,"['Frequency', 'STAT3', 'S6', 'NFkB']",4
Fold 186,"['Frequency', 'STAT3', 'S6', 'NFkB', 'ERK']",5
Fold 187,"['Frequency', 'STAT3', 'S6', 'NFkB', 'ERK']",5
Fold 188,"['Frequency', 'STAT3', 'S6', 'NFkB', 'ERK']",5
Fold 189,"['Frequency', 'STAT3', 'S6', 'NFkB']",4
Fold 190,"['Frequency', 'STAT3', 'S6', 'NFkB', 'ERK']",5
Fold 191,"['Frequency', 'STAT3', 'S6', 'NFkB', 'ERK']",5
Fold 192,"['Frequency', 'CREB', 'STAT3', 'S6', 'IkB', 'ERK']",6
Fold 193,"['Frequency', 'CREB', 'STAT3', 'S6', 'NFkB']",5
Fold 194,"['Frequency', 'STAT3', 'S6', 'NFkB', 'ERK']",5
Fold 195,"['Frequency', 'STAT3', 'S6', 'NFkB', 'ERK']",5
Fold 196,"['Frequency', 'CREB', 'S6', 'NFkB']",4
Fold 197,"['Frequency', 'STAT3', 'S6', 'NFkB', 'ERK']",5
Fold 198,"['Frequency', 'STAT3', 'S6', 'NFkB', 'ERK']",5
Fold 199,"['Frequency', 'STAT3', 'S6', 'NFkB', 'ERK']",5
