,ROC AUC,Average Precision,N features,CVS,U-test pvalue
STABL,"0.315 [0.162, 0.458]","0.476 [0.250, 0.700]","0.000 [0.000, 0.000]","0.000 [0.000, 0.000]",5.143e-02
SS 03,"0.250 [0.047, 0.528] (p=0.346)","0.427 [0.254, 0.733] (p=0.288)","4.000 [3.750, 4.000] (p=1.015e-74)","1.000 [0.750, 1.000] (p=0.000e+00)",6.402e-02
SS 05,"0.250 [0.050, 0.525] (p=0.344)","0.427 [0.246, 0.723] (p=0.31)","4.000 [3.750, 4.000] (p=1.015e-74)","1.000 [0.750, 1.000] (p=0.000e+00)",6.402e-02
SS 08,"0.250 [0.042, 0.500] (p=0.33)","0.427 [0.231, 0.733] (p=0.281)","4.000 [3.000, 4.000] (p=2.100e-71)","1.000 [0.750, 1.000] (p=0.000e+00)",6.402e-02
Lasso,"0.405 [0.280, 0.500] (p=0.242)","0.476 [0.250, 0.685] (p=0.747)","0.000 [0.000, 0.000] (p=3.416e-03)","0.000 [0.000, 0.000] (p=1.839e-81)",1.916e-01
Lasso 1SE,"0.405 [0.264, 0.500] (p=0.252)","0.476 [0.269, 0.700] (p=0.769)","0.000 [0.000, 0.000] (p=3.416e-03)","0.000 [0.000, 0.000] (p=1.839e-81)",1.916e-01
ElasticNet,"0.440 [0.167, 0.714] (p=0.258)","0.475 [0.281, 0.806] (p=0.502)","0.000 [0.000, 0.000] (p=1.472e-02)","0.000 [0.000, 0.000] (p=4.705e-81)",6.776e-01
