,R2,RMSE,MAE,N features,CVS
STABL,"-0.002 [-0.079, 0.047]","32.192 [29.964, 34.878]","28.415 [25.846, 30.850]","0.000 [0.000, 0.000]","0.000 [0.000, 0.000]"
SS 03,"0.349 [-0.456, 0.824]","25.947 [13.370, 37.550]","13.214 [10.064, 17.252]","172.500 [169.000, 178.750] (p=2.758e-15)","0.788 [0.716, 0.842] (p=0.000e+00)"
SS 05,"0.107 [-0.872, 0.790]","30.396 [14.551, 44.755]","14.779 [11.317, 19.522]","144.000 [140.250, 150.500] (p=2.738e-15)","0.791 [0.697, 0.837] (p=0.000e+00)"
SS 08,"0.599 [0.109, 0.859]","20.353 [12.061, 30.187]","11.408 [9.020, 14.131]","88.000 [85.250, 92.000] (p=2.715e-15)","0.709 [0.565, 0.770] (p=0.000e+00)"
Lasso,"0.850 [0.788, 0.899]","12.473 [10.132, 14.665]","8.590 [7.200, 10.023]","9.500 [8.000, 15.000] (p=3.887e-13)","0.333 [0.250, 0.444] (p=0.000e+00)"
Lasso 1SE,"0.850 [0.788, 0.899]","12.473 [10.116, 14.811]","8.590 [7.090, 10.042]","9.500 [8.000, 15.000] (p=3.887e-13)","0.333 [0.250, 0.444] (p=0.000e+00)"
ElasticNet,"0.380 [-0.227, 0.796]","25.322 [14.019, 35.918]","14.065 [11.184, 17.748]","131.500 [126.000, 138.750] (p=2.769e-15)","0.544 [0.487, 0.607] (p=0.000e+00)"
