,MAPKAPK2,STAT6,NFkB,ERK,CREB,STAT5,p38,STAT1,STAT3,S6,IkB,Frequency
1326,-0.04288072599999998,0.011271224,0.02805478,-0.01839419099999999,-0.03692669399999993,-0.04122188199999999,0.029491015,0.0,0.22666057300000003,0.06242419600000004,0.014594808000000015,-1.1252744779999997
1330,-0.129636642,0.0,-0.250003777,-0.084627548,0.28622637300000003,-0.07960816300000001,-0.009262243,0.0,0.16701486,0.5861652660000001,-0.006441307999999979,-1.257192634
1331,-0.12547515299999998,0.009611656,-0.04632777600000004,-0.081792222,0.006627639000000074,0.014974727999999993,0.029348458,0.0,0.281225373,0.10567166499999997,0.041122731999999995,-1.2782561920000002
1337,0.08189636399999999,0.0,-0.04342734699999998,0.099659947,0.36638335299999997,0.0027778549999999957,0.179409299,0.0,-0.079495025,-0.16411247800000006,-0.09502923299999999,0.9797645610000001
1357,0.01786936299999997,0.002470907,0.02325543799999996,-0.009567970000000009,0.00982904200000001,-0.007863468999999984,0.011023312,0.0,0.001280124999999993,0.03415400800000001,0.02141482100000003,-1.8736123899999995
1377,-0.017035705000000012,0.0,-0.033488059000000014,-0.009535608000000001,0.029282986999999983,0.028459581999999997,0.012042046,0.0,0.004911251000000005,0.022029829,-0.012227333000000007,-0.3267790340000003
1381,0.04756038900000001,0.0,0.09376260800000003,0.005099325,0.229414503,0.023236965999999998,0.0,0.0,-0.06919102299999999,0.004611514000000011,-0.047280358999999994,-0.940908474
1400,0.020180936999999996,0.0,-0.015957586999999968,0.0,-0.21256759399999997,-0.0075069930000000035,0.0,0.0,-0.018299275000000004,0.015399461000000003,0.02658722300000005,-0.15485265699999928
1414,-0.140655471,-0.044917035,-0.159169293,-0.028608087,-0.26636672299999997,-0.11274587400000001,-0.102394323,0.0,-0.434843797,-0.264124511,-0.47032169999999995,1.6099580869999999
1418,-0.186339125,0.0,-0.06714371599999996,-0.036886272,-0.08517691700000007,-0.046631992,-0.006543681999999995,0.0,0.015919748999999997,0.010873548999999982,0.01084721200000005,-1.5922217539999997
1427,0.005338553999999995,0.0,0.025373444999999994,0.0,-0.03172567999999998,-0.011079881,0.0,0.0,-0.008550011999999996,-0.004135457000000009,0.009003786000000014,1.392547477
1428,0.020117450999999995,0.0,0.06422180899999999,0.0,0.13653475399999998,0.007668451000000007,0.0,0.0,0.020155687000000005,-0.0017500380000000093,0.018010740999999997,-0.24772741600000048
1431,-0.041624227000000014,-0.014215316,-0.054308044,-0.018873945000000003,-0.08463478099999999,-0.019148390000000015,0.004480688999999996,0.0,-0.06601412400000001,-0.018379630000000036,-0.035386081000000014,-1.2900733859999995
1464,0.039798395000000014,0.0,-0.019988390999999994,-0.0023612379999999947,0.36189677600000003,-0.013664442999999998,0.083044406,0.0,-0.017147347000000007,0.063536865,-0.01093892299999999,2.5479788020000003
1469,0.074832175,0.0,-0.014184182999999989,0.041968863,0.43641720799999995,0.005984934000000004,0.116951091,0.0,-0.120556783,0.089224688,-0.04936821400000002,0.08247245700000017
1472,0.18950998500000002,0.0,0.244516895,0.015472726,0.20408932800000001,0.026636952000000005,0.073647281,0.0,0.05071162,0.09471747199999997,0.09773949100000001,0.38333677200000027
1473,-0.020671784999999998,0.0,-0.010712163000000025,0.0,-0.12780435099999998,-0.023939684000000003,0.0,0.0,0.011049384999999967,0.07134656500000003,0.02476992699999997,-0.13937010399999972
1475,0.04720371699999999,0.0,-0.0039037440000000145,0.0,-0.055797803000000035,-0.005596031000000001,0.0,0.0,-0.01147621800000001,-0.019865356999999972,0.011309179000000003,1.0947448019999997
1480,0.0017779929999999777,0.0,0.02368567199999999,0.0,-0.02643511899999995,0.005329048000000003,0.0,0.0,0.01714338900000001,0.028667496999999986,-0.008023134000000043,0.07524967099999991
1488,-0.06915088999999999,0.0,-0.011844161999999991,-0.029698872999999994,-0.24274768299999994,0.011244033,-0.026248643999999998,0.0,0.024105636000000014,-0.069566715,-0.036296144999999974,-0.8179243490000001
