UOP;Mann-Whitney U-test;p-value;;;STANFORD;Mann-Whitney U-test;p-value
CD4 T cells naive_tumorfront_aggregatedNeighbors.Myeloid.M1.macrophages;403.0;0.010585414517195696;;;Myeloid M2 macrophages_tumorfront_aggregatedNeighbors.CD4.T.cells.memory;932.0;0.0005204119086835839
Vessel_stromal_aggregatedNeighbors.Myeloid.M1.macrophages;404.0;0.011190828765748563;;;CD4 T cells naive_stromal_aggregatedNeighbors.CD4.T.cells.memory;929.5;0.0005425763731575956
Myeloid M1 macrophages_tumorfront_aggregatedNeighbors.Myeloid.M1.macrophages;408.5;0.011277534373147803;;;CD4 T cells memory_stromal_cellfrequency;931.0;0.000548037078711316
Tumor non-proliferating_tumorfront_aggregatedNeighbors.Myeloid.M1.macrophages;406.0;0.011947336560887315;;;CD4 T cells memory_tumorfront_aggregatedNeighbors.CD4.T.cells.naive;914.5;0.0005738137576519992
Vessel_stromal_pERK;407.0;0.01235186895615965;;;CD4 T cells naive_tumorfront_aggregatedNeighbors.CD8.T.cells;912.5;0.0005869040044680128
CD4 T cells memory_intratumor_cellfrequency;760.5;0.012567454609796124;;;CD4 T cells memory_tumorfront_aggregatedNeighbors.CD8.T.cells;926.0;0.0005873094413657336
CD8 T cells_intratumor_area;839.5;0.012802700248248278;;;Tumor non-proliferating_stromal_aggregatedNeighbors.Tumor.non.proliferating;367.5;0.0006330879863832445
B cells_stromal_area;838.0;0.013587619246711294;;;Myeloid DCs_tumorfront_aggregatedNeighbors.Tumor.non.proliferating;334.0;0.000676890335914485
B cells_stromal_aggregatedNeighbors.Myeloid.Granulocytes;426.0;0.013770007496550406;;;Tumor non-proliferating_tumorfront_GranzymeB;926.0;0.0006773841265314575
CD4 T cells naive_tumorfront_pS6;410.5;0.01383563343035801;;;CD8 T cells_intratumor_aggregatedNeighbors.Tumor.proliferating;902.0;0.0006901971237005767
Vessel_stromal_area;837.0;0.01406089233224218;;;CD4 T cells regulatory_tumorfront_cellfrequency;922.0;0.0007909389263352679
Fibroblasts_tumorfront_area;836.0;0.014519479392371117;;;Tumor proliferating_tumorfront_aggregatedNeighbors.Tumor.proliferating;920.0;0.0008680708517352221
Myeloid M1 macrophages_stromal_cellfrequency;413.0;0.014991203846725944;;;CD4 T cells memory_stromal_pSTAT3;920.0;0.0008697262695421765
CD8 T cells_tumorfront_aggregatedNeighbors.Myeloid.M1.macrophages;415.0;0.015128227462261456;;;Myeloid Monocytes_stromal_aggregatedNeighbors.CD4.T.cells.naive;912.5;0.0009115585336414593
Myeloid Granulocytes_stromal_aggregatedNeighbors.Myeloid.Monocytes;420.5;0.015464782794037396;;;Myeloid Granulocytes_tumorfront_aggregatedNeighbors.CD4.T.cells.regulatory;879.0;0.0009321633849480793
CD4 T cells naive_stromal_pCREB;418.0;0.01755797532141365;;;Myeloid M1 macrophages_stromal_aggregatedNeighbors.CD4.T.cells.naive;915.0;0.0009537810673456322
Myeloid M1 macrophages_stromal_aggregatedNeighbors.Myeloid.M1.macrophages;420.0;0.018327852565913953;;;Vessel_tumorfront_aggregatedNeighbors.CD4.T.cells.naive;909.0;0.0009848335277354962
B cells_stromal_aggregatedNeighbors.Myeloid.Monocytes;424.0;0.018995575216320344;;;CD4 T cells naive_stromal_area;915.5;0.0010094203379291608
Myeloid Monocytes_stromal_eccentricity;823.0;0.021795299113817935;;;Myeloid Monocytes_tumorfront_aggregatedNeighbors.CD4.T.cells.memory;909.5;0.0010333180056401638
CD4 T cells naive_tumorfront_pERK;426.0;0.02246356924921145;;;Myeloid DCs_stromal_CD44;914.0;0.001111925301194177
Tumor non-proliferating_intratumor_CD36;822.0;0.022468084106810886;;;CD4 T cells memory_stromal_aggregatedNeighbors.CD4.T.cells.naive;910.0;0.0012389663164710414
Myeloid Monocytes_tumorfront_aggregatedNeighbors.Myeloid.DCs;452.0;0.02318641200959059;;;CD4 T cells naive_tumorfront_CD44;908.5;0.001265906702615667
CD4 T cells memory_tumorfront_aggregatedNeighbors.Myeloid.M1.macrophages;430.0;0.023953396278269593;;;CD8 T cells_stromal_CD44;909.5;0.0013316326139926004
Myeloid M2 macrophages_stromal_area;818.5;0.024965761761594235;;;CD4 T cells naive_tumorfront_aggregatedNeighbors.CD4.T.cells.naive;855.5;0.0013373476904226683
CD4 T cells memory_stromal_CD44;817.5;0.02572250890891115;;;Myeloid M1 macrophages_tumorfront_aggregatedNeighbors.CD8.T.cells;908.0;0.001367783848272012
CD8 T cells_tumorfront_area;817.0;0.02610826644325032;;;Tumor proliferating_tumorfront_aggregatedNeighbors.B.cells;818.0;0.0013874570106560764
Vessel_tumorfront_eccentricity;817.0;0.026109519610396568;;;Myeloid Granulocytes_stromal_aggregatedNeighbors.CD4.T.cells.memory;907.0;0.0014235746314137708
Myeloid Granulocytes_stromal_aggregatedNeighbors.Myeloid.Granulocytes;446.0;0.026844669800687608;;;Vessel_tumorfront_aggregatedNeighbors.CD4.T.cells.regulatory;905.0;0.001457370070454653
