UOP;Mann-Whitney U-test;p-value;;;STANFORD;Mann-Whitney U-test;p-value
Myeloid Granulocytes_stromal_VEGF;478.0;0.09252523121155946;;;CD4 T cells regulatory_tumorfront_CD36;858.5;0.008642425792765897
B cells_stromal_pNFkB;478.0;0.09258269264530526;;;Fibroblasts_stromal_aggregatedNeighbors.CD8.T.cells;858.5;0.008729521084760697
Myeloid Granulocytes_stromal_cellfrequency;479.0;0.09484639504198873;;;B cells_tumorfront_CD44;849.5;0.008808904773427825
Vessel_stromal_pNFkB;479.0;0.0949433622451961;;;Myeloid Granulocytes_tumorfront_aggregatedNeighbors.Myeloid.M1.macrophages;856.0;0.008823358540517565
CD4 T cells memory_stromal_aggregatedNeighbors.Myeloid.Granulocytes;480.5;0.09568087067874606;;;CD8 T cells_tumorfront_aggregatedNeighbors.B.cells;838.0;0.008982908243221682
Myeloid M2 macrophages_stromal_CD44;768.5;0.09608954191248824;;;CD8 T cells_tumorfront_pNFkB;857.0;0.009167008077128324
CD4 T cells naive_stromal_aggregatedNeighbors.CD4.T.cells.regulatory;482.5;0.09655486754378732;;;Myeloid Granulocytes_stromal_pSTAT3;857.0;0.009175784709552676
Myeloid Monocytes_tumorfront_area;768.0;0.09722154613509382;;;B cells_tumorfront_pSTAT3;847.0;0.009309661438592114
CD8 T cells_tumorfront_aggregatedNeighbors.Myeloid.Monocytes;483.5;0.09805596450665435;;;CD8 T cells_intratumor_pSTAT1;852.0;0.009374618282733008
Tumor non-proliferating_stromal_aggregatedNeighbors.CD8.T.cells;757.0;0.09840646171797524;;;CD8 T cells_intratumor_Ki67;852.0;0.009374618282733008
Vessel_stromal_aggregatedNeighbors.CD4.T.cells.regulatory;484.0;0.09926458938624207;;;CD8 T cells_tumorfront_aggregatedNeighbors.CD4.T.cells.regulatory;843.5;0.009419735669357372
CD4 T cells naive_stromal_aggregatedNeighbors.Vessel;481.0;0.09960327087812414;;;Myeloid Monocytes_tumorfront_cellfrequency;856.0;0.009494547218376734
Vessel_stromal_cellfrequency;481.0;0.09960610968963711;;;Fibroblasts_tumorfront_aggregatedNeighbors.CD8.T.cells;854.5;0.009565071050834796
B cells_stromal_GranzymeB;482.0;0.10190448764518223;;;Myeloid Granulocytes_tumorfront_aggregatedNeighbors.CD4.T.cells.naive;820.0;0.009693298468734799
Myeloid Granulocytes_stromal_pS6;482.0;0.10190448764518223;;;Myeloid Monocytes_tumorfront_aggregatedNeighbors.CD4.T.cells.naive;824.5;0.009758252633097835
Myeloid Monocytes_stromal_CD44;766.0;0.10200504230958182;;;Vessel_stromal_aggregatedNeighbors.CD8.T.cells;855.0;0.009820627866000001
CD4 T cells naive_tumorfront_pCREB;482.5;0.10321874605857016;;;Vessel_stromal_aggregatedNeighbors.Tumor.non.proliferating;408.0;0.009850511983028538
Tumor non-proliferating_tumorfront_aggregatedNeighbors.Myeloid.Monocytes;483.0;0.10397000029029956;;;CD8 T cells_stromal_eccentricity;853.5;0.010318808416452151
Myeloid Monocytes_tumorfront_aggregatedNeighbors.Vessel;483.0;0.10401943882791284;;;CD4 T cells regulatory_tumorfront_celldistance;407.0;0.01041998064047553
Tumor non-proliferating_stromal_pCREB;484.0;0.10629357742999328;;;Myeloid Monocytes_tumorfront_pNFkB;853.0;0.010491104627995651
Myeloid M1 macrophages_tumorfront_aggregatedNeighbors.B.cells;501.5;0.1063018065005406;;;Tumor proliferating_tumorfront_eccentricity;852.5;0.01067185805439945
Myeloid Monocytes_stromal_aggregatedNeighbors.Vessel;484.0;0.10691721185887847;;;CD4 T cells regulatory_tumorfront_aggregatedNeighbors.Myeloid.Monocytes;831.5;0.010726652627614531
CD8 T cells_tumorfront_CD44;764.0;0.10693779603313272;;;Fibroblasts_stromal_aggregatedNeighbors.CD4.T.cells.regulatory;851.0;0.010754596620147931
Myeloid Monocytes_stromal_area;763.0;0.1094785766123914;;;B cells_tumorfront_pCREB;843.5;0.010846090277791083
Myeloid M1 macrophages_tumorfront_celldistance;485.0;0.1094785766123914;;;Myeloid Granulocytes_tumorfront_aggregatedNeighbors.CD8.T.cells;845.5;0.01096377634347868
B cells_stromal_aggregatedNeighbors.CD4.T.cells.regulatory;502.0;0.11140213036692684;;;CD4 T cells regulatory_tumorfront_E-Cadherin;851.0;0.011131414103560716
Vessel_tumorfront_VEGF;486.0;0.11206379345459697;;;CD8 T cells_tumorfront_aggregatedNeighbors.Tumor.proliferating;849.0;0.011167942508150109
Myeloid M1 macrophages_stromal_pNFkB;486.0;0.11206379345459697;;;Vessel_tumorfront_aggregatedNeighbors.CD8.T.cells;850.0;0.011503056085781553
CD4 T cells naive_stromal_pNFkB;486.0;0.11206379345459697;;;CD8 T cells_tumorfront_Ki67;850.0;0.011562228778901297
Myeloid Monocytes_tumorfront_eccentricity;486.5;0.11337131051078646;;;CD4 T cells memory_tumorfront_pp38;850.0;0.011585937810285822
CD4 T cells regulatory_tumorfront_aggregatedNeighbors.Myeloid.Granulocytes;534.5;0.11515926227869352;;;B cells_tumorfront_pp38;841.5;0.011612779529816476
B cells_stromal_pSTAT3;489.0;0.11993501542456378;;;CD4 T cells memory_tumorfront_aggregatedNeighbors.B.cells;822.0;0.011634525844233754
CD8 T cells_stromal_pERK;489.0;0.1201090171529209;;;CD4 T cells memory_stromal_aggregatedNeighbors.CD8.T.cells;849.0;0.011711698740789084
Tumor non-proliferating_intratumor_pSTAT1;759.0;0.1201090171529209;;;CD4 T cells memory_stromal_aggregatedNeighbors.CD4.T.cells.regulatory;849.0;0.011712406384774908
CD4 T cells regulatory_intratumor_cellfrequency;585.0;0.12061359820423907;;;CD4 T cells memory_tumorfront_pSTAT3;849.0;0.011970600497081308
Tumor proliferating_tumorfront_aggregatedNeighbors.Myeloid.M1.macrophages;506.5;0.12141758113199314;;;Myeloid M1 macrophages_stromal_aggregatedNeighbors.CD4.T.cells.memory;848.0;0.012244504561816204
Myeloid Granulocytes_tumorfront_aggregatedNeighbors.CD4.T.cells.regulatory;537.5;0.12792965031585518;;;CD8 T cells_intratumor_pCREB;844.0;0.012271274814504077
Fibroblasts_stromal_VEGF;492.0;0.12859961492757466;;;Myeloid M1 macrophages_stromal_pSTAT3;848.0;0.012367275486607826
Myeloid DCs_tumorfront_CD44;753.0;0.12990711186773768;;;Fibroblasts_stromal_VEGF;848.0;0.012367275486607826
CD4 T cells naive_tumorfront_GranzymeB;492.5;0.1300557759151415;;;CD4 T cells naive_stromal_pSTAT3;847.0;0.012503011509709167
Myeloid DCs_tumorfront_aggregatedNeighbors.CD8.T.cells;745.0;0.13011019682575925;;;Myeloid Granulocytes_stromal_aggregatedNeighbors.Tumor.non.proliferating;452.0;0.012720835438494203
Myeloid M1 macrophages_stromal_aggregatedNeighbors.Myeloid.DCs;496.0;0.1308038293611914;;;Myeloid Monocytes_stromal_aggregatedNeighbors.CD8.T.cells;844.0;0.01368828328240696
B cells_stromal_pERK;493.0;0.13141794525954306;;;Tumor proliferating_tumorfront_aggregatedNeighbors.CD4.T.cells.memory;839.5;0.01370303056936067
Myeloid Monocytes_stromal_pCREB;493.0;0.13153119777613353;;;CD4 T cells regulatory_tumorfront_aggregatedNeighbors.CD4.T.cells.memory;836.0;0.013893255873631818
CD8 T cells_stromal_VEGF;493.0;0.13153119777613353;;;Myeloid Granulocytes_stromal_CD44;844.0;0.014053417221675697
CD4 T cells naive_stromal_GranzymeB;493.0;0.13153119777613353;;;Tumor non-proliferating_stromal_cellfrequency;417.0;0.014227220151199267
CD8 T cells_stromal_aggregatedNeighbors.Tumor.non.proliferating;744.0;0.13342429130218053;;;Fibroblasts_stromal_aggregatedNeighbors.Myeloid.Monocytes;842.0;0.014809658010853571
Myeloid Granulocytes_stromal_aggregatedNeighbors.Tumor.non.proliferating;528.5;0.13344123496447363;;;Vessel_tumorfront_aggregatedNeighbors.Myeloid.Monocytes;842.0;0.014855881941896954
Tumor non-proliferating_stromal_E-Cadherin;495.0;0.13634756359669215;;;Vessel_stromal_aggregatedNeighbors.CD4.T.cells.regulatory;842.0;0.014893748192638594
CD8 T cells_intratumor_E-Cadherin;753.0;0.13682339341958152;;;Myeloid Granulocytes_stromal_pCREB;842.0;0.014978889555615245
Myeloid M2 macrophages_tumorfront_pCREB;495.0;0.1373647584553692;;;Tumor non-proliferating_tumorfront_E-Cadherin;842.0;0.014995774249597058
Tumor non-proliferating_intratumor_Ki67;495.0;0.1375494797234248;;;CD4 T cells regulatory_stromal_aggregatedNeighbors.B.cells;830.0;0.015022994459026417
Tumor non-proliferating_intratumor_pNFkB;753.0;0.1375494797234248;;;B cells_stromal_pSTAT1;840.0;0.015378795608471232
CD4 T cells memory_tumorfront_aggregatedNeighbors.Myeloid.DCs;509.5;0.13904822793439317;;;Tumor proliferating_intratumor_pSTAT3;840.0;0.015869346293609584
Myeloid Granulocytes_stromal_pCREB;496.0;0.140520655184937;;;CD8 T cells_tumorfront_CD44;840.0;0.015944379516433006
Tumor non-proliferating_tumorfront_pSTAT3;496.0;0.14063717495834543;;;CD8 T cells_tumorfront_pp38;840.0;0.015944379516433006
Myeloid M2 macrophages_tumorfront_aggregatedNeighbors.Vessel;496.5;0.14092175320765046;;;Tumor non-proliferating_intratumor_CD44;420.0;0.015975319294526273
CD4 T cells memory_tumorfront_pS6;497.5;0.1453345473441318;;;Tumor proliferating_intratumor_aggregatedNeighbors.Tumor.proliferating;839.0;0.016069183589135148
B cells_stromal_E-Cadherin;498.0;0.14685348835866482;;;Myeloid Monocytes_tumorfront_aggregatedNeighbors.CD4.T.cells.regulatory;818.5;0.01611947997646241
Myeloid M1 macrophages_stromal_VEGF;498.0;0.14697212290077816;;;Myeloid M1 macrophages_tumorfront_aggregatedNeighbors.Myeloid.Granulocytes;838.0;0.016579810347361064
CD8 T cells_stromal_GranzymeB;498.0;0.14697212290077816;;;Myeloid M1 macrophages_tumorfront_aggregatedNeighbors.Myeloid.DCs;838.0;0.016977376474385276
Myeloid M1 macrophages_tumorfront_pCREB;498.0;0.14697212290077816;;;CD4 T cells memory_tumorfront_GranzymeB;838.0;0.017009758469928665
CD4 T cells naive_stromal_Ki67;499.0;0.150220337397209;;;CD8 T cells_stromal_aggregatedNeighbors.CD4.T.cells.memory;837.0;0.017121541336848078
CD4 T cells memory_tumorfront_pCREB;499.5;0.15183050228486664;;;Tumor proliferating_tumorfront_pSTAT3;837.5;0.0172776140751008
Vessel_stromal_aggregatedNeighbors.Myeloid.DCs;502.0;0.15313817386043338;;;Tumor proliferating_intratumor_pS6;837.0;0.017436656254067942
Vessel_stromal_pp38;500.0;0.15352300952725412;;;Tumor non-proliferating_tumorfront_aggregatedNeighbors.CD8.T.cells;837.0;0.017436656254067942
CD8 T cells_stromal_aggregatedNeighbors.Myeloid.Monocytes;500.5;0.15360968216716547;;;CD8 T cells_intratumor_pS6;833.0;0.01753842535158897
CD4 T cells regulatory_tumorfront_E-Cadherin;746.0;0.15403929998907578;;;Tumor non-proliferating_intratumor_pSTAT3;837.0;0.01755010870564037
Myeloid M2 macrophages_stromal_pERK;500.5;0.1551914503567813;;;B cells_stromal_aggregatedNeighbors.B.cells;828.0;0.01767900392747518
CD4 T cells regulatory_stromal_aggregatedNeighbors.B.cells;514.0;0.1553227192252895;;;B cells_stromal_GranzymeB;835.0;0.018005864553376483
Tumor proliferating_intratumor_pERK;501.0;0.15675890532969378;;;Vessel_stromal_VEGF;835.0;0.01867410788062806
Myeloid M2 macrophages_tumorfront_aggregatedNeighbors.Tumor.non.proliferating;502.0;0.15881887629936375;;;CD4 T cells regulatory_tumorfront_pERK;834.0;0.01897079204184953
Myeloid M2 macrophages_tumorfront_aggregatedNeighbors.Myeloid.M1.macrophages;505.0;0.16014183737142773;;;B cells_tumorfront_GranzymeB;826.5;0.01906345682173804
Fibroblasts_tumorfront_VEGF;502.0;0.16029357795454868;;;Fibroblasts_tumorfront_aggregatedNeighbors.Myeloid.Monocytes;833.0;0.019161044700073102
Fibroblasts_stromal_aggregatedNeighbors.Vessel;502.0;0.16029357795454868;;;B cells_stromal_cellfrequency;833.0;0.01916206467177416
CD4 T cells memory_stromal_aggregatedNeighbors.Tumor.non.proliferating;740.0;0.161408762341128;;;CD4 T cells regulatory_stromal_CD36;833.5;0.019522159610148148
Myeloid M2 macrophages_stromal_aggregatedNeighbors.Myeloid.DCs;513.0;0.16210383745918377;;;CD4 T cells regulatory_tumorfront_Ki67;833.0;0.019633520652462745
Tumor non-proliferating_stromal_pMAPKAPK2;503.0;0.16247442332323703;;;B cells_tumorfront_aggregatedNeighbors.CD4.T.cells.memory;799.0;0.019726242188065592
Myeloid Granulocytes_tumorfront_CD36;744.0;0.16528879651294126;;;Fibroblasts_tumorfront_celldistance;427.0;0.019860588142717975
Myeloid DCs_tumorfront_CD36;742.0;0.1661059585868343;;;Myeloid DCs_stromal_pp38;833.0;0.019860588142717975
CD8 T cells_intratumor_CD44;744.0;0.16650348849338803;;;Tumor non-proliferating_tumorfront_aggregatedNeighbors.CD4.T.cells.naive;824.0;0.02011445071561853
B cells_stromal_pp38;504.0;0.16716284136724824;;;Fibroblasts_tumorfront_aggregatedNeighbors.Myeloid.M2.macrophages;832.5;0.02013488920224901
Vessel_stromal_pMAPKAPK2;504.0;0.16728745825983726;;;CD8 T cells_tumorfront_aggregatedNeighbors.Myeloid.Monocytes;825.5;0.020625859768815487
Fibroblasts_tumorfront_pNFkB;504.0;0.16728745825983726;;;CD8 T cells_stromal_pMAPKAPK2;831.5;0.020782453135951274
CD4 T cells regulatory_tumorfront_celldistance;742.0;0.16890279542374942;;;B cells_stromal_aggregatedNeighbors.CD8.T.cells;828.0;0.02082960429606912
CD4 T cells memory_tumorfront_CD36;743.5;0.16903549943517526;;;CD4 T cells regulatory_stromal_aggregatedNeighbors.CD4.T.cells.naive;823.5;0.020970761422579427
CD8 T cells_intratumor_pNFkB;743.0;0.17007935555527365;;;Myeloid Monocytes_stromal_aggregatedNeighbors.Myeloid.DCs;827.0;0.021170780088681906
B cells_stromal_aggregatedNeighbors.CD4.T.cells.naive;505.0;0.17026620354972188;;;Myeloid DCs_tumorfront_aggregatedNeighbors.Tumor.proliferating;829.5;0.021584838993576386
Fibroblasts_tumorfront_pMAPKAPK2;505.0;0.17086924147790072;;;CD4 T cells naive_tumorfront_GranzymeB;828.5;0.021679061253080764
Tumor proliferating_tumorfront_CD44;742.0;0.1744358929784563;;;Myeloid M2 macrophages_stromal_aggregatedNeighbors.Vessel;430.0;0.021761424556231878
CD4 T cells naive_tumorfront_pSTAT3;506.0;0.174493705964463;;;Vessel_tumorfront_aggregatedNeighbors.Myeloid.M1.macrophages;830.0;0.021762528259476496
CD8 T cells_tumorfront_CD36;742.0;0.17450454490124756;;;Myeloid M1 macrophages_tumorfront_aggregatedNeighbors.Myeloid.Monocytes;828.0;0.022474922148181444
Myeloid Monocytes_stromal_Ki67;506.0;0.17450454490124756;;;Myeloid Granulocytes_intratumor_cellfrequency;814.0;0.022745857993443412
Vessel_tumorfront_pSTAT3;506.0;0.1745081578101343;;;Tumor non-proliferating_tumorfront_aggregatedNeighbors.Vessel;432.0;0.02311764350090183
CD4 T cells memory_tumorfront_eccentricity;741.5;0.176312912037069;;;Myeloid Monocytes_stromal_pSTAT1;828.0;0.02311764350090183
CD8 T cells_intratumor_pSTAT1;741.0;0.17687779129908687;;;Tumor non-proliferating_intratumor_GranzymeB;828.0;0.02311879507307273
Tumor non-proliferating_tumorfront_pSTAT1;741.0;0.17820462490868583;;;CD4 T cells regulatory_stromal_aggregatedNeighbors.CD4.T.cells.memory;827.0;0.023440004893809943
CD8 T cells_stromal_CD44;741.0;0.17820462490868583;;;B cells_stromal_pS6;826.0;0.023734963919935858
Myeloid Granulocytes_tumorfront_area;740.0;0.17989417352796755;;;Tumor non-proliferating_tumorfront_Ki67;827.0;0.023823441353965216
Tumor proliferating_tumorfront_celldistance;508.0;0.18188577126540717;;;CD4 T cells naive_stromal_pNFkB;826.0;0.024110948819057048
Tumor non-proliferating_tumorfront_pMAPKAPK2;508.0;0.1819590515392101;;;CD8 T cells_stromal_pSTAT1;826.5;0.02417081609118187
Myeloid Monocytes_tumorfront_pCREB;508.5;0.18385444893441572;;;B cells_tumorfront_pSTAT1;818.0;0.02431357212826696
CD4 T cells naive_tumorfront_VEGF;508.5;0.18385444893441572;;;CD4 T cells naive_tumorfront_pp38;824.5;0.024476783649044112
Myeloid M2 macrophages_tumorfront_area;739.0;0.18555417044517053;;;Fibroblasts_stromal_aggregatedNeighbors.B.cells;823.5;0.024515314946039216
Tumor proliferating_intratumor_area;739.0;0.18564272910879898;;;B cells_tumorfront_aggregatedNeighbors.B.cells;788.0;0.024740424954866804
CD8 T cells_tumorfront_celldistance;509.0;0.18576814912775896;;;CD4 T cells regulatory_tumorfront_aggregatedNeighbors.CD4.T.cells.naive;787.0;0.02566572614437414
Myeloid Granulocytes_tumorfront_GranzymeB;510.0;0.1875584009033443;;;Vessel_stromal_aggregatedNeighbors.B.cells;823.0;0.025796387360268822
Myeloid Monocytes_tumorfront_CD44;738.5;0.18769653692407273;;;CD4 T cells naive_tumorfront_pNFkB;822.5;0.025989387031962234
Myeloid Monocytes_tumorfront_aggregatedNeighbors.Myeloid.M2.macrophages;517.5;0.188993836454311;;;CD4 T cells regulatory_stromal_pCREB;824.0;0.02602525748548406
CD4 T cells naive_stromal_aggregatedNeighbors.Myeloid.Monocytes;510.0;0.18960253775499658;;;B cells_tumorfront_pS6;816.5;0.026102644268728204
B cells_tumorfront_aggregatedNeighbors.CD4.T.cells.naive;523.5;0.1901104373098731;;;CD4 T cells naive_stromal_pMAPKAPK2;823.0;0.026368058924959078
B cells_tumorfront_area;734.5;0.19099831410955992;;;Myeloid Granulocytes_tumorfront_aggregatedNeighbors.Myeloid.DCs;816.5;0.026687528314689464
CD4 T cells memory_tumorfront_VEGF;510.5;0.19156405077461458;;;Myeloid Monocytes_stromal_aggregatedNeighbors.Tumor.non.proliferating;485.5;0.026901243093352456
Myeloid DCs_stromal_cellfrequency;511.0;0.19221168900053542;;;B cells_intratumor_cellfrequency;736.0;0.02709754315450151
Myeloid M2 macrophages_tumorfront_aggregatedNeighbors.Myeloid.Monocytes;516.5;0.1922746909748656;;;Myeloid Monocytes_stromal_aggregatedNeighbors.Myeloid.M1.macrophages;822.0;0.027156061652686702
Myeloid Monocytes_intratumor_cellfrequency;541.0;0.1925092191637815;;;Myeloid Granulocytes_stromal_E-Cadherin;822.0;0.027606829534208146
CD8 T cells_intratumor_GranzymeB;737.0;0.192751290146018;;;Myeloid M2 macrophages_stromal_aggregatedNeighbors.Tumor.non.proliferating;449.0;0.027794090499718264
CD4 T cells naive_tumorfront_aggregatedNeighbors.B.cells;521.5;0.19336163338070866;;;CD8 T cells_intratumor_cellfrequency;818.0;0.027858082762216012
CD4 T cells regulatory_tumorfront_aggregatedNeighbors.Myeloid.Monocytes;530.0;0.19353038242102805;;;CD4 T cells memory_tumorfront_pSTAT1;821.0;0.028453491674192283
Myeloid M1 macrophages_tumorfront_pSTAT1;737.0;0.193574036578668;;;Myeloid Granulocytes_tumorfront_aggregatedNeighbors.Myeloid.Monocytes;812.0;0.02851951273887561
CD4 T cells regulatory_stromal_aggregatedNeighbors.Myeloid.DCs;548.0;0.19579544155060558;;;CD8 T cells_intratumor_VEGF;817.0;0.02870242555180757
Myeloid DCs_stromal_pS6;512.0;0.19619355225567947;;;CD8 T cells_intratumor_pNFkB;817.0;0.02870242555180757
CD4 T cells regulatory_tumorfront_aggregatedNeighbors.Tumor.proliferating;699.5;0.19873939270665708;;;Tumor proliferating_intratumor_GranzymeB;820.0;0.029135153216471553
CD4 T cells regulatory_tumorfront_aggregatedNeighbors.CD8.T.cells;726.0;0.19898525976779924;;;Myeloid Monocytes_tumorfront_GranzymeB;820.0;0.029284172234419866
Myeloid Granulocytes_tumorfront_Ki67;514.0;0.20136229137682993;;;Tumor proliferating_intratumor_pERK;819.0;0.029996218685195055
CD4 T cells memory_tumorfront_area;735.0;0.20157264420823828;;;Tumor proliferating_stromal_cellfrequency;475.0;0.030109303100087328
CD4 T cells naive_stromal_pSTAT3;513.0;0.20161422400942708;;;B cells_tumorfront_celldistance;448.5;0.030397030584583217
Tumor non-proliferating_tumorfront_pCREB;513.0;0.20161422400942708;;;Tumor non-proliferating_stromal_CD44;442.0;0.030408509610131487
Myeloid DCs_stromal_aggregatedNeighbors.CD4.T.cells.regulatory;549.0;0.20179081735896853;;;CD8 T cells_intratumor_pERK;815.0;0.030457394040369516
CD4 T cells regulatory_tumorfront_aggregatedNeighbors.Vessel;517.0;0.20363709842330324;;;CD8 T cells_intratumor_pp38;815.0;0.030457394040369516
CD4 T cells regulatory_tumorfront_pS6;515.0;0.2039556322365298;;;CD4 T cells memory_stromal_VEGF;818.0;0.031046753590219134
B cells_stromal_aggregatedNeighbors.Myeloid.M2.macrophages;515.5;0.2041490581565314;;;Tumor non-proliferating_tumorfront_pSTAT3;818.0;0.031048163886963607
CD8 T cells_tumorfront_aggregatedNeighbors.CD8.T.cells;734.0;0.20526421256156424;;;B cells_tumorfront_cellfrequency;810.5;0.031325176026096684
B cells_stromal_pMAPKAPK2;514.0;0.20559139475967492;;;Myeloid M1 macrophages_tumorfront_cellfrequency;817.0;0.03195654262336629
Myeloid Granulocytes_tumorfront_pp38;733.0;0.20728602778238725;;;Myeloid DCs_stromal_VEGF;817.0;0.03195654262336629
Tumor proliferating_tumorfront_pERK;515.0;0.20981879551609894;;;B cells_stromal_area;815.0;0.03282581508752703
Fibroblasts_stromal_aggregatedNeighbors.Myeloid.Granulocytes;516.0;0.21328067175251875;;;CD4 T cells regulatory_stromal_pMAPKAPK2;816.0;0.03285829609297973
Fibroblasts_stromal_pNFkB;516.0;0.21412688584938155;;;Tumor proliferating_tumorfront_GranzymeB;815.5;0.03336030738277513
Myeloid M2 macrophages_stromal_aggregatedNeighbors.Myeloid.Granulocytes;524.0;0.21461236109480153;;;Tumor proliferating_tumorfront_aggregatedNeighbors.CD4.T.cells.naive;765.5;0.033808339531735704
CD4 T cells memory_stromal_GranzymeB;516.5;0.21626178715235167;;;Myeloid M2 macrophages_tumorfront_VEGF;815.0;0.03384180307511734
CD4 T cells naive_tumorfront_CD44;731.5;0.21626178715235167;;;Fibroblasts_stromal_eccentricity;815.0;0.03384180307511734
CD4 T cells memory_stromal_aggregatedNeighbors.Myeloid.DCs;519.0;0.21809064240457376;;;Fibroblasts_tumorfront_aggregatedNeighbors.CD4.T.cells.regulatory;800.0;0.03413131507187775
Tumor proliferating_intratumor_E-Cadherin;731.0;0.21828458586055133;;;Myeloid M1 macrophages_tumorfront_aggregatedNeighbors.Tumor.proliferating;814.0;0.03479977870025865
CD8 T cells_stromal_pSTAT3;517.0;0.21841972581376634;;;Fibroblasts_stromal_aggregatedNeighbors.Myeloid.M2.macrophages;814.0;0.034813480291279494
Myeloid DCs_intratumor_cellfrequency;581.0;0.21905774421873203;;;B cells_tumorfront_pMAPKAPK2;806.5;0.0352848039282188
CD4 T cells regulatory_tumorfront_CD44;729.0;0.2202106464828637;;;CD8 T cells_tumorfront_E-Cadherin;813.0;0.035767074167689185
Tumor proliferating_tumorfront_eccentricity;518.0;0.22269647609104604;;;Myeloid M1 macrophages_tumorfront_pCREB;813.0;0.03582136061273188
Fibroblasts_tumorfront_GranzymeB;518.0;0.22277405736429834;;;Myeloid M2 macrophages_stromal_CD44;813.0;0.03582136061273188
Myeloid M2 macrophages_stromal_pCREB;518.5;0.22497048647573525;;;Tumor non-proliferating_stromal_aggregatedNeighbors.Vessel;451.5;0.03678682179859761
Tumor non-proliferating_stromal_pNFkB;519.0;0.22576866467688217;;;CD8 T cells_tumorfront_pCREB;812.0;0.03679232338851156
B cells_tumorfront_aggregatedNeighbors.Myeloid.Monocytes;540.5;0.22666675827148264;;;Myeloid M2 macrophages_tumorfront_aggregatedNeighbors.Tumor.proliferating;811.5;0.037334996345318346
Myeloid M2 macrophages_tumorfront_CD44;729.0;0.22697191326355193;;;CD8 T cells_stromal_E-Cadherin;811.5;0.0373541342120437
Tumor proliferating_intratumor_pSTAT3;519.0;0.22705377862592235;;;Tumor proliferating_tumorfront_pp38;811.5;0.03736848929834164
CD4 T cells memory_stromal_aggregatedNeighbors.CD8.T.cells;729.0;0.22710834319093098;;;Tumor proliferating_tumorfront_pNFkB;811.5;0.03736848929834164
CD4 T cells naive_stromal_pMAPKAPK2;519.0;0.2271901715283613;;;B cells_tumorfront_area;804.5;0.03741813875199564
Fibroblasts_stromal_aggregatedNeighbors.Myeloid.DCs;522.0;0.22904348279259545;;;CD8 T cells_stromal_aggregatedNeighbors.B.cells;807.5;0.037882902684621
CD4 T cells memory_tumorfront_aggregatedNeighbors.Myeloid.Monocytes;520.5;0.23009111820645234;;;Myeloid M1 macrophages_tumorfront_aggregatedNeighbors.Myeloid.M1.macrophages;811.0;0.0378907834252211
CD4 T cells regulatory_stromal_aggregatedNeighbors.Myeloid.Monocytes;533.0;0.23086445968544367;;;Vessel_stromal_pSTAT3;811.0;0.03789883236052313
CD4 T cells regulatory_tumorfront_aggregatedNeighbors.Tumor.non.proliferating;724.0;0.2315149461299455;;;Myeloid DCs_stromal_pNFkB;811.0;0.03789883236052313
Tumor proliferating_intratumor_CD44;728.0;0.2315313692714437;;;CD8 T cells_stromal_Ki67;810.5;0.038417684867271436
CD4 T cells memory_tumorfront_pSTAT1;728.0;0.23159008167016082;;;CD8 T cells_stromal_VEGF;810.5;0.038417684867271436
CD4 T cells naive_stromal_E-Cadherin;520.0;0.2316683468451184;;;Fibroblasts_tumorfront_aggregatedNeighbors.Tumor.proliferating;809.5;0.03876915144704502
Vessel_tumorfront_GranzymeB;520.0;0.2316683468451184;;;B cells_tumorfront_pERK;800.0;0.03985311944788763
Myeloid Monocytes_tumorfront_pERK;520.5;0.23360126179280483;;;CD8 T cells_tumorfront_CD36;809.0;0.040019489067254145
CD4 T cells regulatory_stromal_aggregatedNeighbors.Tumor.non.proliferating;554.0;0.23373320983872092;;;CD4 T cells memory_tumorfront_pNFkB;809.0;0.04007623880514959
Vessel_intratumor_cellfrequency;535.0;0.2362050795742735;;;Tumor non-proliferating_tumorfront_cellfrequency;451.0;0.040077908212802146
CD4 T cells memory_stromal_aggregatedNeighbors.Myeloid.Monocytes;521.5;0.23784446033281303;;;Fibroblasts_stromal_pp38;809.0;0.040077908212802146
CD4 T cells regulatory_stromal_cellfrequency;522.0;0.2399430299046571;;;B cells_tumorfront_eccentricity;801.5;0.040828102174488734
Tumor proliferating_tumorfront_Ki67;522.0;0.2407330474564603;;;Tumor non-proliferating_tumorfront_area;452.0;0.04120672007836464
Myeloid DCs_stromal_VEGF;522.5;0.24133375774757326;;;CD4 T cells naive_tumorfront_pCREB;806.5;0.04126678722392723
Myeloid M2 macrophages_tumorfront_aggregatedNeighbors.Myeloid.DCs;542.0;0.2429863822955317;;;Myeloid Granulocytes_stromal_pMAPKAPK2;807.0;0.042327750196925404
Myeloid M2 macrophages_intratumor_cellfrequency;575.0;0.2453150479445999;;;Myeloid DCs_tumorfront_aggregatedNeighbors.Myeloid.Granulocytes;800.0;0.04262111119875493
Tumor non-proliferating_intratumor_aggregatedNeighbors.Tumor.proliferating;523.0;0.24546200006576846;;;Myeloid M2 macrophages_tumorfront_aggregatedNeighbors.Myeloid.M1.macrophages;806.5;0.04290499381248813
Fibroblasts_stromal_Ki67;523.0;0.24547783173687754;;;CD4 T cells naive_tumorfront_aggregatedNeighbors.Tumor.proliferating;765.0;0.04295852157068433
Tumor non-proliferating_intratumor_E-Cadherin;725.0;0.24547783173687754;;;CD8 T cells_intratumor_pMAPKAPK2;803.0;0.043038438003644444
