,Feature Name
Feature n°1,CCR2nncMC_MAPKAPK2
Feature n°2,CCR2nncMC_Frequency
Feature n°3,CCR2pcMC_Frequency
Feature n°4,CD4Tnaive_Frequency
Feature n°5,CD56brightCD16nNKcells_Frequency
Feature n°6,Th1mem_S6
Feature n°7,Th1naive_CREB
