,ROC AUC,Average Precision,N features,CVS,U-test pvalue
STABL,"0.795 [0.559, 1.000]","0.863 [0.650, 1.000]","2.000 [0.000, 2.000]","0.000 [0.000, 0.500]",2.631e-02
SS 03,"0.650 [0.384, 0.912] (p=0.142)","0.651 [0.395, 0.940] (p=0.107)","4.000 [4.000, 4.000] (p=4.675e-49)","1.000 [1.000, 1.000] (p=0.000e+00)",2.730e-01
SS 05,"0.620 [0.333, 0.879] (p=0.103)","0.616 [0.371, 0.910] (p=0.088)","4.000 [4.000, 4.000] (p=2.801e-42)","1.000 [0.750, 1.000] (p=0.000e+00)",3.847e-01
SS 08,"0.640 [0.375, 0.899] (p=0.058)","0.652 [0.383, 0.930] (p=0.078)","2.000 [2.000, 2.000] (p=3.529e-08)","1.000 [1.000, 1.000] (p=0.000e+00)",3.075e-01
Lasso,"0.540 [0.260, 0.791] (p=0.028)","0.573 [0.333, 0.875] (p=0.014)","5.000 [2.000, 5.000] (p=1.514e-38)","1.000 [0.400, 1.000] (p=0.000e+00)",7.913e-01
Lasso 1SE,"0.540 [0.270, 0.808] (p=0.035)","0.573 [0.330, 0.873] (p=0.02)","5.000 [2.000, 5.000] (p=1.514e-38)","1.000 [0.400, 1.000] (p=0.000e+00)",7.913e-01
ElasticNet,"0.560 [0.286, 0.818] (p=0.009)","0.680 [0.427, 0.888] (p=0.018)","4.000 [3.000, 5.000] (p=1.873e-37)","0.750 [0.600, 1.000] (p=0.000e+00)",6.776e-01
