,Spearman corr,pvalue
S6,0.520265981714472,0.018692511424373982
ERK,-0.4855815829335072,0.02997228625973506
STAT6,-0.4682393835430248,0.0373249528982674
Frequency,0.3988705859810952,0.08149251949014447
MAPKAPK2,-0.3295017884191656,0.1559933352870714
STAT5,-0.2948173896382008,0.20700547241122197
CREB,-0.2774751902477184,0.2362383786543498
IkB,-0.2427907914667536,0.3023454554274212
NFkB,-0.2427907914667536,0.3023454554274212
p38,-0.20810639268578882,0.3786152471949078
STAT3,0.1907641932953064,0.42045602297364715
STAT1,,
