,ROC AUC,Average Precision,N features,CVS,U-test pvalue
STABL,"0.730 [0.450, 0.980]","0.817 [0.582, 0.966]","2.000 [2.000, 2.000]","1.000 [1.000, 1.000]",8.897e-02
SS 03,"0.870 [0.650, 1.000] (p=0.077)","0.925 [0.764, 1.000] (p=0.112)","5.000 [5.000, 5.000] (p=3.552e-83)","1.000 [0.800, 1.000] (p=0.000e+00)",4.363e-03
SS 05,"0.640 [0.364, 0.909] (p=0.242)","0.607 [0.375, 0.956] (p=0.24)","3.000 [3.000, 3.000] (p=5.633e-70)","1.000 [0.667, 1.000] (p=0.000e+00)",3.075e-01
SS 08,"0.830 [0.583, 1.000] (p=0.482)","0.878 [0.689, 1.000] (p=0.533)","2.000 [2.000, 2.000] (p=1.389e-03)","1.000 [1.000, 1.000] (p=0.000e+00)",1.402e-02
Lasso,"0.770 [0.494, 0.976] (p=0.255)","0.836 [0.618, 0.977] (p=0.357)","4.000 [2.750, 5.000] (p=2.719e-47)","0.600 [0.500, 0.800] (p=0.000e+00)",4.515e-02
Lasso 1SE,"0.760 [0.505, 0.969] (p=0.324)","0.826 [0.598, 0.976] (p=0.429)","4.000 [2.750, 5.000] (p=2.848e-47)","0.600 [0.500, 0.800] (p=0.000e+00)",5.390e-02
ElasticNet,"0.780 [0.531, 0.980] (p=0.347)","0.822 [0.548, 0.992] (p=0.475)","5.000 [2.000, 7.000] (p=8.991e-38)","0.571 [0.286, 1.000] (p=0.000e+00)",3.764e-02
