"","x"
"1","Bcells_149Sm_CREB_GMCSF"
"2","Bcells_149Sm_CREB_IFNa"
"3","Bcells_149Sm_CREB_IL246"
"4","Bcells_149Sm_CREB_LPS"
"5","Bcells_149Sm_CREB_unstim"
"6","Bcells_150Nd_STAT5_GMCSF"
"7","Bcells_150Nd_STAT5_IFNa"
"8","Bcells_150Nd_STAT5_IL246"
"9","Bcells_150Nd_STAT5_LPS"
"10","Bcells_151Eu_p38_GMCSF"
"11","Bcells_151Eu_p38_IFNa"
"12","Bcells_151Eu_p38_IL246"
"13","Bcells_151Eu_p38_LPS"
"14","Bcells_151Eu_p38_unstim"
"15","Bcells_153Eu_STAT1_IFNa"
"16","Bcells_153Eu_STAT1_LPS"
"17","Bcells_154Sm_STAT3_IFNa"
"18","Bcells_154Sm_STAT3_IL246"
"19","Bcells_154Sm_STAT3_LPS"
"20","Bcells_155Gd_S6_GMCSF"
"21","Bcells_155Gd_S6_IFNa"
"22","Bcells_155Gd_S6_IL246"
"23","Bcells_155Gd_S6_LPS"
"24","Bcells_155Gd_S6_unstim"
"25","Bcells_159Tb_MAPKAPK2_GMCSF"
"26","Bcells_159Tb_MAPKAPK2_IFNa"
"27","Bcells_159Tb_MAPKAPK2_IL246"
"28","Bcells_159Tb_MAPKAPK2_LPS"
"29","Bcells_159Tb_MAPKAPK2_unstim"
"30","Bcells_156Gd_IkB_GMCSF"
"31","Bcells_156Gd_IkB_IFNa"
"32","Bcells_156Gd_IkB_IL246"
"33","Bcells_156Gd_IkB_LPS"
"34","Bcells_156Gd_IkB_unstim"
"35","Bcells_166Er_NFkB_GMCSF"
"36","Bcells_166Er_NFkB_IFNa"
"37","Bcells_166Er_NFkB_IL246"
"38","Bcells_166Er_NFkB_LPS"
"39","Bcells_166Er_NFkB_unstim"
"40","Bcells_167Er_ERK_IFNa"
"41","Bcells_167Er_ERK_IL246"
"42","Bcells_168Er_STAT6_IFNa"
"43","Bcells_168Er_STAT6_IL246"
"44","Bcells_168Er_STAT6_LPS"
"45","CD4negCD8negTcells_149Sm_CREB_GMCSF"
"46","CD4negCD8negTcells_149Sm_CREB_IFNa"
"47","CD4negCD8negTcells_149Sm_CREB_IL246"
"48","CD4negCD8negTcells_149Sm_CREB_LPS"
"49","CD4negCD8negTcells_149Sm_CREB_unstim"
"50","CD4negCD8negTcells_150Nd_STAT5_IFNa"
"51","CD4negCD8negTcells_150Nd_STAT5_IL246"
"52","CD4negCD8negTcells_150Nd_STAT5_LPS"
"53","CD4negCD8negTcells_150Nd_STAT5_unstim"
"54","CD4negCD8negTcells_151Eu_p38_GMCSF"
"55","CD4negCD8negTcells_151Eu_p38_IFNa"
"56","CD4negCD8negTcells_151Eu_p38_IL246"
"57","CD4negCD8negTcells_151Eu_p38_LPS"
"58","CD4negCD8negTcells_151Eu_p38_unstim"
"59","CD4negCD8negTcells_153Eu_STAT1_IFNa"
"60","CD4negCD8negTcells_153Eu_STAT1_LPS"
"61","CD4negCD8negTcells_154Sm_STAT3_IFNa"
"62","CD4negCD8negTcells_154Sm_STAT3_IL246"
"63","CD4negCD8negTcells_154Sm_STAT3_LPS"
"64","CD4negCD8negTcells_155Gd_S6_GMCSF"
"65","CD4negCD8negTcells_155Gd_S6_IFNa"
"66","CD4negCD8negTcells_155Gd_S6_IL246"
"67","CD4negCD8negTcells_155Gd_S6_LPS"
"68","CD4negCD8negTcells_155Gd_S6_unstim"
"69","CD4negCD8negTcells_159Tb_MAPKAPK2_GMCSF"
"70","CD4negCD8negTcells_159Tb_MAPKAPK2_IFNa"
"71","CD4negCD8negTcells_159Tb_MAPKAPK2_IL246"
"72","CD4negCD8negTcells_159Tb_MAPKAPK2_LPS"
"73","CD4negCD8negTcells_159Tb_MAPKAPK2_unstim"
"74","CD4negCD8negTcells_156Gd_IkB_GMCSF"
"75","CD4negCD8negTcells_156Gd_IkB_IFNa"
"76","CD4negCD8negTcells_156Gd_IkB_IL246"
"77","CD4negCD8negTcells_156Gd_IkB_LPS"
"78","CD4negCD8negTcells_156Gd_IkB_unstim"
"79","CD4negCD8negTcells_166Er_NFkB_GMCSF"
"80","CD4negCD8negTcells_166Er_NFkB_IFNa"
"81","CD4negCD8negTcells_166Er_NFkB_IL246"
"82","CD4negCD8negTcells_166Er_NFkB_LPS"
"83","CD4negCD8negTcells_166Er_NFkB_unstim"
"84","CD4negCD8negTcells_167Er_ERK_GMCSF"
"85","CD4negCD8negTcells_167Er_ERK_IFNa"
"86","CD4negCD8negTcells_167Er_ERK_IL246"
"87","CD4negCD8negTcells_167Er_ERK_LPS"
"88","CD4negCD8negTcells_167Er_ERK_unstim"
"89","CD4negCD8negTcells_168Er_STAT6_GMCSF"
"90","CD4negCD8negTcells_168Er_STAT6_IFNa"
"91","CD4negCD8negTcells_168Er_STAT6_IL246"
"92","CD4negCD8negTcells_168Er_STAT6_LPS"
