,Mann-Whitney U-test,p-value
Myeloid DCs_tumorfront_CD44,2952.0,0.07212547943605774
Tumor non-proliferating_intratumor_pCREB,2951.0,0.07347004604136767
Myeloid Granulocytes_tumorfront_Ki67,2078.0,0.07578021281356952
Myeloid Monocytes_stromal_pSTAT1,2946.0,0.07681442740137756
Myeloid DCs_tumorfront_CD36,2941.0,0.07955657905465069
Myeloid M2 macrophages_tumorfront_pSTAT3,2937.0,0.08309782359820211
B cells_stromal_CD36,2936.0,0.08364846580685802
Myeloid Granulocytes_tumorfront_CD44,2936.0,0.08369550218102444
B cells_tumorfront_GranzymeB,2932.5,0.08391111216992199
Myeloid DCs_stromal_pSTAT3,2933.0,0.08597970002790731
Fibroblasts_stromal_pERK,2093.0,0.08684957588409577
CD4 T cells naive_tumorfront_pp38,2930.0,0.08804212861367637
Tumor proliferating_tumorfront_VEGF,2927.5,0.09028362394128221
Myeloid DCs_tumorfront_VEGF,2926.0,0.09068058081507743
Vessel_stromal_Ki67,2099.0,0.09146183675464707
Myeloid Monocytes_tumorfront_pSTAT1,2917.5,0.0983232723974244
Tumor non-proliferating_intratumor_pp38,2917.0,0.09874722013283484
Myeloid M1 macrophages_tumorfront_CD44,2913.0,0.10213050541134253
Vessel_tumorfront_pERK,2112.0,0.10213050541134253
CD4 T cells memory_stromal_CD36,2911.5,0.1034220519520646
Tumor non-proliferating_intratumor_CD44,2114.0,0.10385640850941737
Myeloid Granulocytes_stromal_E-Cadherin,2910.0,0.10470036205965404
Myeloid M1 macrophages_stromal_pSTAT3,2909.5,0.10516561725081812
CD4 T cells regulatory_tumorfront_pNFkB,2908.5,0.10535389954299046
CD4 T cells regulatory_tumorfront_pp38,2908.0,0.10549049740180222
B cells_tumorfront_pSTAT1,2904.0,0.1067115650839914
Tumor proliferating_intratumor_pS6,2907.0,0.10732061180144176
Myeloid Monocytes_tumorfront_CD44,2903.5,0.11053168536483372
Myeloid M1 macrophages_stromal_CD36,2901.0,0.11283615946373358
Myeloid Monocytes_stromal_pSTAT3,2900.0,0.11376642537741073
CD8 T cells_tumorfront_pNFkB,2899.0,0.11468980010584154
CD8 T cells_tumorfront_pp38,2899.0,0.11468980010584154
Vessel_stromal_pERK,2126.0,0.11470348251374538
Tumor non-proliferating_intratumor_pS6,2896.0,0.11754995584593024
Myeloid Monocytes_tumorfront_CD36,2894.5,0.11898957982556911
Tumor proliferating_tumorfront_GranzymeB,2890.5,0.12290392334493155
Myeloid DCs_tumorfront_pSTAT1,2888.5,0.12375151240163279
B cells_stromal_pp38,2889.0,0.12412509411464409
Myeloid M2 macrophages_stromal_E-Cadherin,2888.5,0.12490836538498941
CD8 T cells_tumorfront_pSTAT3,2885.0,0.1284491388548286
Tumor non-proliferating_intratumor_pSTAT3,2883.0,0.13052987332697952
Myeloid M2 macrophages_tumorfront_CD44,2882.0,0.1315500122029102
Tumor proliferating_intratumor_Ki67,2877.0,0.1368199625935351
Myeloid M1 macrophages_stromal_pp38,2877.0,0.13688372479348895
CD4 T cells memory_stromal_pSTAT1,2873.5,0.14069674439651236
Myeloid M2 macrophages_stromal_pSTAT3,2870.5,0.1440331153456647
Tumor proliferating_intratumor_CD44,2865.0,0.150237853213295
Tumor non-proliferating_tumorfront_pS6,2865.0,0.15030410029997068
Vessel_tumorfront_pSTAT1,2864.0,0.15146623832187725
CD4 T cells regulatory_stromal_VEGF,2857.0,0.15968862077607893
Myeloid Granulocytes_stromal_pp38,2854.0,0.16340495204250738
CD4 T cells naive_stromal_CD36,2850.0,0.1683003247250502
Vessel_tumorfront_pS6,2176.0,0.16972943624398085
Myeloid M1 macrophages_tumorfront_pSTAT1,2848.0,0.1710032851530927
Tumor non-proliferating_stromal_pSTAT1,2181.0,0.17559411625408272
CD4 T cells naive_stromal_VEGF,2844.0,0.1760054004668462
Myeloid M2 macrophages_tumorfront_pp38,2843.5,0.17678620713040316
Tumor non-proliferating_tumorfront_VEGF,2839.0,0.18279171340062716
Myeloid DCs_tumorfront_pCREB,2837.0,0.18443004005679442
Tumor proliferating_tumorfront_pS6,2837.5,0.18480399371061718
Myeloid Granulocytes_stromal_CD36,2836.0,0.18682670523023426
CD4 T cells memory_tumorfront_pSTAT3,2836.0,0.18684240696239418
Tumor proliferating_tumorfront_pNFkB,2835.5,0.18752555532159332
B cells_tumorfront_pNFkB,2831.5,0.18924454725253104
Fibroblasts_stromal_CD36,2833.0,0.19097873510643248
Vessel_stromal_pS6,2193.0,0.19236907654466295
Myeloid Granulocytes_tumorfront_VEGF,2831.0,0.19350056429269802
CD4 T cells regulatory_tumorfront_Ki67,2830.0,0.19353202698169591
Tumor non-proliferating_stromal_pp38,2196.0,0.19605201267498984
B cells_stromal_pMAPKAPK2,2827.0,0.19909560989313746
Myeloid Monocytes_stromal_pp38,2826.0,0.20086716883128042
Myeloid M1 macrophages_stromal_pERK,2199.0,0.20086764073378072
B cells_stromal_VEGF,2824.0,0.20342155668172923
Tumor non-proliferating_tumorfront_pCREB,2824.0,0.20376049834848686
CD4 T cells naive_tumorfront_pSTAT3,2823.5,0.2040266400311922
CD4 T cells naive_stromal_pSTAT1,2820.0,0.20946310501384002
B cells_tumorfront_pCREB,2814.5,0.21414622566348251
CD8 T cells_intratumor_pMAPKAPK2,2814.0,0.21746162560052074
CD8 T cells_stromal_pS6,2210.5,0.21791122202394686
CD4 T cells naive_stromal_pp38,2813.0,0.2200382160508494
B cells_stromal_pSTAT3,2812.0,0.22139938748092203
CD4 T cells memory_tumorfront_VEGF,2811.5,0.22252442484750412
Myeloid M2 macrophages_stromal_pS6,2214.5,0.22408260502106003
Tumor proliferating_tumorfront_pp38,2809.5,0.22562665836862317
CD8 T cells_stromal_CD36,2807.5,0.22878468507631267
