,R2,RMSE,MAE,N features,CVS
STABL,"-0.009 [-0.046, -0.005]","278.377 [229.262, 327.386]","186.594 [153.730, 223.571]","0.000 [0.000, 0.000]","0.000 [0.000, 0.000]"
SS 03,"-0.156 [-0.672, 0.198]","297.885 [261.393, 335.008]","233.734 [206.509, 263.996]","173.000 [167.250, 176.000] (p=3.447e-19)","0.789 [0.738, 0.834] (p=0.000e+00)"
SS 05,"-1.053 [-3.194, -0.016]","397.002 [288.886, 531.729]","270.368 [226.446, 320.451]","141.000 [135.000, 144.750] (p=3.373e-19)","0.756 [0.705, 0.803] (p=0.000e+00)"
SS 08,"-1.695 [-5.473, -0.040]","454.864 [288.688, 648.964]","270.954 [221.960, 339.148]","84.500 [81.250, 88.750] (p=3.382e-19)","0.702 [0.624, 0.766] (p=0.000e+00)"
Lasso,"0.054 [-0.095, 0.146]","269.510 [225.518, 310.446]","188.666 [159.973, 221.251]","13.500 [7.000, 21.750] (p=1.652e-16)","0.261 [0.182, 0.353] (p=0.000e+00)"
Lasso 1SE,"0.054 [-0.087, 0.140]","269.510 [223.961, 311.168]","188.666 [159.277, 222.465]","13.500 [7.000, 21.750] (p=1.652e-16)","0.261 [0.182, 0.353] (p=0.000e+00)"
ElasticNet,"0.092 [-0.147, 0.215]","264.021 [219.671, 304.776]","185.705 [156.882, 219.354]","233.000 [220.000, 242.000] (p=3.483e-19)","0.672 [0.639, 0.704] (p=0.000e+00)"
