,Spearman corr,pvalue
Frequency,-0.5549503804954368,0.011092407862489932
MAPKAPK2,0.3988705859810952,0.08149251949014447
S6,0.3468439878096479,0.13407612120334217
STAT5,-0.3295017884191656,0.1559933352870714
IkB,-0.2774751902477184,0.2362383786543498
CREB,0.2427907914667536,0.3023454554274212
STAT1,0.22941573387056172,0.3305649312781844
STAT3,0.1907641932953064,0.42045602297364715
ERK,-0.1387375951238592,0.5596674186533706
STAT6,0.10405319634289441,0.6624265026477676
p38,0.09116846116771037,0.7022664822299667
NFkB,0.08671099695241198,0.7162313833164182
