,Feature Name
Feature n°1,Bcells_S6
Feature n°2,CCR2nncMC_CREB
Feature n°3,CCR2nncMC_NFkB
Feature n°4,CCR2nncMC_MAPKAPK2
Feature n°5,CCR2nncMC_Frequency
Feature n°6,CCR2pcMC_S6
Feature n°7,CCR2pcMC_Frequency
Feature n°8,CD4Tnaive_Frequency
Feature n°9,CD4Trm_STAT6
Feature n°10,CD4Trm_Frequency
Feature n°11,CD56brightCD16nNKcells_Frequency
Feature n°12,CD61pCD41pPLT_CREB
Feature n°13,CD61pCD41pPLT_STAT3
Feature n°14,CD62LnAgedNeutrophils_S6
Feature n°15,CD62LpImmatureNeutrophils_S6
Feature n°16,CD62LpImmatureNeutrophils_Frequency
Feature n°17,gdTcells_Frequency
Feature n°18,intMC_S6
Feature n°19,mDC_S6
Feature n°20,mDC_Frequency
Feature n°21,MDSC_Frequency
Feature n°22,Th1mem_S6
Feature n°23,Th1naive_CREB
Feature n°24,Th1naive_S6
Feature n°25,Th1naive_IkB
Feature n°26,Th1naive_STAT6
Feature n°27,Th1naive_MAPKAPK2
