,Fold selected features,Fold nb of features
Fold 139,"['STAT5', 'STAT3', 'NFkB', 'STAT6', 'MAPKAPK2', 'Frequency']",6
Fold 140,[],0
Fold 141,[],0
Fold 142,[],0
Fold 143,[],0
Fold 144,"['S6', 'STAT6']",2
Fold 145,['S6'],1
Fold 146,[],0
Fold 147,"['CREB', 'STAT5', 'p38', 'STAT3', 'S6', 'IkB', 'NFkB', 'STAT6', 'MAPKAPK2', 'Frequency']",10
Fold 148,"['STAT5', 'S6', 'STAT6']",3
Fold 149,"['CREB', 'STAT5', 'IkB', 'STAT6']",4
Fold 150,[],0
Fold 151,['S6'],1
Fold 152,"['STAT5', 'STAT3', 'NFkB', 'STAT6', 'MAPKAPK2', 'Frequency']",6
Fold 153,[],0
Fold 154,[],0
Fold 155,[],0
Fold 156,"['STAT6', 'MAPKAPK2']",2
Fold 157,['S6'],1
Fold 158,"['CREB', 'STAT5', 'p38', 'STAT3', 'S6', 'IkB', 'NFkB', 'STAT6', 'MAPKAPK2', 'Frequency']",10
Fold 159,[],0
Fold 160,[],0
Fold 161,"['CREB', 'STAT5', 'p38', 'STAT3', 'S6', 'IkB', 'NFkB', 'STAT6', 'MAPKAPK2', 'Frequency']",10
Fold 162,[],0
Fold 163,['S6'],1
Fold 164,[],0
Fold 165,[],0
Fold 166,[],0
Fold 167,"['CREB', 'STAT5', 'IkB', 'STAT6']",4
Fold 168,[],0
Fold 169,[],0
Fold 170,"['STAT6', 'MAPKAPK2']",2
Fold 171,"['STAT5', 'S6', 'STAT6']",3
Fold 172,[],0
Fold 173,['S6'],1
Fold 174,"['S6', 'STAT6']",2
Fold 175,[],0
Fold 176,[],0
Fold 177,"['CREB', 'STAT5', 'p38', 'STAT3', 'S6', 'IkB', 'NFkB', 'STAT6', 'MAPKAPK2', 'Frequency']",10
Fold 178,['S6'],1
Fold 179,"['STAT5', 'STAT3', 'NFkB', 'STAT6', 'MAPKAPK2', 'Frequency']",6
Fold 180,[],0
Fold 181,[],0
Fold 182,[],0
Fold 183,['S6'],1
Fold 184,[],0
Fold 185,[],0
Fold 186,"['STAT5', 'S6', 'STAT6']",3
Fold 187,"['STAT6', 'MAPKAPK2']",2
Fold 188,[],0
Fold 189,"['S6', 'STAT6']",2
Fold 190,['S6'],1
Fold 191,[],0
Fold 192,"['CREB', 'STAT5', 'IkB', 'STAT6']",4
Fold 193,"['CREB', 'STAT5', 'p38', 'STAT3', 'S6', 'IkB', 'NFkB', 'STAT6', 'MAPKAPK2', 'Frequency']",10
Fold 194,[],0
Fold 195,['S6'],1
Fold 196,"['STAT5', 'STAT3', 'NFkB', 'STAT6', 'MAPKAPK2', 'Frequency']",6
Fold 197,[],0
Fold 198,[],0
Fold 199,"['CREB', 'STAT5', 'p38', 'STAT3', 'S6', 'IkB', 'NFkB', 'STAT6', 'MAPKAPK2', 'Frequency']",10
