,C'=' 0.053,C'=' 0.633,C'=' 1.213,C'=' 1.793,C'=' 2.373,C'=' 2.953,C'=' 3.533,C'=' 4.113,C'=' 4.693,C'=' 5.273
Bcells_p38,0.0,0.119,0.163,0.189,0.215,0.228,0.239,0.248,0.261,0.277
Bcells_Frequency,0.0,0.189,0.251,0.277,0.297,0.316,0.33,0.34,0.347,0.367
CCR2nncMC_Frequency,0.0,0.413,0.512,0.559,0.586,0.608,0.631,0.646,0.667,0.682
CCR2pcMC_CREB,0.0,0.147,0.187,0.206,0.222,0.237,0.248,0.26,0.277,0.284
CCR2pcMC_p38,0.0,0.0,0.003,0.005,0.009,0.018,0.018,0.021,0.026,0.027
CCR2pcMC_MAPKAPK2,0.0,0.012,0.02,0.028,0.039,0.045,0.053,0.057,0.069,0.074
CCR2pcMC_Frequency,0.0,0.096,0.135,0.159,0.183,0.195,0.203,0.217,0.23,0.24
CD41hiCD61hiPLT_p38,0.0,0.786,0.814,0.837,0.855,0.861,0.867,0.877,0.88,0.883
CD41hiCD61hiPLT_S6,0.0,0.576,0.625,0.655,0.677,0.69,0.695,0.699,0.704,0.71
CD4Tcm_STAT3,0.0,0.208,0.261,0.276,0.292,0.312,0.328,0.344,0.358,0.38
CD4Tcm_Frequency,0.0,0.075,0.112,0.134,0.154,0.164,0.188,0.203,0.211,0.225
CD4Tem_Frequency,0.0,0.573,0.694,0.732,0.759,0.786,0.817,0.834,0.845,0.855
CD4Tnaive_STAT3,0.0,0.092,0.13,0.148,0.158,0.171,0.185,0.197,0.21,0.218
CD4Tnaive_Frequency,0.0,0.138,0.19,0.231,0.259,0.286,0.299,0.318,0.333,0.343
CD56dimCD16pNKcells_Frequency,0.0,0.037,0.063,0.083,0.094,0.101,0.113,0.117,0.123,0.135
CD62LnAgedNeutrophils_p38,0.0,0.156,0.198,0.228,0.242,0.257,0.277,0.294,0.31,0.329
CD62LpImmatureNeutrophils_Frequency,0.0,0.534,0.594,0.612,0.629,0.635,0.647,0.653,0.66,0.668
CD8Tcm_Frequency,0.0,0.003,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004
CD8Tem_Frequency,0.0,0.736,0.796,0.83,0.842,0.853,0.865,0.88,0.891,0.902
CD8Tnaive_Frequency,0.0,0.022,0.057,0.086,0.111,0.129,0.155,0.174,0.194,0.202
CD8Trm_Frequency,0.0,0.327,0.414,0.458,0.493,0.512,0.538,0.564,0.569,0.589
gdTcells_Frequency,0.0,0.524,0.612,0.648,0.673,0.689,0.7,0.708,0.713,0.717
intMC_CREB,0.0,0.177,0.209,0.227,0.244,0.256,0.263,0.269,0.278,0.286
intMC_p38,0.0,0.0,0.0,0.0,0.0,0.002,0.003,0.005,0.005,0.006
intMC_Frequency,0.0,0.227,0.256,0.27,0.283,0.29,0.302,0.311,0.32,0.334
mDC_CREB,0.0,0.007,0.02,0.027,0.037,0.047,0.052,0.055,0.062,0.065
mDC_p38,0.0,0.0,0.0,0.0,0.004,0.006,0.008,0.008,0.008,0.014
mDC_STAT3,0.0,0.0,0.003,0.003,0.005,0.007,0.009,0.012,0.013,0.014
mDC_Frequency,0.0,0.009,0.017,0.027,0.03,0.035,0.039,0.042,0.046,0.048
MDSC_CREB,0.0,0.169,0.201,0.223,0.24,0.258,0.275,0.288,0.3,0.311
MDSC_p38,0.0,0.0,0.0,0.001,0.001,0.002,0.002,0.004,0.004,0.005
MDSC_STAT3,0.0,0.002,0.006,0.006,0.007,0.012,0.019,0.021,0.023,0.025
MDSC_MAPKAPK2,0.0,0.051,0.076,0.088,0.1,0.114,0.126,0.137,0.14,0.145
MDSC_Frequency,0.0,0.33,0.377,0.406,0.434,0.442,0.456,0.469,0.482,0.495
NKT_Frequency,0.0,0.004,0.005,0.007,0.01,0.016,0.016,0.017,0.02,0.023
Th1mem_STAT3,0.0,0.01,0.012,0.022,0.028,0.031,0.033,0.038,0.043,0.045
Th1naive_CREB,0.0,0.247,0.321,0.367,0.391,0.412,0.426,0.443,0.459,0.472
Th1naive_p38,0.0,0.087,0.176,0.211,0.242,0.273,0.295,0.315,0.335,0.354
Th1naive_STAT3,0.0,0.069,0.099,0.106,0.115,0.124,0.13,0.134,0.141,0.146
Th1naive_MAPKAPK2,0.0,0.072,0.125,0.164,0.182,0.197,0.212,0.223,0.236,0.25
Tregmem_Frequency,0.0,0.295,0.372,0.425,0.474,0.506,0.535,0.556,0.581,0.605
Tregnaive_STAT3,0.0,0.077,0.098,0.108,0.113,0.118,0.122,0.131,0.14,0.142
Tregnaive_IkB,0.0,0.004,0.006,0.009,0.009,0.009,0.009,0.01,0.012,0.014
