,Feature Name
Feature n°1,Bcells_S6
Feature n°2,CCR2nncMC_NFkB
Feature n°3,CCR2nncMC_MAPKAPK2
Feature n°4,CCR2nncMC_Frequency
Feature n°5,CCR2pcMC_S6
Feature n°6,CCR2pcMC_Frequency
Feature n°7,CD4Tnaive_Frequency
Feature n°8,CD62LnAgedNeutrophils_S6
Feature n°9,CD62LpImmatureNeutrophils_S6
Feature n°10,CD62LpImmatureNeutrophils_Frequency
Feature n°11,gdTcells_Frequency
Feature n°12,intMC_S6
Feature n°13,mDC_S6
Feature n°14,mDC_Frequency
Feature n°15,MDSC_S6
Feature n°16,Th1mem_S6
Feature n°17,Th1naive_CREB
Feature n°18,Th1naive_S6
Feature n°19,Th1naive_MAPKAPK2
