,Spearman corr,pvalue
CA6,-0.41322172653144,1.8168492874316437e-36
ITGA11,-0.36847162828333524,8.603887900130098e-29
CCL7,0.3647534324576437,3.3140952584348946e-28
IL6,0.3597038626132131,2.0114467656365774e-27
LRRN1,-0.3564895040713937,6.233808173069504e-27
CD1C,-0.3501266219990942,5.632262905998892e-26
CDON,-0.34406957174171926,4.370579556961781e-25
PON3,-0.3426722474421085,6.967314936770003e-25
CRTAC1,-0.33851029475084055,2.7556241495381114e-24
CLEC4C,-0.33254921761827905,1.9046024658994235e-23
KIT,-0.3278655214191455,8.445731033050031e-23
APLP1,-0.32520281525029876,1.9470416884406046e-22
TNFSF11,-0.3212267661783193,6.673425208039343e-22
APOM,-0.31817426031645746,1.6969441438865088e-21
TNFSF10,-0.31653105848500307,2.792079101168292e-21
KITLG,-0.31620720626820487,3.078867245569395e-21
IGFBP3,-0.3140062821683823,5.96478269885652e-21
CD34,-0.3049027549626169,8.673248184799347e-20
CRH,-0.30381127595445756,1.18809957430899e-19
DNER,-0.3030076913891116,1.4965989206808664e-19
MSTN,-0.3018142579443282,2.1058012132716501e-19
ADAMTS13,-0.3004229594148827,3.1293208216049663e-19
CNTN5,-0.30024308970710206,3.2932346029443964e-19
LTA,-0.2978682011556962,6.440456722225118e-19
DSG4,-0.29587718001720503,1.124715778637608e-18
RGMA,-0.2953674338177822,1.2963665647339254e-18
ITGB7,-0.2924708330932713,2.8900065803773977e-18
CNTN1,-0.29199107785680584,3.2974669366567507e-18
CR2,-0.2910975152327909,4.212877881656485e-18
PTS,0.284374789273655,2.5881902556010453e-17
PTPRS,-0.282419754550463,4.348099950008853e-17
NME3,-0.28150821714530405,5.5301726440891296e-17
L1CAM,-0.2807585990302424,6.73498325720587e-17
FAP,-0.2805007116253643,7.206493313108426e-17
CTSV,-0.28006290551791535,8.082456344863434e-17
ENPP5,-0.2794392230239337,9.513947763818902e-17
ADGRG2,-0.2755291409013447,2.619646334957025e-16
DSG3,-0.27253060325997014,5.633917197454482e-16
ITGAV,-0.27192490369337674,6.568838866548869e-16
IL1RN,0.2699578494557483,1.0786377625054614e-15
NTRK3,-0.26965200702444225,1.1646786415333702e-15
XPNPEP2,-0.2652561446113289,3.4719433402275844e-15
OMG,-0.2647703965423256,3.912497590078013e-15
VSIG4,0.26377487744213796,4.994019659443325e-15
LTA4H,0.2633071166422464,5.598865991398218e-15
CBLN4,-0.2628333612911024,6.284718220074635e-15
KDR,-0.26241954854129734,6.950869581925841e-15
SDC1,0.2604704861526921,1.1145099868112495e-14
ERBB2,-0.26044651431966737,1.1209732294718762e-14
FETUB,-0.2603865272549384,1.1373086098252751e-14
ICOSLG,-0.260314586476819,1.1572077348095942e-14
BCAN,-0.26017663884480063,1.1963258864025324e-14
FASLG,-0.2594090309687569,1.4389145764501674e-14
TMPRSS15,-0.25930707080619736,1.47457241169898e-14
TMPRSS5,-0.2575679146123499,2.2350538825735535e-14
NPTXR,-0.25741200217817933,2.3196077632064054e-14
KRT19,0.2560986239208648,3.168342884972196e-14
LYPD3,-0.2538437512266518,5.389351200638103e-14
CHI3L1,0.2520086347840153,8.272403865603069e-14
HGF,0.2516847908717087,8.919029236430167e-14
KLK8,-0.2511930389170326,9.996824823757937e-14
NTRK2,-0.2510611022826983,1.0307104643768671e-13
PRSS27,-0.25074928291112636,1.107846075834719e-13
CD58,-0.25039543056814134,1.2022512885930412e-13
IDS,-0.25013757742501,1.2759715882448102e-13
IL7R,-0.2492439905732242,1.5674107027408008e-13
CDHR2,0.24856031679991314,1.8335818803036255e-13
HPGDS,-0.24629945110327991,3.0697339615852704e-13
MMP8,0.24555579601095348,3.6326647714402156e-13
MSLN,0.2431030037757341,6.305230649537342e-13
COMP,-0.24170570181569792,8.60902861894885e-13
FLT3,-0.2383953116096808,1.786519826685127e-12
CKMT1A_CKMT1B,-0.23808345501201797,1.9126335274203952e-12
