,ROC AUC,Average Precision,N features,CVS
STABL,"0.410 [0.133, 0.720]","0.462 [0.285, 0.786]","2.500 [2.000, 4.000]","0.500 [0.000, 0.667]"
SS 03,"0.430 [0.172, 0.725] (p=0.463)","0.470 [0.282, 0.814] (p=0.437)","5.000 [5.000, 5.000] (p=3.456e-71)","1.000 [1.000, 1.000] (p=0.000e+00)"
SS 05,"0.430 [0.167, 0.729] (p=0.437)","0.470 [0.284, 0.791] (p=0.435)","5.000 [5.000, 5.000] (p=3.456e-71)","1.000 [1.000, 1.000] (p=0.000e+00)"
SS 08,"0.400 [0.152, 0.659] (p=0.501)","0.449 [0.253, 0.749] (p=0.074)","3.000 [2.000, 3.000] (p=4.952e-01)","0.750 [0.667, 1.000] (p=0.000e+00)"
Lasso,"0.465 [0.187, 0.750] (p=0.328)","0.504 [0.279, 0.799] (p=0.277)","1.000 [0.000, 2.250] (p=2.011e-09)","0.000 [0.000, 0.500] (p=0.000e+00)"
Lasso 1SE,"0.465 [0.182, 0.780] (p=0.331)","0.504 [0.288, 0.803] (p=0.255)","1.000 [0.000, 2.250] (p=2.917e-10)","0.000 [0.000, 0.500] (p=0.000e+00)"
ElasticNet,"0.490 [0.212, 0.800] (p=0.259)","0.492 [0.301, 0.816] (p=0.315)","1.000 [1.000, 2.250] (p=3.553e-10)","0.250 [0.000, 1.000] (p=2.648e-56)"
