,ROC AUC,Average Precision,N features,CVS,U-test pvalue
STABL,"0.570 [0.290, 0.840]","0.635 [0.356, 0.900]","3.500 [1.000, 5.000]","0.333 [0.200, 0.800]",6.230e-01
SS 03,"0.510 [0.252, 0.798] (p=0.283)","0.504 [0.296, 0.859] (p=0.12)","6.500 [6.000, 7.000] (p=2.597e-64)","0.857 [0.857, 1.000] (p=0.000e+00)",9.698e-01
SS 05,"0.570 [0.298, 0.838] (p=0.464)","0.559 [0.335, 0.878] (p=0.232)","5.500 [5.000, 6.000] (p=4.028e-44)","0.833 [0.833, 1.000] (p=0.000e+00)",6.232e-01
SS 08,"0.280 [0.121, 0.429] (p=0.013)","0.430 [0.226, 0.670] (p=0.043)","0.000 [0.000, 0.250] (p=1.956e-49)","0.000 [0.000, 0.000] (p=0.000e+00)",3.268e-02
Lasso,"0.580 [0.302, 0.840] (p=0.412)","0.664 [0.373, 0.896] (p=0.399)","3.000 [2.000, 4.000] (p=5.081e-01)","0.500 [0.333, 0.750] (p=0.000e+00)",5.708e-01
Lasso 1SE,"0.580 [0.312, 0.835] (p=0.412)","0.664 [0.373, 0.883] (p=0.426)","3.000 [2.000, 4.000] (p=7.823e-02)","0.500 [0.333, 0.750] (p=2.839e-306)",5.708e-01
ElasticNet,"0.620 [0.354, 0.857] (p=0.302)","0.698 [0.433, 0.917] (p=0.301)","3.000 [3.000, 4.000] (p=6.908e-01)","0.667 [0.500, 0.800] (p=0.000e+00)",3.847e-01
