,ROC AUC,Average Precision,N features,CVS
STABL,"0.340 [0.109, 0.636]","0.510 [0.269, 0.770]","3.000 [0.000, 4.000]","0.000 [0.000, 0.500]"
SS 03,"0.660 [0.396, 0.901] (p=0.011)","0.655 [0.400, 0.951] (p=0.154)","4.000 [4.000, 4.000] (p=4.461e-44)","1.000 [1.000, 1.000] (p=0.000e+00)"
SS 05,"0.660 [0.396, 0.910] (p=0.014)","0.655 [0.403, 0.936] (p=0.168)","4.000 [4.000, 4.000] (p=4.461e-44)","1.000 [1.000, 1.000] (p=0.000e+00)"
SS 08,"0.800 [0.566, 0.970] (p=0.002)","0.712 [0.472, 0.972] (p=0.043)","1.000 [0.000, 1.000] (p=1.981e-04)","0.000 [0.000, 0.333] (p=1.114e-02)"
Lasso,"0.580 [0.310, 0.820] (p=0.068)","0.662 [0.402, 0.892] (p=0.063)","2.000 [2.000, 4.000] (p=7.448e-05)","0.500 [0.500, 1.000] (p=0.000e+00)"
Lasso 1SE,"0.590 [0.323, 0.835] (p=0.046)","0.671 [0.399, 0.893] (p=0.07)","2.000 [2.000, 4.000] (p=7.448e-05)","0.500 [0.500, 1.000] (p=0.000e+00)"
ElasticNet,"0.810 [0.583, 0.988] (p=0.003)","0.805 [0.552, 0.995] (p=0.029)","2.000 [2.000, 2.000] (p=8.038e-01)","1.000 [0.667, 1.000] (p=0.000e+00)"
