,Feature Name
Feature n°1,Bcells_NFkB
Feature n°2,Bcells_Frequency
Feature n°3,CCR2nncMC_S6
Feature n°4,CCR2nncMC_NFkB
Feature n°5,CCR2nncMC_MAPKAPK2
Feature n°6,CCR2nncMC_Frequency
Feature n°7,CCR2pcMC_S6
Feature n°8,CCR2pcMC_Frequency
Feature n°9,CD4Tcm_Frequency
Feature n°10,CD4Tnaive_Frequency
Feature n°11,CD4Trm_STAT5
Feature n°12,CD4Trm_S6
Feature n°13,CD4Trm_NFkB
Feature n°14,CD4Trm_STAT6
Feature n°15,CD56brightCD16nNKcells_Frequency
Feature n°16,CD56dimCD16pNKcells_Frequency
Feature n°17,CD61pCD41pPLT_STAT3
Feature n°18,CD62LnAgedNeutrophils_p38
Feature n°19,CD62LnAgedNeutrophils_S6
Feature n°20,CD62LnAgedNeutrophils_IkB
Feature n°21,CD62LnAgedNeutrophils_MAPKAPK2
Feature n°22,CD62LnAgedNeutrophils_Frequency
Feature n°23,CD62LpImmatureNeutrophils_Frequency
Feature n°24,CD8Tnaive_Frequency
Feature n°25,gdTcells_IkB
Feature n°26,gdTcells_Frequency
Feature n°27,intMC_S6
Feature n°28,intMC_Frequency
Feature n°29,mDC_S6
Feature n°30,MDSC_S6
Feature n°31,pDC_STAT5
Feature n°32,pDC_S6
Feature n°33,pDC_MAPKAPK2
Feature n°34,Th1mem_STAT5
Feature n°35,Th1mem_ERK
Feature n°36,Th1mem_STAT6
Feature n°37,Th1naive_NFkB
Feature n°38,Th1naive_STAT6
Feature n°39,Tregmem_STAT5
Feature n°40,Tregnaive_STAT5
Feature n°41,Tregnaive_STAT6
