,Associated weight
CCR2pcMC_predictions,9.328982030925154
CD4Trm_predictions,9.10839754654866
pDC_predictions,8.975919221263204
CD62LpImmatureNeutrophils_predictions,8.584570051965377
NKT_predictions,8.529408845221383
Th1mem_predictions,8.31318453034579
CD41hiCD61hiPLT_predictions,8.246194885668872
Bcells_predictions,7.857070928152136
CD61pCD41pPLT_predictions,7.66426728907589
CD62LnAgedNeutrophils_predictions,6.3967528280769335
Tregmem_predictions,5.947755140853502
MDSC_predictions,5.693224309190432
gdTcells_predictions,5.660548362497973
Tregnaive_predictions,5.52094289278565
CD56brightCD16nNKcells_predictions,4.25432843159582
CD8Tem_predictions,3.535717033727157
intMC_predictions,3.253298364577233
CD56dimCD16pNKcells_predictions,2.2111160565241117
CD4Tnaive_predictions,1.9510812461431437
CD8Trm_predictions,1.5895701932419037
CD8Tnaive_predictions,1.3531234069591491
mDC_predictions,1.1183142276332336
CD4Tcm_predictions,0.7558388722370524
CD8Tcm_predictions,0.7479769843911266
CD4Tem_predictions,0.4653017560102801
Th1naive_predictions,0.3128387035193081
CCR2nncMC_predictions,0.02416495315546885
