,ROC AUC,Average Precision,N features,CVS,U-test pvalue
STABL,"0.410 [0.160, 0.720]","0.462 [0.264, 0.750]","2.500 [2.000, 4.000]","0.500 [0.000, 0.667]",5.199e-01
SS 03,"0.430 [0.187, 0.717] (p=0.487)","0.470 [0.264, 0.782] (p=0.439)","5.000 [5.000, 5.000] (p=3.456e-71)","1.000 [1.000, 1.000] (p=0.000e+00)",6.232e-01
SS 05,"0.430 [0.187, 0.730] (p=0.443)","0.470 [0.286, 0.780] (p=0.458)","5.000 [5.000, 5.000] (p=3.456e-71)","1.000 [1.000, 1.000] (p=0.000e+00)",6.232e-01
SS 08,"0.400 [0.143, 0.714] (p=0.471)","0.449 [0.271, 0.739] (p=0.052)","3.000 [2.000, 3.000] (p=4.952e-01)","0.750 [0.667, 1.000] (p=0.000e+00)",4.727e-01
Lasso,"0.465 [0.187, 0.750] (p=0.354)","0.504 [0.309, 0.803] (p=0.281)","1.000 [0.000, 2.250] (p=2.011e-09)","0.000 [0.000, 0.500] (p=0.000e+00)",8.182e-01
Lasso 1SE,"0.465 [0.192, 0.760] (p=0.323)","0.504 [0.314, 0.785] (p=0.286)","1.000 [0.000, 2.250] (p=2.917e-10)","0.000 [0.000, 0.500] (p=0.000e+00)",8.182e-01
ElasticNet,"0.490 [0.220, 0.802] (p=0.278)","0.492 [0.291, 0.801] (p=0.368)","1.000 [1.000, 2.250] (p=3.553e-10)","0.250 [0.000, 1.000] (p=2.648e-56)",9.698e-01
