,ROC AUC,Average Precision,N features,CVS
STABL,"0.405 [0.220, 0.610]","0.477 [0.269, 0.732]","0.000 [0.000, 20.000]","0.000 [0.000, 0.000]"
SS 03,"0.490 [0.200, 0.769] (p=0.339)","0.618 [0.348, 0.874] (p=0.112)","15.000 [13.000, 15.000] (p=2.723e-02)","0.525 [0.444, 0.632] (p=6.966e-60)"
SS 05,"0.490 [0.209, 0.771] (p=0.319)","0.618 [0.341, 0.870] (p=0.125)","15.000 [13.000, 15.000] (p=2.723e-02)","0.525 [0.444, 0.632] (p=6.966e-60)"
SS 08,"0.490 [0.202, 0.780] (p=0.314)","0.618 [0.333, 0.879] (p=0.125)","15.000 [13.000, 15.000] (p=2.723e-02)","0.525 [0.444, 0.632] (p=6.966e-60)"
Lasso,"0.370 [0.104, 0.677] (p=0.381)","0.575 [0.297, 0.824] (p=0.157)","10.000 [1.750, 12.000] (p=9.941e-02)","0.154 [0.000, 0.368] (p=7.416e-28)"
Lasso 1SE,"0.380 [0.094, 0.646] (p=0.439)","0.575 [0.324, 0.823] (p=0.182)","10.000 [0.750, 12.000] (p=2.025e-01)","0.101 [0.000, 0.368] (p=8.132e-20)"
ElasticNet,"0.130 [0.000, 0.333] (p=0.054)","0.359 [0.221, 0.622] (p=0.126)","2.500 [0.000, 13.250] (p=2.189e-01)","0.000 [0.000, 0.113] (p=5.385e-08)"
