cytof,linear_fit,quadratic_fit,pval,a,b,class,pattern
Bcells_CREB_IL246,1204.6051100344205,-1204.3142908357486,0.7826946216747891,-5.421844552801442e-7,-5.7082877259011866e-5,quadratic,acceleration/decrease
Bcells_CREB_unstim,1310.9188682591555,-1312.101267608286,0.07598752035586998,-5.17799963770114e-7,-6.265072524327e-5,quadratic,acceleration/decrease
Bcells_ERK_IL246,947.6853361835543,-950.2296099431276,0.06972526214660463,-2.071904767717361e-6,-2.3076449455598146e-4,quadratic,acceleration/decrease
Bcells_ERK_unstim,Inf,-Inf,NA,0,0,quadratic,acceleration/decrease
Bcells_IkB_IFNa,744.2707275369411,-744.4021485043345,0.0947243327023698,2.8066287795264795e-6,3.6267229035644275e-4,quadratic,acceleration/increase
Bcells_IkB_IL246,742.6378251502877,-741.0524081791771,0.9622942819136183,-1.2481331462064388e-6,-1.2203754428760472e-4,quadratic,deceleration/increase
Bcells_IkB_unstim,505.0277279199761,-510.23099037680106,0.004789645519733684,-1.135801946289268e-5,-0.0013489055003623248,quadratic,acceleration/decrease
Bcells_MAPKAPK2_IFNa,643.4953364181921,-641.755566331783,0.1620067826282057,-1.376476815022996e-6,-3.7512446460646714e-5,quadratic,deceleration/increase
Bcells_MAPKAPK2_IL246,653.6124156404494,-653.5824177060081,0.4529488118530811,-3.6512504156596776e-6,-4.157021283623196e-4,quadratic,acceleration/decrease
Bcells_MAPKAPK2_LPS,603.9302780203831,-603.7732502498839,0.001160118479183245,-4.168518060544903e-6,-1.4737789748123833e-4,quadratic,deceleration/increase
Bcells_MAPKAPK2_unstim,339.4382436288898,-339.08294287599506,0.33337975483253734,-9.512621398120332e-6,-0.0011382835995950396,quadratic,acceleration/decrease
Bcells_NFkB_IFNa,615.3207716260973,-613.3489215165017,0.06277187501561483,4.974889792314388e-7,1.957689911636865e-4,quadratic,acceleration/increase
Bcells_NFkB_IL246,573.3147110265367,-571.3180453897183,0.5141681860454139,-1.9696067498868012e-7,3.90014899038196e-5,quadratic,deceleration/increase
Bcells_NFkB_unstim,354.9431364839011,-358.5006399926775,0.018380137902450137,-1.6497964193331328e-5,-0.001943652193413076,quadratic,acceleration/decrease
Bcells_p38_unstim,Inf,-Inf,NA,0,0,quadratic,acceleration/decrease
Bcells_S6_IFNa,630.603812669162,-628.6040582915169,0.10198048449408988,4.4164649185920744e-8,1.2631326769561136e-4,quadratic,acceleration/increase
Bcells_S6_IL246,572.5818120155681,-570.7476661162766,0.5612854678696332,1.3921291754848677e-6,1.9115035047709042e-4,quadratic,acceleration/increase
Bcells_S6_LPS,489.9978119905089,-488.2066049505642,0.10966045916030653,2.0568180046866155e-6,3.9560715323341036e-4,quadratic,acceleration/increase
Bcells_S6_unstim,43.965412461082245,-42.171524656838685,0.32998782897959156,-9.038362540738174e-6,-3.895085220386866e-4,quadratic,deceleration/increase
