,R2,RMSE,MAE
STABL+Linear Regression,"0.242 [0.126, 0.339]","27.998 [25.379, 30.735]","23.582 [21.051, 25.863]"
STABL+Ridge,"0.234 [0.118, 0.326]","28.156 [25.516, 30.672]","23.825 [21.398, 26.224]"
STABL+Random Forest,"0.302 [0.186, 0.388]","26.875 [24.439, 29.509]","22.621 [20.386, 24.784]"
