,Fold selected features,Fold nb of features
Fold 0,"['AMY2A', 'AMY2B', 'CAPG', 'CCL19', 'CCL20', 'CD300C', 'CEACAM3', 'CES1', 'CSF1', 'CTSH', 'CTSL', 'CTSV', 'CXCL13', 'FCRLB', 'HMOX1', 'ICAM4', 'IFNGR2', 'IL13RA1', 'IL33', 'IL5RA', 'LGALS9', 'METAP1', 'MZB1', 'NCF2', 'PLXNB2', 'S100A11', 'SIGLEC10', 'TNFRSF10A', 'TNFRSF8', 'VWA1']",30
Fold 1,"['AARSD1', 'ACAN', 'ACP6', 'ACTN4', 'ACY1', 'ADA2', 'ADAM15', 'ADAMTS15', 'ADAMTS16', 'ADAMTS8', 'ADCYAP1R1', 'ADGRE2', 'ADGRG1', 'ADGRG2', 'ADH4', 'AFP', 'AGR3', 'AGRP', 'AGXT', 'AHSP', 'AIF1', 'AIFM1', 'ALDH1A1', 'ALPP', 'AMBN', 'AMBP', 'AMIGO2', 'AMY2A', 'AMY2B', 'ANGPT2', 'ANGPTL2', 'ANPEP', 'ANXA10', 'ANXA3', 'AOC1', 'APBB1IP', 'APEX1', 'APLP1', 'APOM', 'APP', 'APRT', 'ARG1', 'ARHGEF12', 'ARID4B', 'ARNT', 'ARSA', 'ARSB', 'ARTN', 'ASAH2', 'ATF2', 'ATOX1', 'ATP5IF1', 'ATP6AP2', 'ATP6V1D', 'ATP6V1F', 'ATXN10', 'AXL', 'B4GAT1', 'BAG3', 'BAG6', 'BAIAP2', 'BAX', 'BCAN', 'BGN', 'BID', 'BIN2', 'BLMH', 'BLVRB', 'BOC', 'BPIFB1', 'BRK1', 'BST1', 'BST2', 'C19orf12', 'C1QA', 'C2', 'C4BPB', 'CA1', 'CA11', 'CA13', 'CA14', 'CA3', 'CA4', 'CA5A', 'CALB1', 'CALCOCO1', 'CAMKK1', 'CAPG', 'CARHSP1', 'CASC4', 'CASP1', 'CASP2', 'CASP3', 'CBLIF', 'CBLN4', 'CCDC80', 'CCL11', 'CCL15', 'CCL16', 'CCL19', 'CCL2', 'CCL20', 'CCL22', 'CCL23', 'CCL24', 'CCL28', 'CCL5', 'CCL7', 'CCL8', 'CCN1', 'CCN3', 'CD109', 'CD160', 'CD163', 'CD164', 'CD177', 'CD1C', 'CD200R1', 'CD209', 'CD22', 'CD244', 'CD27', 'CD276', 'CD28', 'CD300C', 'CD302', 'CD33', 'CD34', 'CD38', 'CD4', 'CD40', 'CD40LG', 'CD48', 'CD5', 'CD55', 'CD6', 'CD69', 'CD70', 'CD79B', 'CD83', 'CD93', 'CDC27', 'CDCP1', 'CDH1', 'CDH17', 'CDH2', 'CDHR1', 'CDHR5', 'CDKN2D', 'CDNF', 'CDON', 'CDSN', 'CEACAM21', 'CEACAM3', 'CEACAM5', 'CEBPB', 'CELA3A', 'CEP164', 'CES1', 'CES2', 'CES3', 'CHEK2', 'CHGB', 'CHI3L1', 'CHL1', 'CHRDL2', 'CKMT1A_CKMT1B', 'CLC', 'CLEC10A', 'CLEC1B', 'CLEC4D', 'CLEC4G', 'CLEC6A', 'CLIP2', 'CLSPN', 'CLSTN1', 'CLSTN2', 'CLUL1', 'CNPY2', 'CNTN1', 'CNTN2', 'CNTN3', 'COL1A1', 'COL4A1', 'COL6A3', 'COLEC12', 'COMT', 'COPE', 'CPA1', 'CPA2', 'CPB1', 'CPE', 'CPPED1', 'CPVL', 'CPXM1', 'CR2', 'CRADD', 'CREG1', 'CRELD2', 'CRH', 'CRHBP', 'CRHR1', 'CRIP2', 'CRISP2', 'CRKL', 'CRNN', 'CRTAC1', 'CRTAM', 'CRX', 'CSF1', 'CSF2RA', 'CST5', 'CST6', 'CSTB', 'CTRB1', 'CTRC', 'CTSB', 'CTSC', 'CTSD', 'CTSF', 'CTSL', 'CTSS', 'CTSV', 'CTSZ', 'CXCL10', 'CXCL12', 'CXCL13', 'CXCL14', 'CXCL17', 'CXCL3', 'CXCL5', 'CXCL8', 'CXCL9', 'DAB2', 'DAG1', 'DARS', 'DBI', 'DBNL', 'DCBLD2', 'DCN', 'DCTN1', 'DCTN6', 'DCXR', 'DDC', 'DDX58', 'DECR1', 'DEFA1_DEFA1B', 'DEFB4A_DEFB4B', 'DIABLO', 'DKK3', 'DKK4', 'DLL1', 'DNAJA2', 'DNAJB8', 'DNER', 'DPEP1', 'DPEP2', 'DPP6', 'DPT', 'DPY30', 'DSC2', 'DSG3', 'DSG4', 'DTX3', 'DUOX2', 'DUSP3', 'EBI3_IL27', 'EDAR', 'EGF', 'EGFR', 'EGLN1', 'EIF4EBP1', 'EIF4G1', 'EIF5A', 'ELOA', 'ENAH', 'ENG', 'ENPP2', 'ENPP5', 'ENPP7', 'ENTPD5', 'EPHA1', 'EPHA10', 'ERBB2', 'ERBB4', 'ERBIN', 'EREG', 'EZR', 'F11R', 'F7', 'FABP1', 'FABP4', 'FABP5', 'FABP6', 'FABP9', 'FCAR', 'FCGR2A', 'FCGR3B', 'FCN2', 'FCRL1', 'FCRL2', 'FCRL3', 'FCRL5', 'FCRL6', 'FCRLB', 'FEN1', 'FGF19', 'FGF2', 'FGF23', 'FGF5', 'FGFBP1', 'FKBP1B', 'FKBP4', 'FLRT2', 'FLT1', 'FLT3', 'FOLR2', 'FOLR3', 'FOPNL', 'FRZB', 'FST', 'FURIN', 'FUS', 'FUT3_FUT5', 'FUT8', 'FXN', 'GAL', 'GALNT7', 'GBP2', 'GBP4', 'GCG', 'GFOD2', 'GFRA3', 'GGA1', 'GGH', 'GGT1', 'GGT5', 'GH1', 'GH2', 'GHRL', 'GLRX', 'GLT8D2', 'GMPR', 'GNLY', 'GP2', 'GP6', 'GPA33', 'GPC1', 'GPKOW', 'GPR37', 'GSAP', 'GSTA1', 'GSTA3', 'GUCA2A', 'GUSB', 'GYS1', 'GZMA', 'GZMB', 'GZMH', 'HAGH', 'HAO1', 'HAVCR1', 'HAVCR2', 'HBEGF', 'HDGF', 'HLA-DRA', 'HNMT', 'HPCAL1', 'HS3ST3B1', 'HSP90B1', 'HSPB1', 'HSPG2', 'ICAM1', 'ICAM2', 'ICAM3', 'ICAM4', 'ICAM5', 'IDS', 'IDUA', 'IFNGR1', 'IFNGR2', 'IFNLR1', 'IGF2R', 'IGFBP1', 'IGFBP2', 'IGFBP3', 'IGFBP4', 'IGFBPL1', 'IGSF3', 'IKZF2', 'IL10RB', 'IL11', 'IL12A_IL12B', 'IL12B', 'IL12RB1', 'IL13RA1', 'IL15RA', 'IL16', 'IL17A', 'IL17RA', 'IL17RB', 'IL18', 'IL18RAP', 'IL19', 'IL1A', 'IL1B', 'IL1R1', 'IL1R2', 'IL1RL1', 'IL1RL2', 'IL1RN', 'IL2', 'IL20', 'IL2RA', 'IL32', 'IL33', 'IL5', 'IL5RA', 'IL6', 'IL7', 'ILKAP', 'IMPA1', 'ING1', 'INHBC', 'IQGAP2', 'ISM1', 'ITGA11', 'ITGA5', 'ITGAM', 'ITGAV', 'ITGB2', 'ITGB5', 'ITGB6', 'ITIH3', 'ITM2A', 'KAZALD1', 'KCNIP4', 'KEL', 'KIR2DL3', 'KIRREL2', 'KIT', 'KLB', 'KLK1', 'KLK12', 'KLK13', 'KLK14', 'KLK6', 'KLRD1', 'KRT18', 'L1CAM', 'LAG3', 'LAMA4', 'LAMP3', 'LAT', 'LBR', 'LCN2', 'LDLR', 'LEP', 'LEPR', 'LGALS1', 'LGALS9', 'LGMN', 'LHB', 'LHPP', 'LIF', 'LILRA2', 'LILRB4', 'LILRB5', 'LPCAT2', 'LPL', 'LRMP', 'LRP11', 'LRRC25', 'LSM1', 'LSP1', 'LTA', 'LTBP3', 'LXN', 'LY9', 'LY96', 'LYAR', 'LYN', 'LYPD3', 'MAD1L1', 'MAGED1', 'MANF', 'MAP3K5', 'MAPK9', 'MAPT', 'MARCO', 'MASP1', 'MATN2', 'MAVS', 'MCAM', 'MDGA1', 'MDK', 'MET', 'METAP1', 'METAP1D', 'MGLL', 'MIA', 'MICB_MICA', 'MILR1', 'MLN', 'MMP10', 'MMP13', 'MMP3', 'MMP7', 'MMP8', 'MOG', 'MPIG6B', 'MSLN', 'MSR1', 'MTPN', 'MUC13', 'MUC16', 'MYO9B', 'MZB1', 'MZT1', 'NAAA', 'NADK', 'NAMPT', 'NCAM1', 'NCAN', 'NCF2', 'NCLN', 'NCR1', 'NDRG1', 'NDUFS6', 'NELL1', 'NFASC', 'NFATC1', 'NFATC3', 'NINJ1', 'NMNAT1', 'NOMO1', 'NOS1', 'NOS3', 'NOTCH3', 'NPM1', 'NPTN', 'NPTX1', 'NRCAM', 'NRP1', 'NRP2', 'NRTN', 'NT5C3A', 'NT5E', 'NTF3', 'NTF4', 'NTRK2', 'NTRK3', 'NUDC', 'OBP2B', 'OGFR', 'OLR1', 'OMG', 'OPTC', 'OSM', 'OSMR', 'OXT', 'PADI2', 'PADI4', 'PARP1', 'PBLD', 'PCDH17', 'PCSK9', 'PDCD1', 'PDCD5', 'PDGFC', 'PDGFRA', 'PDLIM7', 'PECAM1', 'PFDN2', 'PIGR', 'PIK3AP1', 'PKLR', 'PLA2G10', 'PLA2G15', 'PLA2G1B', 'PLA2G4A', 'PLA2G7', 'PLAT', 'PLAU', 'PLIN1', 'PLTP', 'PLXDC1', 'PLXNA4', 'PLXNB2', 'PM20D1', 'PMVK', 'PNLIPRP2', 'PNPT1', 'PODXL', 'POLR2F', 'PON3', 'PPIB', 'PPP1R9B', 'PPY', 'PQBP1', 'PRCP', 'PRDX3', 'PRKAR1A', 'PRL', 'PROC', 'PRSS2', 'PRSS8', 'PRTG', 'PSIP1', 'PSME1', 'PSME2', 'PTPRM', 'PTS', 'PVR', 'PXN', 'RAB37', 'RAB6B', 'RABEPK', 'RANGAP1', 'RARRES2', 'RASA1', 'RASSF2', 'RBKS', 'RBP5', 'RELT', 'REN', 'RET', 'RETN', 'RGMA', 'RGS8', 'RHOC', 'RNASE3', 'RNASET2', 'ROBO1', 'ROBO2', 'RRM2', 'RTBDN', 'S100A11', 'S100A12', 'S100P', 'SAMD9L', 'SCAMP3', 'SCARB1', 'SCARF1', 'SCG2', 'SCGB3A2', 'SCP2', 'SELE', 'SELP', 'SELPLG', 'SEMA7A', 'SERPINA11', 'SERPINA12', 'SERPINA9', 'SERPINB1', 'SERPINB8', 'SERPINE1', 'SESTD1', 'SETMAR', 'SEZ6L', 'SFTPA2', 'SFTPD', 'SH2D1A', 'SHMT1', 'SIGLEC1', 'SIGLEC10', 'SIGLEC15', 'SIGLEC6', 'SIGLEC7', 'SIGLEC9', 'SIRPA', 'SIRPB1', 'SIT1', 'SKAP1', 'SKAP2', 'SLAMF1', 'SLAMF7', 'SLC16A1', 'SLC39A14', 'SLIT2', 'SLITRK2', 'SLITRK6', 'SMARCA2', 'SMOC1', 'SMOC2', 'SMPD1', 'SMPDL3A', 'SNAP23', 'SNAP29', 'SNCG', 'SORCS2', 'SORD', 'SOST', 'SPARCL1', 'SPINK4', 'SPINK5', 'SPINK6', 'SPON2', 'SPRY2', 'SRC', 'SRP14', 'SSB', 'SSC4D', 'SSC5D', 'ST3GAL1', 'STAMBP', 'STK24', 'STK4', 'STX16', 'STX4', 'STXBP3', 'SULT1A1', 'SUSD1', 'SUSD2', 'TACC3', 'TACSTD2', 'TBC1D23', 'TBC1D5', 'TBCB', 'TBL1X', 'TCL1A', 'TDGF1', 'TDRKH', 'TEK', 'TFF2', 'TFPI', 'TFPI2', 'TFRC', 'TGM2', 'THBS2', 'THBS4', 'THOP1', 'THPO', 'TIE1', 'TIGAR', 'TIMP1', 'TIMP4', 'TJAP1', 'TLR3', 'TMPRSS5', 'TMSB10', 'TNC', 'TNF', 'TNFAIP8', 'TNFRSF10A', 'TNFRSF10C', 'TNFRSF11B', 'TNFRSF13B', 'TNFRSF13C', 'TNFRSF1B', 'TNFRSF4', 'TNFRSF8', 'TNFRSF9', 'TNFSF12', 'TNFSF13B', 'TNFSF14', 'TNNI3', 'TP53INP1', 'TPPP3', 'TPSAB1', 'TPT1', 'TREM2', 'TRIM21', 'TRIM5', 'TSLP', 'TSPAN1', 'TST', 'TYMP', 'ULBP2', 'UMOD', 'USO1', 'VAT1', 'VCAM1', 'VEGFA', 'VEGFD', 'VMO1', 'VNN2', 'VPS37A', 'VPS53', 'VSIG4', 'VSTM2L', 'VWA1', 'VWC2', 'WARS', 'WAS', 'WASF1', 'WASF3', 'WFIKKN2', 'WIF1', 'WISP1', 'XPNPEP2', 'XRCC4', 'YES1']",793
Fold 2,"['ACY1', 'ADGRG2', 'ALPP', 'AMY2A', 'AMY2B', 'APBB1IP', 'ARG1', 'CA5A', 'CASP1', 'CCL15', 'CD276', 'CD300C', 'CD5', 'CDCP1', 'CDHR5', 'CEACAM3', 'CELA3A', 'CES1', 'CHI3L1', 'CLC', 'CST5', 'CTRC', 'CTSD', 'CTSL', 'DUOX2', 'EGFR', 'EGLN1', 'ENTPD5', 'FCAR', 'FCRL5', 'FCRL6', 'FCRLB', 'GH2', 'GNLY', 'HAVCR1', 'HLA-DRA', 'ICAM1', 'ICAM4', 'IFNGR2', 'IL18', 'IL18RAP', 'IL1B', 'IL2RA', 'IL5RA', 'INHBC', 'ISM1', 'ITGB2', 'KCNIP4', 'KIR2DL3', 'KLRD1', 'LHB', 'LY9', 'LY96', 'MMP8', 'MSLN', 'MZB1', 'NCF2', 'NDRG1', 'NFATC3', 'NINJ1', 'NOMO1', 'PADI4', 'PDGFC', 'PLXNB2', 'PXN', 'RASSF2', 'S100A11', 'SIGLEC10', 'SIGLEC9', 'THPO', 'TNFRSF11B', 'TNFRSF8', 'WAS', 'WFIKKN2', 'WISP1', 'XPNPEP2', 'XRCC4']",77
Fold 3,"['ADGRG2', 'ATF2', 'CDCP1', 'CHI3L1', 'CTSD', 'CTSL', 'DSG4', 'EBI3_IL27', 'FCRLB', 'FOSB', 'IFNGR2', 'IL5RA', 'KIR2DL3', 'KLRD1', 'LY9', 'MLN', 'MZB1', 'NDRG1', 'NOMO1', 'PDGFC', 'PLXNB2', 'RNASET2', 'SIGLEC10', 'SLAMF7', 'TIMP1', 'TNC', 'TNFRSF8', 'WISP1']",28
Fold 4,"['ADGRG2', 'AMY2A', 'AMY2B', 'APBB1IP', 'ARSA', 'C4BPB', 'CCL15', 'CDCP1', 'CEACAM3', 'CLC', 'CPB1', 'CTRC', 'CTSD', 'CTSL', 'DDC', 'DPEP2', 'FCAR', 'FCRL5', 'FCRL6', 'FCRLB', 'GH2', 'HLA-DRA', 'ICAM4', 'IFNGR2', 'IGF2R', 'IL18RAP', 'IL32', 'IL5RA', 'KIR2DL3', 'KLK6', 'KLRD1', 'LIF', 'LY9', 'MZB1', 'NCF2', 'NDRG1', 'NINJ1', 'NOMO1', 'PDGFC', 'PLXNB2', 'PRCP', 'RASSF2', 'SIGLEC10', 'SLAMF7', 'TFRC', 'TNFRSF8', 'WISP1']",47
