,R2,RMSE,MAE,N features,CVS
STABL,"-0.011 [-0.047, -0.007]","751.454 [702.308, 800.581]","667.969 [609.740, 722.838]","0.000 [0.000, 0.000]","0.000 [0.000, 0.000]"
SS 03,"-0.360 [-1.441, 0.425]","871.604 [561.151, 1178.386]","537.395 [442.190, 651.075]","173.500 [168.250, 177.750] (p=4.905e-17)","0.783 [0.729, 0.839] (p=0.000e+00)"
SS 05,"-0.708 [-2.378, 0.267]","976.783 [639.461, 1429.147]","586.053 [477.325, 719.148]","144.000 [141.000, 148.750] (p=7.263e-17)","0.782 [0.726, 0.838] (p=0.000e+00)"
SS 08,"-0.905 [-3.354, 0.269]","1031.583 [632.546, 1518.847]","606.314 [497.587, 762.008]","92.000 [89.000, 95.000] (p=7.136e-17)","0.692 [0.626, 0.767] (p=0.000e+00)"
Lasso,"0.504 [0.390, 0.609]","526.270 [470.294, 585.580]","420.805 [371.664, 478.283]","33.500 [31.250, 38.750] (p=1.997e-14)","0.415 [0.357, 0.465] (p=0.000e+00)"
Lasso 1SE,"0.504 [0.388, 0.594]","526.270 [470.030, 589.154]","420.805 [372.278, 472.908]","33.500 [31.250, 38.750] (p=1.997e-14)","0.415 [0.357, 0.465] (p=0.000e+00)"
ElasticNet,"0.429 [0.264, 0.541]","564.847 [487.279, 637.762]","448.654 [391.317, 505.489]","288.000 [280.250, 295.000] (p=1.383e-19)","0.831 [0.787, 0.856] (p=0.000e+00)"
