,Fold selected features,Fold nb of features
Fold 102,"['CREB', 'STAT5', 'p38', 'STAT3', 'S6', 'IkB', 'NFkB', 'ERK', 'STAT6', 'MAPKAPK2']",10
Fold 103,['STAT3'],1
Fold 104,"['STAT5', 'STAT3', 'S6']",3
Fold 105,[],0
Fold 106,"['STAT5', 'S6']",2
Fold 107,['S6'],1
Fold 108,[],0
Fold 109,"['STAT5', 'p38', 'STAT3', 'S6', 'NFkB', 'ERK', 'STAT6', 'MAPKAPK2']",8
Fold 110,[],0
Fold 111,['S6'],1
Fold 112,[],0
Fold 113,[],0
Fold 114,[],0
Fold 115,"['CREB', 'STAT5', 'p38', 'STAT3', 'S6', 'IkB', 'NFkB', 'ERK', 'STAT6', 'MAPKAPK2']",10
Fold 116,"['STAT5', 'p38', 'STAT3', 'S6', 'IkB', 'NFkB', 'ERK', 'STAT6', 'MAPKAPK2']",9
Fold 117,[],0
Fold 118,[],0
Fold 119,[],0
Fold 120,[],0
Fold 121,['S6'],1
Fold 122,[],0
Fold 123,[],0
Fold 124,"['STAT5', 'S6']",2
Fold 125,['STAT3'],1
Fold 126,"['CREB', 'STAT5', 'p38', 'STAT3', 'S6', 'IkB', 'NFkB', 'ERK', 'STAT6', 'MAPKAPK2']",10
Fold 127,"['STAT5', 'p38', 'STAT3', 'S6', 'NFkB', 'ERK', 'STAT6', 'MAPKAPK2']",8
Fold 128,"['CREB', 'STAT5', 'p38', 'STAT3', 'S6', 'IkB', 'NFkB', 'ERK', 'STAT6', 'MAPKAPK2']",10
Fold 129,"['STAT5', 'STAT3', 'S6']",3
Fold 130,[],0
Fold 131,[],0
Fold 132,[],0
Fold 133,"['STAT5', 'p38', 'S6', 'NFkB', 'ERK', 'STAT6', 'MAPKAPK2']",7
Fold 134,[],0
Fold 135,[],0
Fold 136,[],0
Fold 137,['S6'],1
Fold 138,"['CREB', 'STAT5', 'p38', 'STAT3', 'S6', 'IkB', 'NFkB', 'ERK', 'STAT6', 'MAPKAPK2']",10
Fold 139,"['STAT5', 'p38', 'STAT3', 'S6', 'IkB', 'NFkB', 'ERK', 'STAT6', 'MAPKAPK2']",9
Fold 140,[],0
Fold 141,[],0
Fold 142,"['STAT5', 'p38', 'S6', 'NFkB', 'ERK', 'STAT6', 'MAPKAPK2']",7
Fold 143,['STAT3'],1
Fold 144,"['CREB', 'STAT5', 'p38', 'STAT3', 'S6', 'IkB', 'NFkB', 'ERK', 'STAT6', 'MAPKAPK2']",10
Fold 145,"['STAT5', 'STAT3', 'S6']",3
Fold 146,[],0
Fold 147,[],0
Fold 148,[],0
Fold 149,"['CREB', 'STAT5', 'p38', 'STAT3', 'S6', 'IkB', 'NFkB', 'ERK', 'STAT6', 'MAPKAPK2']",10
Fold 150,['S6'],1
Fold 151,[],0
Fold 152,"['STAT5', 'p38', 'STAT3', 'S6', 'IkB', 'NFkB', 'ERK', 'STAT6', 'MAPKAPK2']",9
Fold 153,"['STAT5', 'S6']",2
Fold 154,['S6'],1
Fold 155,[],0
Fold 156,"['STAT5', 'p38', 'STAT3', 'S6', 'NFkB', 'ERK', 'STAT6', 'MAPKAPK2']",8
Fold 157,[],0
Fold 158,[],0
Fold 159,"['CREB', 'STAT5', 'p38', 'STAT3', 'S6', 'IkB', 'NFkB', 'ERK', 'STAT6', 'MAPKAPK2']",10
Fold 160,[],0
Fold 161,[],0
Fold 162,[],0
Fold 163,[],0
Fold 164,[],0
Fold 165,"['STAT5', 'S6']",2
Fold 166,"['CREB', 'STAT5', 'p38', 'STAT3', 'S6', 'IkB', 'NFkB', 'ERK', 'STAT6', 'MAPKAPK2']",10
Fold 167,"['CREB', 'STAT5', 'p38', 'STAT3', 'S6', 'IkB', 'NFkB', 'ERK', 'STAT6', 'MAPKAPK2']",10
Fold 168,"['STAT5', 'p38', 'S6', 'NFkB', 'ERK', 'STAT6', 'MAPKAPK2']",7
Fold 169,['STAT3'],1
Fold 170,"['STAT5', 'p38', 'STAT3', 'S6', 'NFkB', 'ERK', 'STAT6', 'MAPKAPK2']",8
Fold 171,[],0
Fold 172,['S6'],1
Fold 173,"['STAT5', 'STAT3', 'S6']",3
Fold 174,"['CREB', 'STAT5', 'p38', 'STAT3', 'S6', 'IkB', 'NFkB', 'ERK', 'STAT6', 'MAPKAPK2']",10
Fold 175,[],0
Fold 176,['S6'],1
Fold 177,[],0
Fold 178,[],0
Fold 179,"['STAT5', 'p38', 'STAT3', 'S6', 'IkB', 'NFkB', 'ERK', 'STAT6', 'MAPKAPK2']",9
Fold 180,"['CREB', 'STAT5', 'p38', 'STAT3', 'S6', 'IkB', 'NFkB', 'ERK', 'STAT6', 'MAPKAPK2']",10
Fold 181,"['STAT5', 'S6']",2
Fold 182,"['STAT5', 'p38', 'S6', 'NFkB', 'ERK', 'STAT6', 'MAPKAPK2']",7
Fold 183,"['STAT5', 'STAT3', 'S6']",3
Fold 184,[],0
Fold 185,['STAT3'],1
Fold 186,[],0
Fold 187,"['STAT5', 'p38', 'STAT3', 'S6', 'NFkB', 'ERK', 'STAT6', 'MAPKAPK2']",8
Fold 188,[],0
Fold 189,"['CREB', 'STAT5', 'p38', 'STAT3', 'S6', 'IkB', 'NFkB', 'ERK', 'STAT6', 'MAPKAPK2']",10
Fold 190,[],0
Fold 191,[],0
Fold 192,"['CREB', 'STAT5', 'p38', 'STAT3', 'S6', 'IkB', 'NFkB', 'ERK', 'STAT6', 'MAPKAPK2']",10
Fold 193,[],0
Fold 194,[],0
Fold 195,[],0
Fold 196,"['STAT5', 'p38', 'STAT3', 'S6', 'IkB', 'NFkB', 'ERK', 'STAT6', 'MAPKAPK2']",9
Fold 197,['S6'],1
Fold 198,['S6'],1
Fold 199,[],0
