,C'=' 0.047,C'=' 0.564,C'=' 1.082,C'=' 1.599,C'=' 2.116,C'=' 2.633,C'=' 3.151,C'=' 3.668,C'=' 4.185,C'=' 4.703
artificial.1,0.0,0.217,0.279,0.3,0.327,0.347,0.362,0.376,0.394,0.397
artificial.2,0.0,0.16,0.201,0.226,0.248,0.256,0.268,0.286,0.295,0.31
artificial.3,0.0,0.28,0.337,0.359,0.379,0.39,0.397,0.403,0.411,0.413
artificial.4,0.0,0.11,0.163,0.193,0.208,0.223,0.232,0.238,0.25,0.257
artificial.5,0.0,0.059,0.09,0.099,0.109,0.117,0.122,0.125,0.13,0.134
artificial.6,0.0,0.165,0.198,0.218,0.231,0.246,0.261,0.269,0.282,0.299
artificial.7,0.0,0.054,0.073,0.093,0.1,0.109,0.116,0.123,0.131,0.139
artificial.8,0.0,0.063,0.091,0.111,0.121,0.133,0.143,0.145,0.154,0.16
artificial.9,0.0,0.309,0.372,0.394,0.406,0.419,0.433,0.442,0.448,0.454
artificial.10,0.0,0.32,0.379,0.406,0.442,0.457,0.476,0.489,0.507,0.523
artificial.11,0.0,0.296,0.352,0.372,0.383,0.402,0.413,0.428,0.433,0.442
artificial.12,0.0,0.103,0.142,0.158,0.174,0.189,0.201,0.209,0.219,0.227
artificial.13,0.0,0.145,0.188,0.215,0.238,0.248,0.262,0.274,0.283,0.298
artificial.14,0.0,0.054,0.072,0.086,0.094,0.097,0.107,0.113,0.117,0.121
artificial.15,0.0,0.136,0.162,0.177,0.192,0.205,0.212,0.223,0.233,0.242
artificial.16,0.0,0.206,0.259,0.285,0.301,0.319,0.332,0.349,0.359,0.372
artificial.17,0.0,0.033,0.052,0.075,0.088,0.1,0.106,0.108,0.114,0.119
artificial.18,0.0,0.277,0.335,0.363,0.383,0.396,0.414,0.428,0.445,0.454
artificial.19,0.0,0.114,0.145,0.161,0.172,0.183,0.186,0.2,0.21,0.219
artificial.20,0.0,0.213,0.26,0.282,0.293,0.305,0.317,0.326,0.335,0.344
artificial.21,0.0,0.392,0.447,0.46,0.469,0.474,0.476,0.481,0.483,0.484
artificial.22,0.0,0.035,0.062,0.07,0.076,0.082,0.086,0.091,0.091,0.093
artificial.23,0.0,0.023,0.036,0.04,0.044,0.048,0.055,0.06,0.066,0.074
artificial.24,0.0,0.114,0.174,0.205,0.226,0.241,0.254,0.261,0.27,0.275
artificial.25,0.0,0.128,0.161,0.181,0.192,0.201,0.206,0.21,0.217,0.224
artificial.26,0.0,0.03,0.051,0.062,0.072,0.083,0.086,0.092,0.099,0.102
artificial.27,0.0,0.067,0.096,0.106,0.12,0.13,0.141,0.153,0.161,0.171
artificial.28,0.0,0.042,0.049,0.056,0.062,0.067,0.075,0.077,0.082,0.086
artificial.29,0.0,0.137,0.177,0.196,0.217,0.233,0.245,0.253,0.263,0.272
artificial.30,0.0,0.11,0.157,0.193,0.214,0.234,0.256,0.272,0.284,0.29
artificial.31,0.0,0.378,0.419,0.43,0.441,0.456,0.465,0.469,0.477,0.483
artificial.32,0.0,0.053,0.111,0.15,0.172,0.193,0.207,0.225,0.237,0.257
artificial.33,0.0,0.074,0.103,0.119,0.13,0.142,0.154,0.162,0.171,0.179
artificial.34,0.0,0.066,0.104,0.13,0.147,0.155,0.165,0.172,0.184,0.193
artificial.35,0.0,0.058,0.068,0.079,0.079,0.08,0.082,0.087,0.09,0.095
artificial.36,0.0,0.195,0.284,0.327,0.343,0.363,0.379,0.386,0.393,0.4
artificial.37,0.0,0.066,0.093,0.106,0.126,0.133,0.149,0.156,0.165,0.18
artificial.38,0.0,0.366,0.438,0.471,0.481,0.498,0.512,0.523,0.536,0.548
artificial.39,0.0,0.039,0.062,0.075,0.085,0.094,0.103,0.111,0.114,0.121
artificial.40,0.0,0.112,0.147,0.175,0.189,0.204,0.21,0.217,0.229,0.237
artificial.41,0.0,0.086,0.123,0.146,0.162,0.173,0.181,0.188,0.193,0.203
artificial.42,0.0,0.032,0.048,0.061,0.072,0.078,0.085,0.092,0.104,0.113
artificial.43,0.0,0.409,0.449,0.457,0.462,0.469,0.475,0.477,0.479,0.481
artificial.44,0.0,0.016,0.023,0.026,0.032,0.033,0.034,0.038,0.039,0.041
artificial.45,0.0,0.179,0.232,0.263,0.276,0.285,0.303,0.312,0.32,0.327
artificial.46,0.0,0.066,0.102,0.111,0.117,0.127,0.132,0.138,0.141,0.145
artificial.47,0.0,0.045,0.076,0.088,0.102,0.121,0.13,0.142,0.157,0.165
artificial.48,0.0,0.036,0.051,0.065,0.076,0.09,0.092,0.106,0.111,0.118
